symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day
EHLD,2025-04-01,10:56:00,5.39,5.19,5.88,10000,11:07:00,5.19,stop,-1981.00,-3.68,12,0.1981,0.4952,2.50,1981.00,3.92,50.00,2,1317,731,0.2000,5.20,5.39,5.39,5.39,5.39,5.39,888,4.62,5.85,4.53,5.75,142104,29.14,4407,32.25,,1061864,86,1
GRI,2025-04-01,10:26:00,7.12,6.92,7.46,10000,10:27:00,6.92,stop,-1989.00,-2.79,3,0.1989,0.4973,2.50,1989.00,17.23,47.64,2,107740,68584,1.0700,6.77,6.96,7.12,7.12,6.82,6.89,53896,9.33,11.12,2.00,2.02,12187923,456.00,62365,195.43,,1445029,56,1
CRVO,2025-04-03,10:01:00,12.65,12.45,13.16,9886,10:20:00,12.45,stop,-1999.94,-1.60,21,0.2023,0.5057,2.50,1999.94,3.40,49.56,2,5182,4452,0.4163,12.46,12.65,12.62,12.72,12.55,12.62,3357,13.14,13.35,10.92,11.24,1023483,22.25,53023,19.30,,5491674,31,1
FC,2025-04-03,10:17:00,21.94,21.71,22.50,8888,10:28:00,21.71,stop,-1999.80,-1.03,12,0.2250,0.5625,2.50,1999.80,3.85,-1.86,2,2618,1072,0.8050,21.73,21.94,21.92,21.94,21.92,21.94,940,23.00,23.11,20.00,20.51,734124,15.58,500258,1.47,,9410593,47,1
DOMH,2025-04-04,14:32:00,3.53,3.51,3.57,10000,14:40:00,3.57,target,375.00,1.06,7,0.0250,0.0625,2.50,250.00,3.51,41.67,2,3259,220,0.1200,3.49,3.50,3.53,3.54,3.50,3.50,320,3.50,3.69,3.25,3.63,345281,13.54,44197,7.81,,8733983,302,1
TIL,2025-04-04,11:12:00,15.84,15.70,16.17,10000,11:17:00,16.17,target,3300.00,2.08,4,0.1400,0.3500,2.50,1400.00,4.14,22.22,2,409,193,0.6300,15.69,15.82,15.84,15.87,15.82,15.87,848,15.02,16.32,14.34,14.61,140356,13.81,58315,2.41,,3228627,102,1
AEYE,2025-04-07,10:17:00,10.87,10.81,10.94,10000,10:18:00,10.81,stop,-600.00,-0.55,3,0.0600,0.1500,2.50,600.00,7.11,13.89,2,1070,360,0.7200,10.74,10.79,10.87,10.90,10.84,10.85,1837,9.25,11.04,8.91,10.26,173631,23.91,338830,0.51,,8448282,47,1
CRVO,2025-04-07,09:55:00,10.02,9.86,10.41,10000,10:02:00,9.86,stop,-1600.00,-1.60,11,0.1600,0.4000,2.50,1600.00,7.72,23.65,2,2900,1395,0.7189,9.86,10.01,10.02,10.20,9.90,10.13,9615,9.86,10.50,9.12,9.76,468137,15.13,53023,8.83,,5491674,25,1
ECOR,2025-04-07,09:55:00,5.46,5.40,5.55,10000,10:02:00,5.55,target,937.50,1.72,7,0.0575,0.1438,2.50,575.00,6.20,14.81,2,2908,724,0.3160,5.36,5.41,5.46,5.46,5.46,5.46,100,5.28,6.36,5.09,5.68,129555,24.87,24477,5.29,,5036060,25,1
ELA,2025-04-07,14:52:00,6.49,6.37,6.79,10000,14:54:00,6.37,stop,-1200.00,-1.85,4,0.1200,0.3000,2.50,1200.00,3.21,20.01,4,1124,544,0.1999,6.38,6.49,6.42,6.49,6.42,6.46,986,5.98,6.50,5.68,6.13,35723,14.44,85647,0.42,,6704289,322,3
