symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
ABVC,2025-10-07,10:04:00,3.39,3.31,3.54,3520,10:05:00,3.38,post_fill_exit,-35.77,-0.30,1,0.0768,0.1500,2.50,270.51,7.30,26.09,2,15505,8495,0.2300,3.32,3.37,,,,,,3.03,3.40,3.03,3.22,359147,12.21,88041,4.08,,19881725,34,3,3.43,-3.19,False,-0.02,2,7.30,,1.80,2.00,0.30,0.30,0.30,-0.50,0.20,1.800,0.567,0.20,0.00,11.55
PC,2025-10-07,09:37:00,11.12,10.69,11.68,2500,09:59:00,10.66,stop,-1155.74,-4.16,19,0.4302,0.5600,2.50,1075.56,7.01,40.26,2,5295,548,0.7200,10.70,10.91,11.06,11.18,10.93,11.00,10988,10.27,11.43,9.05,9.20,366544,26.34,634670,0.58,,3232765,7,1,1.46,3.63,False,-0.02,2,7.01,2.37,1.40,2.00,0.30,0.30,0.30,-0.50,0.00,1.400,0.567,0.00,0.00,10.99
FEAM,2025-10-08,10:01:00,5.24,5.02,5.60,4132,12:34:00,5.01,stop,-955.94,-4.41,91,0.2163,0.3630,2.50,893.65,6.81,20.06,3,7026,3539,0.3250,5.03,5.17,5.21,5.30,5.15,5.27,33644,4.50,5.50,4.50,5.22,464394,22.22,118836,3.91,,25451351,31,1,5.45,-2.17,False,-0.03,2,6.81,4.64,1.50,2.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.643,0.20,0.00,15.56
INDP,2025-10-09,10:36:00,4.80,4.67,5.05,6000,10:45:00,4.66,stop,-887.46,-3.08,11,0.1339,0.2500,2.50,803.40,6.71,29.98,2,10501,5540,0.2999,4.68,4.77,4.78,4.86,4.78,4.86,13114,4.07,5.25,4.07,4.31,651785,28.99,1480579,0.44,,1179126,66,1,6.35,-7.08,False,-0.01,2,6.71,6.42,1.50,2.00,0.30,0.00,0.30,-0.50,0.20,1.500,0.606,0.20,0.00,17.94
AQMS,2025-10-13,09:39:00,6.83,6.61,7.32,3333,09:45:00,7.13,trail_stop,987.05,4.33,8,0.2283,0.4857,2.50,760.92,6.61,36.74,5,5234,3892,0.4200,6.62,6.80,6.77,6.89,6.77,6.89,8323,6.35,13.22,6.35,9.91,26114183,108.19,2592400,10.07,,3030286,9,1,2.20,12.19,False,0.01,2,6.61,2.17,1.80,1.80,0.30,0.00,0.00,0.30,0.00,1.800,1.502,0.20,0.00,20.14
ELVA,2025-10-13,09:39:00,7.42,7.13,7.82,5248,09:43:00,7.11,stop,-1654.30,-4.25,5,0.2938,0.4000,2.50,1542.04,5.19,44.44,3,3866,2001,0.3600,7.14,7.29,7.39,7.39,7.27,7.27,1617,6.72,7.72,6.71,7.61,1163723,15.04,547287,2.13,,29391605,9,1,5.10,1.20,False,0.01,2,5.19,6.90,2.10,2.00,0.30,0.00,0.30,0.30,0.00,2.100,1.502,0.20,0.00,10.69
IPDN,2025-10-13,09:43:00,3.30,3.25,3.39,27428,09:47:00,3.56,exhaust+trail_stop,6455.38,7.13,6,0.0514,0.0875,2.50,1410.48,6.71,38.05,2,7684,4014,0.2100,3.26,3.29,3.27,3.30,3.27,3.27,2536,2.92,4.18,2.92,3.95,1468209,43.15,2643889,0.56,Industrials,8186505,13,1,3.05,-1.35,False,0.01,2,6.71,3.41,2.40,2.00,0.30,0.30,0.30,0.30,0.00,2.400,1.502,0.20,0.00,14.38
SDST,2025-10-14,09:38:00,6.33,6.05,6.96,1999,09:39:00,6.03,stop,-602.99,-4.76,3,0.2835,0.6300,2.50,566.72,13.69,28.31,4,37961,33316,0.7393,5.93,6.30,6.14,6.30,6.05,6.22,18766,5.46,7.45,5.40,7.09,3795295,37.96,422862,8.98,,6414322,8,1,5.58,6.23,False,-0.04,2,13.69,5.85,1.40,1.80,0.00,-0.30,0.00,0.30,0.20,1.400,1.584,0.20,0.00,21.11
FOSL,2025-10-15,10:28:00,3.69,3.59,3.84,5666,10:32:00,3.79,trail_stop,577.34,2.76,6,0.0983,0.1500,2.50,557.25,4.32,13.33,2,45419,36384,0.1500,3.60,3.65,3.67,3.67,3.64,3.65,46199,2.81,4.40,2.80,3.75,12909184,57.14,426365,30.28,,46193027,58,1,6.72,6.04,False,-0.07,2,4.32,7.75,1.70,1.00,0.00,0.00,0.00,0.30,0.20,1.700,1.995,0.20,0.00,37.85
LOCL,2025-10-15,10:42:00,3.99,3.92,4.12,1166,10:57:00,3.91,stop,-96.20,-2.07,9,0.0707,0.1273,2.50,82.49,3.94,20.67,3,2231,702,0.1500,3.93,3.97,3.96,3.97,3.95,3.96,1401,3.20,4.00,3.20,3.49,111520,24.84,58319,1.91,,230061,72,1,8.79,3.23,False,-0.07,2,3.94,9.16,2.30,1.00,0.00,0.30,0.30,0.30,0.20,2.300,1.995,0.20,0.00,28.39
SPRC,2025-10-15,09:45:00,4.27,4.14,4.55,6544,09:56:00,4.55,trail_stop,1851.27,6.62,13,0.1312,0.2750,2.50,858.90,13.22,18.18,4,13177,12598,0.4950,4.15,4.25,4.22,4.29,4.22,4.26,6689,3.72,4.85,3.59,4.29,2203281,35.10,13130955,0.17,,46620,15,1,6.57,7.83,False,-0.07,2,13.22,6.80,2.00,1.80,0.00,0.30,0.00,0.30,0.20,2.000,1.995,0.20,0.00,23.19
ELAB,2025-10-16,09:58:00,7.35,7.09,7.87,3238,10:00:00,7.07,stop,-899.58,-3.78,4,0.2565,0.5250,2.50,830.71,5.06,18.84,2,2400,2292,0.3450,7.10,7.30,7.31,7.35,7.28,7.28,2834,6.30,8.80,6.24,7.78,420974,41.02,1388059,0.30,,1157420,28,1,9.20,-15.32,False,0.04,2,5.06,9.25,1.70,2.00,0.30,-0.30,0.00,0.30,0.20,1.700,1.489,0.20,0.00,18.27
PFAI,2025-10-16,10:24:00,3.78,3.69,3.95,5142,10:26:00,3.68,stop,-513.53,-2.64,6,0.0888,0.1750,2.50,456.61,4.44,37.52,3,3036,1104,0.1599,3.70,3.76,3.76,3.81,3.75,3.81,12678,3.26,4.10,3.21,3.55,1040228,27.73,3272296,0.32,,3625011,54,3,3.54,-28.67,False,0.04,2,4.44,3.93,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,1.489,0.20,0.00,25.77
