symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill
BUUU,2026-03-02,10:17:00,15.07,14.50,16.32,324,10:25:00,14.46,stop,-200.39,-4.10,4,0.5750,1.2500,2.50,186.30,7.45,47.12,4,1958,343,1.0400,14.51,15.00,15.00,15.00,15.00,15.00,540,14.01,15.79,13.65,15.01,47037,15.68,73034,0.64,,3155021,107,3,2.30,-7.89,False,0.07,3,7.45,2.75,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,0.864,0.20,0.00,15.68,1.574,0.864
RDWU,2026-03-02,09:40:00,12.38,12.18,12.73,2958,09:49:00,13.46,trail_stop,3184.30,8.69,12,0.2015,0.3498,2.50,596.04,5.37,-37.70,2,4793,2718,0.6100,12.19,12.32,12.27,12.45,12.27,12.45,2550,10.41,13.70,10.41,11.73,271071,31.60,234819,1.15,,366075,70,2,5.32,-2.71,False,0.07,2,5.37,5.27,2.30,2.00,0.30,0.30,0.30,0.00,0.20,2.300,0.864,0.20,0.00,18.35,0.938,0.864
ANNA,2026-03-03,11:26:00,4.17,4.02,4.50,2493,11:47:00,4.01,stop,-405.64,-3.90,22,0.1506,0.3247,2.50,375.57,6.84,41.47,2,8172,530,0.2650,4.03,4.15,4.10,4.18,4.10,4.18,1116,4.26,4.35,2.88,3.55,745452,51.20,81333,9.17,,9752727,176,5,3.47,19.23,True,0.17,2,6.84,3.97,1.80,2.00,0.30,0.00,0.30,0.30,0.00,1.800,1.212,0.20,-0.30,19.50,2.104,1.212
RCAX,2026-03-03,09:41:00,23.40,22.25,25.72,312,09:44:00,22.19,stop,-378.70,-5.19,5,1.1470,2.3180,2.50,357.87,7.13,34.13,4,17778,7719,1.4650,21.50,23.18,23.28,23.64,22.80,22.80,7818,19.90,23.82,18.34,20.39,776869,29.87,95686,8.12,,1733000,71,2,6.57,13.99,False,0.17,2,7.13,7.17,1.80,1.80,0.30,-0.30,0.30,0.30,0.00,1.800,1.212,0.20,0.00,35.09,1.013,1.212
RCAX,2026-03-03,09:46:00,23.30,22.25,25.61,312,10:06:00,22.19,stop,-346.28,-4.76,26,1.0431,2.3180,2.50,325.45,7.13,34.13,4,17778,7719,1.4650,21.50,23.18,22.52,23.25,22.52,23.25,1164,19.90,23.82,18.34,20.39,776869,29.87,95686,8.12,,1733000,76,2,6.17,13.99,False,0.17,2,7.13,6.07,1.80,1.80,0.30,-0.30,0.30,0.30,0.00,1.800,1.212,0.20,0.00,35.09,0.151,1.212
PHGE,2026-03-05,11:07:00,6.97,6.64,7.67,1635,11:13:00,6.62,stop,-574.42,-5.04,13,0.3314,0.6920,2.50,541.84,19.34,38.39,2,5883,2072,1.1200,6.48,6.92,6.94,6.94,6.68,6.75,6517,5.40,6.94,5.30,5.75,119671,30.94,91946,1.30,Industrials,8477820,157,1,11.56,-14.29,False,0.06,2,19.34,9.77,2.80,1.80,0.00,0.00,0.30,0.30,0.00,2.800,1.532,0.20,0.00,30.57,3.145,1.532
APLZ,2026-03-06,15:25:00,23.57,23.00,24.50,432,15:45:00,23.22,force_close,-150.01,-1.47,17,0.5672,0.9373,2.50,245.05,3.47,35.90,6,1147,488,0.7800,23.01,23.37,23.45,23.45,23.45,23.45,220,21.12,23.92,19.17,23.92,253913,24.78,317709,0.80,,499090,415,6,11.75,7.21,False,-0.08,2,3.47,12.65,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,1.500,0.20,0.00,21.93,0.451,1.500
CRE,2026-03-06,11:31:00,4.08,3.99,4.23,2704,11:33:00,3.98,stop,-276.27,-2.50,4,0.0902,0.1498,2.50,243.90,4.38,29.35,2,11564,5221,0.1700,4.00,4.05,4.06,4.07,4.02,4.07,12379,3.75,4.92,3.44,4.53,24223530,43.02,230232,105.21,,1102703,181,15,0.14,57.25,True,-0.08,3,4.38,0.89,1.80,1.00,0.00,0.30,0.30,0.30,0.20,1.800,1.500,0.00,-0.30,66.52,2.371,1.500
MRVU,2026-03-06,09:48:00,28.03,26.98,29.83,447,15:31:00,29.55,trail_stop,680.41,5.43,93,1.0495,1.8000,2.50,469.10,7.25,27.42,6,1350,1309,1.8600,26.99,27.70,27.89,27.89,27.89,27.89,194,25.57,30.69,25.50,28.64,125364,20.35,10453,11.99,,97655,78,2,5.23,22.59,False,-0.08,2,7.25,6.38,2.00,1.80,0.30,0.00,0.00,0.30,0.20,2.000,1.500,0.20,0.00,31.84,0.148,1.500
MVLL,2026-03-06,09:48:00,21.48,20.77,22.99,561,14:59:00,23.26,exhaust+trail_stop,1104.59,9.17,305,0.7119,1.5125,2.50,399.36,8.87,40.00,5,72137,19298,1.7500,20.78,21.38,21.33,21.57,21.30,21.51,49188,19.90,23.69,19.48,22.03,2490388,21.60,263123,9.46,,1142200,78,2,2.89,22.77,False,-0.08,2,8.87,2.80,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,1.500,0.20,0.00,30.71,2.549,1.500
PLU,2026-03-06,10:31:00,26.55,25.93,27.75,393,10:44:00,25.85,stop,-274.58,-2.63,11,0.6209,1.2000,2.50,244.01,4.76,34.91,7,5930,561,1.1984,25.94,26.41,26.42,26.50,26.42,26.50,1994,20.28,26.95,20.28,22.72,193823,32.89,70068,2.77,,939560,121,6,7.39,-6.28,False,-0.08,3,4.76,7.74,2.10,1.00,0.30,0.00,0.30,0.30,0.00,2.100,1.500,0.20,0.00,30.23,3.556,1.500
QCLS,2026-03-06,10:20:00,3.97,3.79,4.36,1423,10:55:00,4.57,exhaust+trail_stop,916.42,16.22,37,0.1777,0.3950,2.50,252.94,7.50,48.15,3,47071,44803,0.2700,3.74,3.95,3.93,3.99,3.88,3.88,38467,3.42,4.97,3.41,4.50,10945709,45.76,328015,33.37,,7776858,110,5,4.82,-2.59,False,-0.08,2,7.50,5.24,2.50,1.00,0.30,-0.30,0.00,0.30,0.00,2.500,1.500,0.20,0.00,20.87,0.859,1.500
