symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct
CODX,2026-01-02,09:57:00,5.15,5.01,5.42,10000,10:08:00,5.31,trail_stop,1630.27,3.17,15,0.1355,0.2748,2.50,1354.99,5.78,35.69,2,2099,1442,0.2799,5.02,5.12,5.10,5.25,5.10,5.20,4859,5.11,5.79,4.84,5.56,181865,19.63,1979467,0.09,,1936910,87,1,1.17,2930.84,False,,5,5.78
PAVS,2026-01-02,09:40:00,2.38,2.28,2.62,10000,09:41:00,2.27,stop,-1134.76,-4.76,3,0.1067,0.2370,2.50,1066.50,12.86,44.44,2,231207,143330,0.2700,2.25,2.37,2.31,2.37,2.28,2.30,291496,2.24,2.49,1.85,2.02,15273005,34.59,1736730,8.79,,31790,70,1,4.45,29.48,False,,2,12.86
PEPG,2026-01-02,10:15:00,7.72,7.46,8.22,9999,10:19:00,7.44,stop,-2807.52,-3.64,6,0.2584,0.5000,2.50,2583.74,5.23,36.58,4,27695,18908,0.3784,7.47,7.66,7.68,7.68,7.62,7.64,1849,6.47,7.80,6.28,7.17,1987030,24.20,563005,3.53,,36971152,105,1,6.79,-0.77,False,,4,5.23
SIDU,2026-01-02,09:54:00,3.77,3.64,4.04,10000,10:06:00,4.03,trail_stop,2603.76,6.91,14,0.1287,0.2750,2.50,1287.50,4.79,41.18,3,448028,369196,0.1700,3.65,3.75,3.66,3.87,3.65,3.87,1432742,3.65,4.44,3.50,4.33,147053126,26.86,59973948,2.45,,35137511,84,2,1.39,16.40,False,,2,4.79
MNTS,2026-01-05,09:25:00,9.97,9.58,10.82,5882,09:27:00,9.55,stop,-2460.68,-4.20,4,0.3896,0.8500,2.50,2291.63,11.88,33.17,2,383397,373382,1.0552,9.59,9.92,9.87,10.10,9.67,9.70,457020,9.90,11.70,7.15,8.82,68776519,63.63,9935220,6.92,,1342111,55,2,12.70,11.32,False,,2,11.88
PASG,2026-01-05,10:19:00,15.52,15.19,16.13,8113,10:20:00,15.15,stop,-2995.97,-2.38,3,0.3237,0.6162,2.50,2626.18,3.81,10.22,4,1368,1298,0.5608,15.20,15.44,15.40,15.67,15.38,15.40,2018,13.32,16.70,13.31,16.11,394049,25.47,50979,7.73,,2886804,109,4,5.79,18.05,False,,2,3.81
SIDU,2026-01-05,10:30:00,4.49,4.34,4.82,10000,11:17:00,4.33,stop,-1653.70,-3.68,50,0.1523,0.3250,2.50,1523.50,5.19,49.98,3,767244,752609,0.2199,4.35,4.47,4.41,4.55,4.41,4.52,1013044,4.88,4.90,3.86,3.96,127902271,26.94,67235511,1.90,,35137511,120,1,5.24,12.70,False,,4,5.19
IBIO,2026-01-06,09:54:00,2.41,2.34,2.56,10000,10:00:00,2.57,trail_stop,1582.66,6.56,8,0.0720,0.1500,2.50,720.00,11.93,34.62,2,134783,79826,0.2600,2.35,2.40,2.35,2.45,2.35,2.45,98694,2.25,2.68,2.04,2.06,18371709,31.37,13485220,1.36,,27058317,84,1,2.29,19.68,False,,4,11.93
INBS,2026-01-06,10:22:00,12.37,11.90,13.40,4878,10:32:00,11.86,stop,-2474.37,-4.10,13,0.4715,1.0250,2.50,2300.22,13.85,43.79,2,61858,38428,1.5300,11.91,12.31,12.19,12.47,12.19,12.29,32128,10.97,12.75,9.90,10.70,1782428,28.79,6608253,0.27,,1594305,112,1,8.53,4.64,False,,3,13.85
LGCB,2026-01-06,10:03:00,2.10,1.99,2.30,10000,11:06:00,1.98,stop,-1164.20,-5.54,49,0.1104,0.2000,2.50,1104.50,7.92,46.05,3,4081,3915,0.1520,2.00,2.07,2.09,2.09,2.08,2.08,413,1.81,2.17,1.75,2.01,271043,23.99,31801,8.52,,1699717,93,1,5.48,-1.09,False,,5,7.92
OPTX,2026-01-06,09:11:00,3.38,3.27,3.60,10000,09:34:00,3.26,stop,-1166.10,-3.45,26,0.1068,0.2250,2.50,1068.00,4.10,45.59,2,30304,13164,0.1316,3.28,3.36,3.34,3.38,3.34,3.35,13916,3.42,3.59,3.07,3.28,7705285,16.94,5302598,1.45,,5982184,41,3,-0.20,20.39,True,,2,4.10
