symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading
ALMU,2026-03-02,09:39:00,18.08,17.26,19.88,499,11:33:00,19.12,trail_stop,520.64,5.77,115,0.8191,1.7980,2.50,408.76,13.47,46.98,4,24853,24166,2.1500,17.10,17.98,17.99,18.10,17.81,18.00,10223,16.09,20.07,15.70,19.24,2181923,27.83,416157,5.24,,13370745,69,1,4.33,7.63,False,0.07,2,13.47,4.71,1.20,1.50,0.00,0.00,0.00,0.00,0.00,1.200,0.864,0.20,0.00
ASTI,2026-03-02,10:24:00,6.48,6.33,6.78,2333,11:09:00,6.68,trail_stop,455.88,3.01,50,0.1522,0.3000,2.50,355.20,3.49,24.42,4,6917,3536,0.2158,6.34,6.45,6.42,6.45,6.40,6.45,15758,5.72,7.03,5.70,6.63,1000529,23.33,2799431,0.36,,8707964,114,1,6.21,-6.03,False,0.07,2,3.49,5.86,1.40,1.00,0.00,-0.30,0.30,0.00,0.20,1.400,0.864,0.20,0.00
BAIG,2026-03-02,09:44:00,4.10,3.99,4.33,4410,09:52:00,3.98,stop,-542.73,-3.00,7,0.1111,0.2268,2.50,489.95,11.20,17.22,3,8062,4044,0.4099,4.00,4.08,4.06,4.14,4.06,4.12,8492,3.62,4.35,3.62,4.22,762387,20.17,376755,2.02,,1472475,74,2,4.08,-7.65,False,0.07,5,11.20,3.96,2.00,1.00,0.00,0.30,0.30,0.00,0.20,2.000,0.864,0.20,0.00
BATL,2026-03-02,10:40:00,9.10,8.74,9.87,676,11:33:00,9.69,trail_stop,399.08,6.49,55,0.3552,0.7750,2.50,240.15,5.32,35.56,4,105319,84943,0.4500,8.75,9.05,9.00,9.05,8.95,9.00,63848,10.70,13.61,8.20,11.80,90767241,65.97,8492626,10.69,,14113601,130,1,-6.98,100.00,True,0.07,4,5.32,-6.49,0.70,1.50,0.30,-0.30,0.00,0.00,0.00,0.700,0.864,0.00,-0.30
BDSX,2026-03-02,09:42:00,15.96,15.29,17.33,618,10:58:00,15.24,stop,-442.04,-4.48,36,0.6694,1.3750,2.50,413.69,5.20,23.53,3,2305,1110,0.7650,15.30,15.84,15.88,15.88,15.88,15.88,175,14.52,16.63,14.23,15.75,249596,16.87,142201,1.76,,5350427,72,1,5.59,-4.96,False,0.07,3,5.20,6.34,1.70,1.00,0.30,-0.30,0.30,0.00,0.20,1.700,0.864,0.20,0.00
BUUU,2026-03-02,10:17:00,15.07,14.50,16.32,720,10:25:00,14.46,stop,-445.32,-4.10,4,0.5750,1.2500,2.50,414.00,7.45,47.12,4,1958,343,1.0400,14.51,15.00,15.00,15.00,15.00,15.00,540,14.01,15.79,13.65,15.01,47037,15.68,73034,0.64,,3135067,107,1,2.30,-7.89,False,0.07,3,7.45,2.75,1.80,1.00,0.30,0.00,0.30,0.00,0.00,1.800,0.864,0.20,0.00
CCUP,2026-03-02,10:02:00,4.92,4.82,5.12,4260,10:19:00,5.00,trail_stop,316.78,1.51,19,0.1043,0.1995,2.50,444.31,4.83,24.44,2,45781,37579,0.2250,4.83,4.90,4.89,4.90,4.87,4.89,21237,3.74,5.31,3.73,5.26,4748842,42.36,2883171,1.65,,14369380,92,1,7.29,-7.43,False,0.07,4,4.83,7.68,1.70,1.00,0.30,0.00,0.00,0.00,0.20,1.700,0.864,0.20,0.00
CDIO,2026-03-02,10:15:00,5.29,5.17,5.49,2499,10:19:00,5.34,trail_stop,127.88,0.97,6,0.1213,0.2000,2.50,303.19,4.35,45.45,2,6724,4460,0.2200,5.18,5.25,5.26,5.27,5.25,5.25,1247,5.39,5.48,4.50,5.20,2292892,21.78,10612173,0.22,,2833899,105,1,1.90,-15.27,False,0.07,5,4.35,2.70,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.000,0.864,0.00,0.00
CLSX,2026-03-02,09:47:00,12.62,12.12,13.65,1243,10:31:00,13.24,trail_stop,763.78,4.87,39,0.5028,1.0250,2.50,624.98,4.65,9.24,4,15159,1947,0.5410,12.13,12.53,12.56,12.59,12.52,12.53,14207,11.60,14.35,11.40,13.86,623940,25.88,604558,1.03,,1981190,77,1,6.41,-7.05,False,0.07,5,4.65,6.28,1.70,1.50,0.30,-0.30,0.30,0.00,0.20,1.700,0.864,0.20,0.00
CRDU,2026-03-02,10:13:00,8.24,8.06,8.59,2142,10:32:00,8.04,stop,-439.50,-2.49,21,0.1810,0.3500,2.50,387.70,4.85,31.34,5,3870,3163,0.3787,8.07,8.20,8.13,8.22,8.13,8.22,6314,7.46,8.49,7.26,8.38,2931772,16.94,1130307,2.59,,4404850,103,4,2.80,-7.33,False,0.07,5,4.85,3.27,1.50,1.00,0.30,0.00,0.00,0.00,0.00,1.500,0.864,0.20,0.00
