symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,bars_held,risk_per_share,reward_per_share,risk_reward_ratio,total_risk,pole_gain_pct,retracement_pct,pullback_candles,avg_pole_volume,avg_flag_volume,pole_height,flag_low,flag_high,entry_bar_open,entry_bar_high,entry_bar_low,entry_bar_close,entry_bar_volume,day_open,day_high,day_low,day_close,day_volume,intraday_move_pct,avg_volume_daily,relative_volume,sector,float_shares,entry_minutes_from_open,patterns_detected_that_day,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
MRLN,2026-04-01,10:13:00,7.34,7.07,7.91,1391,12:16:00,7.46,trail_stop,173.25,1.70,114,0.2665,0.5750,2.50,370.70,4.73,36.92,3,26030,4469,0.3250,7.08,7.30,7.18,7.32,7.18,7.32,6521,7.85,8.43,6.88,7.67,1602801,22.57,935991,1.71,,3598221,43,2,-3.19,6.80,False,,3,4.73,-2.60,1.60,1.00,0.30,-0.30,0.30,0.30,0.00,1.600,1.682,0.00,0.00,22.57
CRMX,2026-04-02,10:06:00,14.38,13.93,15.16,2224,10:15:00,14.58,trail_stop,451.50,1.41,11,0.4515,0.7750,2.50,1004.25,4.86,-1.55,4,4284,1606,0.6450,13.94,14.24,14.31,14.59,14.31,14.59,4338,11.64,15.25,11.50,13.97,239987,32.61,189034,1.27,,487740,36,1,8.10,-15.35,False,,3,4.86,7.53,2.30,1.50,0.30,0.00,0.30,0.30,0.20,2.300,1.461,0.20,0.00,23.83
GVH,2026-04-02,10:03:00,2.18,2.09,2.38,6375,11:01:00,2.27,trail_stop,583.07,4.19,59,0.0908,0.2000,2.50,579.17,9.20,13.97,4,6738,4374,0.1790,2.10,2.17,2.15,2.19,2.15,2.19,4760,1.99,2.74,1.70,2.73,1078443,61.18,2092847,0.52,,1229299,33,1,12.68,1.50,False,,2,9.20,12.71,1.70,1.50,0.00,0.00,0.00,0.30,0.20,1.700,1.461,0.20,0.00,28.23
USAX,2026-04-02,10:03:00,13.73,13.47,14.17,3427,10:10:00,14.00,trail_stop,946.74,2.01,8,0.2533,0.4375,2.50,868.06,3.15,-18.29,3,3375,1290,0.4100,13.48,13.65,13.66,13.67,13.66,13.67,352,11.41,15.00,11.30,14.43,146077,32.74,137337,1.06,,589120,33,1,7.01,-8.28,False,,2,3.15,7.56,2.00,1.50,0.00,0.00,0.30,0.30,0.20,2.000,1.461,0.20,0.00,21.42
USGG,2026-04-02,10:08:00,8.56,8.27,9.01,1666,13:17:00,8.82,trail_stop,430.26,3.02,87,0.2926,0.4500,2.50,487.47,3.18,31.02,4,18279,3130,0.2579,8.28,8.45,8.52,8.62,8.52,8.62,2865,6.98,9.14,6.98,8.75,506890,30.95,184105,2.75,,555920,38,2,4.77,-8.34,False,,3,3.18,6.07,1.50,1.00,0.00,-0.30,0.30,0.30,0.00,1.500,1.461,0.20,0.00,22.06
BTBD,2026-04-06,09:39:00,2.41,2.31,2.64,3333,09:48:00,2.30,stop,-363.06,-4.52,11,0.1020,0.2250,2.50,339.97,9.09,40.00,3,83427,74250,0.2000,2.32,2.40,2.38,2.43,2.32,2.41,125733,2.31,2.48,1.96,2.09,6876088,26.53,498066,13.81,,3152942,9,1,3.66,22.22,False,,2,9.09,3.66,1.50,1.00,0.00,0.00,0.00,0.30,0.00,1.500,1.667,0.20,0.00,26.72
PRFX,2026-04-06,10:36:00,2.60,2.54,2.73,849,10:38:00,2.53,stop,-59.91,-2.71,4,0.0629,0.1250,2.50,53.44,6.50,43.75,2,36560,15676,0.1600,2.55,2.59,2.58,2.60,2.58,2.58,15100,2.44,2.88,2.33,2.53,28283475,23.73,28330,998.36,,808621,66,3,-1.59,16.19,False,,3,6.50,-1.09,2.20,1.50,0.30,0.30,0.30,0.30,0.00,2.200,1.667,0.00,0.00,36.43
VWAV,2026-04-09,10:02:00,6.92,6.74,7.16,3789,10:12:00,6.71,stop,-790.57,-3.01,14,0.1884,0.2375,2.50,714.02,3.17,40.48,2,10448,4620,0.2100,6.75,6.83,6.89,6.97,6.86,6.89,5699,5.95,7.47,5.90,7.34,1564949,26.61,488677,3.20,,12788328,32,2,5.03,2.59,False,,2,3.17,6.37,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,1.667,0.20,0.00,20.17
MVO,2026-04-13,10:22:00,3.31,3.20,3.48,6436,10:28:00,3.19,stop,-746.26,-3.51,7,0.1063,0.1747,2.50,684.47,3.17,39.90,2,7941,1994,0.1000,3.21,3.27,3.29,3.30,3.29,3.30,1193,2.88,3.39,2.81,3.10,1070006,20.64,292677,3.66,,7608860,52,2,3.58,5.11,False,,2,3.17,4.72,1.50,1.50,0.00,-0.30,0.30,0.30,0.00,1.500,1.667,0.20,0.00,22.63
IONL,2026-04-14,09:58:00,14.03,13.75,14.50,2105,10:04:00,14.34,trail_stop,646.78,2.19,8,0.2798,0.4750,2.50,588.98,4.12,25.45,4,13851,7338,0.5500,13.76,13.94,13.96,14.02,13.96,14.01,7952,12.90,15.99,12.54,15.92,2159666,27.51,422993,5.11,,1876055,28,2,3.53,13.81,False,,3,4.12,4.11,2.00,1.00,0.00,0.00,0.30,0.30,0.20,2.000,1.667,0.20,0.00,22.47
