symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry
DWTX,2025-01-27,10:35:00,17.38,16.60,19.11,11060,10:37:00,16.55,stop,-9155.97,-4.76,False,,0,0.00,131.7,9132720,17.01,-15.79,False,0.28,3,23.94,16.01,1.70,1.80,0.00,0.00,0.00,-0.50,0.00,1.700,0.587,0.20,0.00,94.49
ZNTL,2025-01-29,09:42:00,2.38,2.28,2.62,22500,09:48:00,2.27,stop,-2553.20,-4.76,False,,0,0.00,34.65,2304151,10.97,-26.25,False,-0.02,3,10.95,11.02,2.20,1.80,0.00,-0.30,0.30,0.00,0.00,2.200,0.955,0.20,0.00,89.02
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,8735,10:39:00,3.8,trail_stop,1551.15,4.91,False,,0,0.00,33.85,349427,-9.40,-2.23,False,0.01,3,6.47,-7.92,2.90,1.00,0.30,0.30,0.30,0.00,0.00,2.900,1.053,0.00,0.00,33.85
CPIX,2025-02-05,09:39:00,4.44,4.24,4.88,22500,09:43:00,4.65,trail_stop,4610.63,4.61,False,,0,0.00,67.45,1357654,5.40,6.12,False,-0.01,3,14.58,5.59,1.50,1.80,0.00,0.00,0.00,0.30,0.00,1.500,1.328,0.20,0.00,45.34
STIM,2025-02-07,10:15:00,3.15,3.08,3.28,12500,11:34:00,3.07,stop,-998.94,-2.54,False,,0,0.00,15.0,1425280,5.30,-15.73,False,0.01,2,3.31,5.98,1.50,1.00,0.00,0.00,0.30,0.00,0.00,1.500,0.814,0.20,0.00,43.24
BFRG,2025-02-10,10:28:00,3.5,3.40,3.69,12500,10:34:00,3.61,trail_stop,1441.62,3.30,False,,0,0.00,35.92,690024,-0.78,15.03,False,-0.06,2,5.79,-0.28,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,34.15
DOMH,2025-02-10,10:12:00,4.18,4.06,4.43,11683,10:14:00,4.05,stop,-1579.44,-3.23,False,,0,0.00,73.98,467391,-2.85,16.61,False,-0.06,2,5.30,-2.30,1.60,1.00,0.30,0.00,0.30,0.00,0.00,1.600,0.983,0.00,0.00,44.88
INLF,2025-02-13,10:35:00,6.87,6.70,7.21,5872,10:37:00,6.68,stop,-1111.42,-2.76,False,,0,0.00,72.41,234917,8.62,-3.17,False,0.02,2,6.98,8.89,1.60,1.00,0.30,0.30,0.30,-0.50,0.00,1.600,0.679,0.20,0.00,25.45
INLF,2025-02-14,09:46:00,10.36,9.90,11.39,13177,10:13:00,11.31,trail_stop,12458.55,9.12,False,,0,0.00,288.89,292884,8.44,-2.89,False,0.05,2,7.49,5.76,1.50,1.80,0.30,-0.30,0.30,0.00,0.00,1.500,0.899,0.20,0.00,23.03
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,15165,10:49:00,9.32,exhaust+trail_stop,13086.98,10.13,False,,0,0.00,21.95,280864,1.01,-1.75,False,-0.13,2,4.69,2.72,2.10,1.80,0.30,0.00,0.30,0.30,0.20,2.100,1.439,0.00,0.00,39.54
LTBR,2025-02-27,10:21:00,11.77,11.50,12.29,24999,10:32:00,11.47,stop,-7573.76,-2.57,False,,0,0.00,24.74,3946702,5.26,4.97,False,0.05,3,5.31,5.69,1.80,2.00,0.30,0.00,0.00,0.30,0.00,1.800,1.271,0.20,0.00,18.66
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,27000,11:48:00,3.9,exhaust+trail_stop,10928.27,11.51,False,,0,0.00,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.00,1.80,0.30,0.30,0.30,0.30,0.00,3.400,1.668,0.20,0.00,32.73
ZENA,2025-03-04,10:12:00,2.63,2.57,2.76,15228,10:21:00,2.56,stop,-1078.29,-2.69,False,,0,0.00,23.45,253846,3.12,-1.48,False,,2,6.89,3.41,2.30,2.00,0.30,0.30,0.00,0.30,0.20,2.300,2.468,0.20,0.00,18.95
SKBL,2025-03-10,09:42:00,10.24,9.94,10.70,24999,12:40:00,10.6,trail_stop,8905.32,3.48,False,,0,0.00,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.80,2.00,0.00,0.00,0.30,0.30,0.00,1.800,1.967,0.20,0.00,18.91
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,22849,12:27:00,4.38,trail_stop,5628.57,5.96,False,,0,0.00,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.00,1.80,0.00,0.30,0.30,0.30,0.20,3.300,2.118,0.20,0.00,160.70
OPRX,2025-03-13,09:38:00,7.33,7.00,8.06,27000,15:45:00,7.1,force_close,-6114.15,-3.09,False,,0,0.00,26.25,935817,4.11,0.80,False,,3,16.58,4.38,1.50,1.80,0.00,0.00,0.00,0.30,0.00,1.500,2.129,0.20,0.00,22.28
RGNX,2025-03-14,09:40:00,7.76,7.41,8.53,30000,09:57:00,7.39,stop,-11089.01,-4.76,False,,0,0.00,18.13,798650,4.68,7.94,False,,2,7.53,4.00,1.70,2.00,0.30,-0.30,0.00,0.30,0.20,1.700,1.863,0.20,0.00,17.02
QMCO,2025-03-18,10:34:00,21.52,21.11,22.27,15000,10:36:00,21.04,stop,-7101.86,-2.20,False,,0,0.00,38.95,1481441,11.74,-9.35,False,,3,4.77,12.02,2.40,1.00,0.30,0.30,0.30,0.30,0.00,2.400,1.754,0.20,0.00,36.10
KBSX,2025-03-19,10:07:00,3.87,3.70,4.25,27000,10:17:00,4.78,exhaust+trail_stop,24713.03,23.66,False,,0,0.00,41.5,2714018,1.25,-36.25,False,,2,10.83,1.78,2.60,1.80,0.00,0.00,0.30,0.30,0.00,2.600,1.537,0.00,0.00,41.50
OM,2025-03-20,10:26:00,10.02,9.66,10.79,19565,10:36:00,11.22,trail_stop,23510.23,11.99,False,,0,0.00,47.96,1110199,9.25,1322.62,False,,2,7.10,9.14,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.345,0.20,0.00,1706.45
TITN,2025-03-20,09:44:00,15.34,14.57,16.85,12460,13:12:00,16.64,trail_stop,16198.56,8.48,False,,0,0.00,39.6,230755,8.50,-15.14,False,,2,11.12,9.10,2.50,1.80,0.00,0.00,0.00,0.30,0.00,2.500,1.345,0.20,0.00,29.92
MLGO,2025-03-24,10:40:00,6.31,6.03,6.94,27000,10:41:00,6.01,stop,-8118.53,-4.76,False,,0,0.00,301.03,8912787,24.01,59.52,False,-0.10,2,8.47,24.32,1.70,1.80,0.30,-0.30,0.00,0.30,0.20,1.700,1.435,0.20,0.00,175.65
GDHG,2025-03-26,10:18:00,3.72,3.60,3.97,27000,10:19:00,3.59,stop,-3474.82,-3.46,False,,0,0.00,52.24,2679932,7.25,-12.60,False,0.03,2,10.12,7.73,2.00,1.80,0.00,0.30,0.30,0.00,0.20,2.000,0.857,0.20,0.00,39.34
QNTM,2025-03-28,10:16:00,10.42,10.16,10.72,23684,10:18:00,10.6,trail_stop,4130.89,1.67,False,,0,0.00,55.58,710285,-2.03,17.78,False,-0.01,2,6.02,-0.67,1.90,1.00,0.30,0.30,0.30,0.00,0.00,1.900,1.047,0.00,0.00,38.09
WHLR,2025-03-31,10:44:00,3.51,3.42,3.68,15000,10:57:00,3.41,stop,-1486.78,-2.82,False,,0,0.00,21.98,2546969,5.06,-7.27,False,0.06,3,6.11,5.61,2.60,1.00,0.30,0.30,0.30,0.30,0.20,2.600,1.561,0.20,0.00,21.72
ZYBT,2025-03-31,10:03:00,6.22,6.03,6.60,8940,10:12:00,6.01,stop,-1868.82,-3.36,False,,0,0.00,22.31,298018,7.36,0.10,False,0.06,3,3.02,7.33,1.70,1.00,0.00,-0.30,0.30,0.30,0.20,1.700,1.561,0.20,0.00,28.36
SPIR,2025-04-01,10:26:00,8.18,8.00,8.53,15000,11:33:00,7.98,stop,-3070.50,-2.50,False,,0,0.00,10.67,593254,3.33,-1.24,False,,3,3.84,3.69,1.50,1.00,0.00,0.00,0.00,0.30,0.00,1.500,1.868,0.20,0.00,26.64
VMAR,2025-04-02,10:31:00,5.98,5.71,6.57,13486,10:43:00,8.34,exhaust+trail_stop,25701.12,31.87,False,,0,0.00,106.72,249786,12.85,4.92,False,,3,16.08,11.10,1.50,1.80,0.00,0.00,0.00,0.30,0.00,1.500,2.074,0.20,0.00,36.10
EDZ,2025-04-07,10:28:00,10.58,10.17,11.49,10250,15:45:00,10.88,force_close,3048.87,2.81,False,,0,0.00,14.34,256256,-1.71,13.00,False,-0.19,2,4.59,-1.21,1.80,2.00,0.30,-0.30,0.30,0.30,0.20,1.800,2.831,0.00,0.00,18.06
RIOX,2025-04-07,09:59:00,6.91,6.67,7.19,9284,10:12:00,7.67,exhaust+trail_stop,7686.79,11.97,False,,0,0.00,48.41,257917,7.45,-15.94,False,-0.19,2,6.92,9.13,2.60,1.80,0.30,0.30,0.30,0.30,0.20,2.600,2.831,0.20,0.00,25.93
SMCY,2025-04-07,10:16:00,20.03,19.38,21.39,10495,10:20:00,19.33,stop,-7374.88,-3.51,False,,0,0.00,16.96,291568,10.41,-5.15,False,-0.19,3,4.49,10.71,1.70,1.80,0.00,-0.30,0.30,0.30,0.20,1.700,2.831,0.20,0.00,21.90
SOFX,2025-04-07,09:56:00,6.03,5.73,6.50,7504,10:18:00,7.44,trail_stop,10562.78,23.34,False,,0,0.00,50.97,208497,7.58,-17.40,False,-0.19,3,4.44,9.37,1.70,1.80,0.00,-0.30,0.30,0.30,0.20,1.700,2.831,0.20,0.00,22.47
AGL,2025-04-08,09:56:00,5.71,5.56,6.01,18000,09:58:00,5.54,stop,-2971.44,-2.89,False,,0,0.00,17.37,4987742,2.17,27.29,False,0.01,2,4.89,2.66,2.10,1.80,0.30,0.00,0.30,0.30,0.00,2.100,4.936,0.20,0.00,37.41
AREB,2025-04-08,09:43:00,13.67,13.06,15.03,11250,09:44:00,13.02,stop,-7325.37,-4.76,False,,0,0.00,86.3,18183668,6.58,2.17,False,0.01,2,22.30,6.52,1.70,1.80,0.00,0.00,0.00,0.30,0.20,1.700,4.936,0.20,0.00,44.71
FATN,2025-04-16,10:05:00,7.99,7.84,8.25,18000,10:21:00,8.28,trail_stop,5349.85,3.72,False,,0,0.00,43.65,2650064,6.29,-13.14,False,,2,5.15,5.92,3.00,1.80,0.30,0.30,0.30,0.30,0.20,3.600,2.098,0.20,0.00,33.78
SCLX,2025-04-23,10:30:00,4.63,4.54,4.78,18000,10:43:00,4.72,trail_stop,1714.32,2.06,False,,0,0.00,30.0,1246944,8.73,-4.76,False,,2,3.16,9.26,1.80,1.00,0.00,0.00,0.30,0.30,0.00,1.800,1.979,0.20,0.00,24.30
SMCL,2025-04-23,09:38:00,11.04,10.60,11.69,13043,10:02:00,10.57,stop,-6218.48,-4.32,False,,0,0.00,13.33,921557,2.67,15.86,False,,3,7.36,4.27,2.30,1.80,0.30,0.00,0.30,0.30,0.20,2.300,1.979,0.20,0.00,26.21
