symbol,date,wave,entry_time,exit_time,entry_price,exit_price,shares,pnl_pct,pnl_dollar,exit_reason,cross_time_min,vol_at_cross,macd_hist_pct,w1_pnl
CSAI,2025-02-13,1,2025-02-13 14:34:00+00:00,2025-02-13 14:35:00+00:00,21.0774,20.6352,1897,-2.1,-838.86,hard_stop,3,33362,1.5466,-2.1
CYD,2025-02-20,1,2025-02-20 15:17:00+00:00,2025-02-20 15:19:00+00:00,20.3653,19.9381,1964,-2.1,-839.15,hard_stop,2,176212,0.5255,-2.1
AXGN,2025-02-25,1,2025-02-25 14:33:00+00:00,2025-02-25 14:50:00+00:00,18.3684,19.3806,2177,5.51,2203.67,macd_flip,2,53800,0.6428,5.51
GCO,2025-03-07,1,2025-03-07 15:59:00+00:00,2025-03-07 16:18:00+00:00,25.2991,26.1438,1581,3.34,1335.56,macd_flip,3,5352,0.6831,3.34
TITN,2025-03-20,1,2025-03-20 13:38:00+00:00,2025-03-20 13:39:00+00:00,14.8398,14.5285,2695,-2.1,-839.06,hard_stop,1,49870,0.5768,-2.1
TNXP,2025-03-21,1,2025-03-21 13:33:00+00:00,2025-03-21 13:47:00+00:00,20.1501,20.9898,1985,4.17,1666.72,macd_flip,2,153975,0.5558,4.17
TNXP,2025-03-24,1,2025-03-24 17:26:00+00:00,2025-03-24 17:58:00+00:00,27.8867,30.2481,1434,8.47,3386.34,macd_flip,1,152919,0.5138,8.47
TNXP,2025-03-31,1,2025-03-31 13:33:00+00:00,2025-03-31 13:47:00+00:00,20.1348,21.5513,1986,7.04,2813.19,macd_flip,2,99869,0.7302,7.04
CBLL,2025-04-11,1,2025-04-11 13:34:00+00:00,2025-04-11 13:41:00+00:00,14.6584,14.3509,2728,-2.1,-838.95,hard_stop,3,41806,0.9156,-2.1
YB,2025-04-30,1,2025-04-30 15:45:00+00:00,2025-04-30 15:47:00+00:00,19.039,18.6396,2100,-2.1,-838.82,hard_stop,1,66751,0.6401,-2.1
HIMZ,2025-05-06,1,2025-05-06 13:34:00+00:00,2025-05-06 13:50:00+00:00,24.4074,28.941,1638,18.57,7426.11,macd_flip,3,63895,1.4005,18.57
CSTL,2025-05-06,1,2025-05-06 15:04:00+00:00,2025-05-06 15:19:00+00:00,16.6967,17.028,2395,1.98,793.4,macd_flip,3,48906,0.5821,1.98
MEG,2025-05-08,1,2025-05-08 13:33:00+00:00,2025-05-08 13:34:00+00:00,21.7617,21.3052,1838,-2.1,-839.16,hard_stop,2,3004,0.5571,-2.1
NAMS,2025-05-08,1,2025-05-08 14:09:00+00:00,2025-05-08 14:41:00+00:00,18.1381,18.996,2205,4.73,1891.59,macd_flip,3,5879,0.5128,4.73
RGTX,2025-05-14,1,2025-05-14 14:30:00+00:00,2025-05-14 14:52:00+00:00,29.7297,31.5934,1345,6.27,2506.64,macd_flip,3,31267,0.657,6.27
AEVA,2025-05-15,1,2025-05-15 13:34:00+00:00,2025-05-15 13:35:00+00:00,16.4464,16.1014,2432,-2.1,-839.15,hard_stop,3,238577,1.4849,-2.1
DFDV,2025-06-02,1,2025-06-02 13:34:00+00:00,2025-06-02 13:35:00+00:00,19.6146,19.2031,2039,-2.1,-839.08,hard_stop,3,64963,0.6648,-2.1
TJGC,2025-06-03,1,2025-06-03 13:37:00+00:00,2025-06-03 13:38:00+00:00,8.6086,8.428,4646,-2.1,-839.11,hard_stop,1,139206,0.7274,-2.1
NAMM,2025-06-06,1,2025-06-06 13:55:00+00:00,2025-06-06 13:56:00+00:00,25.025,24.5,1598,-2.1,-838.99,hard_stop,1,2578,1.9542,-2.1
NEON,2025-06-16,1,2025-06-16 13:46:00+00:00,2025-06-16 13:50:00+00:00,22.1221,21.658,1808,-2.1,-839.13,hard_stop,1,162694,0.6677,-2.1
GEOS,2025-06-23,1,2025-06-23 14:30:00+00:00,2025-06-23 14:48:00+00:00,14.9249,15.8491,2680,6.19,2476.92,macd_flip,2,136277,0.6618,6.19
DFDV,2025-06-24,1,2025-06-24 13:33:00+00:00,2025-06-24 13:38:00+00:00,21.7617,21.3052,1838,-2.1,-839.16,hard_stop,1,114808,0.6882,-2.1
BKSY,2025-06-26,1,2025-06-26 13:34:00+00:00,2025-06-26 13:46:00+00:00,19.9499,20.2298,2005,1.4,561.04,macd_flip,3,214827,0.6427,1.4
BKSY,2025-07-08,1,2025-07-08 13:34:00+00:00,2025-07-08 13:36:00+00:00,24.6346,24.1178,1623,-2.1,-838.82,hard_stop,3,210023,0.5989,-2.1
STEM,2025-07-21,1,2025-07-21 13:40:00+00:00,2025-07-21 13:52:00+00:00,16.8869,16.983,2368,0.57,227.64,macd_flip,3,196601,0.8007,0.57
