symbol,date,wave,entry_time,exit_time,entry_price,exit_price,shares,pnl_pct,pnl_dollar,exit_reason,cross_time_min,vol_at_cross,macd_hist_pct,w1_pnl
KBSX,2025-01-02,1,2025-01-02 15:00:00+00:00,2025-01-02 15:27:00+00:00,10.01,11.6783,4995,16.67,8333.21,macd_flip,2,937,0.735,16.67
SPCB,2025-01-03,1,2025-01-03 13:55:00+00:00,2025-01-03 14:11:00+00:00,9.1158,9.7203,5484,6.63,3314.88,macd_flip,2,117924,0.5779,6.63
XTIA,2025-01-13,1,2025-01-13 14:30:00+00:00,2025-01-13 14:36:00+00:00,7.2861,7.1332,6862,-2.1,-1048.94,hard_stop,1,24775,0.5904,-2.1
MSW,2025-01-13,1,2025-01-13 14:34:00+00:00,2025-01-13 14:41:00+00:00,8.2062,8.034,6092,-2.1,-1048.84,hard_stop,3,24332,1.3094,-2.1
ATRA,2025-01-16,1,2025-01-16 14:14:00+00:00,2025-01-16 14:15:00+00:00,6.7568,6.615,7400,-2.1,-1049.0,hard_stop,1,21927,0.59,-2.1
MYSE,2025-01-16,1,2025-01-16 14:34:00+00:00,2025-01-16 14:58:00+00:00,4.4539,5.5843,11225,25.38,12688.3,macd_flip,3,172731,0.6287,25.38
RNAZ,2025-01-24,1,2025-01-24 13:44:00+00:00,2025-01-24 13:45:00+00:00,7.5577,7.3991,6615,-2.1,-1048.87,hard_stop,2,26497,0.8865,-2.1
FPH,2025-01-24,1,2025-01-24 14:46:00+00:00,2025-01-24 14:54:00+00:00,5.4655,5.4434,9148,-0.4,-202.25,macd_flip,3,138688,0.5882,-0.4
EVAX,2025-01-27,1,2025-01-27 14:33:00+00:00,2025-01-27 14:47:00+00:00,6.1181,6.4835,8172,5.97,2986.03,macd_flip,2,90818,0.502,5.97
NVNI,2025-01-28,1,2025-01-28 15:05:00+00:00,2025-01-28 15:30:00+00:00,4.4745,4.6354,11174,3.6,1797.78,macd_flip,1,241711,0.5299,3.6
EYPT,2025-02-05,1,2025-02-05 14:51:00+00:00,2025-02-05 15:06:00+00:00,7.6575,8.0619,6529,5.28,2640.2,macd_flip,2,183720,0.5757,5.28
GCL,2025-02-05,1,2025-02-05 17:10:00+00:00,2025-02-05 18:22:00+00:00,6.7067,13.5864,7455,102.58,51288.16,macd_flip,3,1627,1.9265,102.58
QNTM,2025-02-06,1,2025-02-06 13:34:00+00:00,2025-02-06 13:35:00+00:00,12.3423,12.0834,4051,-2.1,-1048.97,hard_stop,3,204888,0.7315,-2.1
AIOT,2025-02-10,1,2025-02-10 14:33:00+00:00,2025-02-10 14:46:00+00:00,7.1273,7.2527,7015,1.76,879.82,macd_flip,2,241444,0.8508,1.76
