symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
AEHL,2024-07-10,10:24:00,4.35,4.25,4.48,19737,10:25:00,4.34,post_fill_exit,-257.67,-0.30,False,,0,0.0,61.69,986881,9.88,-1.93,False,,2,5.65,,2.5,1.0,0.3,0.3,0.0,-0.5,0.2,2.5,0.461,0.2,0.0,22.54,0.318,0.461,
LPA,2024-07-16,09:46:00,19.08,18.23,20.98,5791,09:55:00,23.71,pp+trail_stop,17859.72,16.16,False,,0,0.0,84.79,1039452,5.47,-0.26,False,,3,25.55,4.57,2.2,1.8,0.0,0.0,0.0,0.0,0.0,2.2,1.09,0.2,0.0,26.9,3.03,1.09,
IMNN,2024-07-30,09:15:00,3.82,3.67,4.14,9344,09:16:00,3.66,stop,-1495.13,-4.19,False,,0,0.0,34.19,467222,12.98,101.68,False,,3,6.78,13.47,1.8,1.0,0.3,0.0,0.0,0.3,0.0,1.8,1.237,0.2,0.0,261.34,2.238,1.237,
ADV,2024-08-07,09:45:00,3.67,3.5,4.03,19456,15:45:00,3.85,force_close,3536.13,4.95,False,,0,0.0,30.51,972802,9.39,-18.28,False,,3,19.32,8.94,2.7,1.0,0.0,0.0,0.0,0.3,0.2,2.7,2.163,0.2,0.0,23.73,0.117,2.163,
HNST,2024-08-09,09:44:00,4.04,3.91,4.32,18000,09:47:00,3.9,stop,-2558.37,-3.52,False,,0,0.0,12.83,1496986,4.09,8.02,False,,2,7.69,4.46,1.8,1.0,0.3,0.0,0.0,0.3,0.0,1.8,2.239,0.2,0.0,25.0,0.521,2.239,
UBXG,2024-08-12,10:06:00,12.4,12.07,13.08,8686,10:10:00,12.69,pp+trail_stop,2736.39,2.54,False,,0,0.0,34.9,241343,7.62,0.72,False,,2,5.63,7.21,2.3,1.8,0.3,0.0,0.3,0.3,0.2,2.3,1.85,0.2,0.0,23.4,2.262,1.85,
TOYO,2024-08-12,10:18:00,5.18,4.99,5.58,8015,10:41:00,5.3,pp+trail_stop,1627.89,3.92,False,,0,0.0,32.44,400756,6.35,5.85,False,,3,6.68,6.74,2.1,1.0,0.3,0.0,0.3,0.3,0.0,2.1,1.85,0.2,0.0,20.61,1.017,1.85,
SIGA,2024-08-15,10:32:00,8.21,7.96,8.74,24360,10:39:00,7.94,stop,-6692.42,-3.35,False,,0,0.0,42.65,1270899,10.3,-41.94,False,,3,5.36,10.68,2.7,1.0,0.3,0.0,0.0,0.0,0.2,2.7,0.972,0.2,0.0,20.15,1.094,0.972,
HAIN,2024-08-27,10:13:00,9.1,8.78,9.77,13333,10:36:00,8.75,stop,-4554.42,-3.76,False,,0,0.0,28.55,943130,4.4,3.95,False,,2,7.5,4.75,1.8,1.0,0.3,0.0,0.3,0.0,0.0,1.8,1.129,0.2,0.0,35.47,1.384,1.129,
SOND,2024-08-28,10:11:00,8.01,7.83,8.21,20000,10:14:00,7.81,stop,-4066.80,-2.54,False,,0,0.0,24.13,2592659,0.02,-1.43,False,,3,6.03,1.28,1.8,2.0,0.3,0.3,0.0,0.0,0.2,1.8,0.86,0.0,0.0,17.9,0.366,0.86,
