r,frac,trades,WR%,total,2025,2026,green,worst_mo,mdd,top5%
1.0,0.33,78,61.5,74516,76310,-1794,13/20,-14762,-32561,86
1.0,0.5,78,61.5,63970,65915,-1945,13/20,-14939,-31728,91
1.0,0.67,78,61.5,53424,55522,-2098,13/20,-16050,-30895,98
1.5,0.33,78,55.1,111322,102403,8919,14/20,-14938,-27478,64
1.5,0.5,78,55.1,105105,98870,6236,13/20,-14938,-25955,65
1.5,0.67,78,55.1,98890,95337,3553,13/20,-14938,-24432,67
2.0,0.33,77,53.2,131689,114391,17298,14/20,-14938,-25828,62
2.0,0.5,77,53.2,132053,113123,18931,15/20,-14938,-24247,62
2.0,0.67,77,53.2,132418,111854,20564,15/20,-14938,-24247,61
2.5,0.33,77,51.9,128807,119687,9120,14/20,-14938,-36629,66
2.5,0.5,77,51.9,131154,121147,10008,14/20,-14938,-36352,65
2.5,0.67,77,51.9,133502,122607,10895,14/20,-14938,-36076,65
