symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,6748,10:35:00,3.81,partial+target,1349.6,4.42,True,3.75,3374,438.62,33.85,337424,-9.4,-2.23,False,0.01,3,6.47,-7.92,2.9,1.0,0.3,0.3,0.3,0.0,0.0,2.9,1.053,0.0,0.0,30.63,0.199,1.053,
GMEX,2025-02-07,10:29:00,4.82,4.64,5.15,15940,10:39:00,4.63,stop,-3863.85,-4.02,False,,0,0.0,125.15,442828,-2.46,-13.69,False,0.01,2,6.21,-1.35,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.814,0.0,0.0,27.09,1.935,0.814,
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,10:54:00,3.03,partial+breakeven,459.9,0.67,True,3.09,9000,450.0,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.0,1.8,0.3,0.3,0.3,0.0,0.2,3.3,1.059,0.2,0.0,20.41,2.142,1.059,
CSAI,2025-02-26,10:18:00,8.66,8.47,9.02,20000,10:27:00,8.63,partial+breakeven,2460.3,0.95,True,8.85,10000,1900.0,22.45,1455089,-1.34,9.22,False,-0.13,2,4.14,-0.84,1.8,2.0,0.0,0.0,0.3,0.3,0.2,1.8,1.439,0.0,0.0,15.8,0.805,1.439,
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,11234,09:58:00,8.87,partial+target,5308.07,3.7,True,8.8,5617,1572.76,21.95,280864,1.01,-1.75,False,-0.13,2,4.69,2.72,2.1,2.0,0.3,0.0,0.3,0.3,0.2,2.1,1.439,0.0,0.0,16.05,0.357,1.439,
MEG,2025-02-27,09:40:00,20.46,19.78,21.73,9775,10:18:00,21.73,partial+target,14295.94,4.77,True,21.14,7443,5061.24,25.16,372173,2.46,8.49,False,0.05,2,8.76,3.29,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,1.271,0.2,0.0,16.28,0.197,1.271,
MSW,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-7681.84,-5.98,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,
PMA,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-7681.84,-5.98,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,
PCLA,2025-02-28,10:10:00,5.28,5.12,5.6,18000,10:16:00,5.1,stop,-4734.72,-3.32,False,,0,0.0,30.12,1782161,1.12,9.95,False,,2,5.0,1.62,1.9,1.8,0.3,0.0,0.3,0.3,0.0,1.9,1.668,0.0,0.0,41.89,0.393,1.668,
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000,10:28:00,3.62,partial+target,2835.0,2.98,True,3.63,9000,990.0,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,1.668,0.2,0.0,29.5,1.195,1.668,
MAXN,2025-03-04,10:04:00,3.22,3.1,3.47,10620,11:16:00,3.21,partial+breakeven,878.87,1.71,True,3.34,5310,637.2,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,2.468,0.2,0.0,28.73,2.319,2.468,
KAZR,2025-03-10,09:42:00,10.24,9.94,10.7,16666,11:24:00,10.7,partial+target,9500.0,3.71,True,10.54,10000,3000.0,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.967,0.2,0.0,18.22,2.39,1.967,
SKBL,2025-03-10,09:42:00,10.24,9.94,10.7,16666,11:24:00,10.7,partial+target,9500.0,3.71,True,10.54,10000,3000.0,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.967,0.2,0.0,18.22,2.39,1.967,
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233,11:18:00,4.48,partial+target,5826.77,6.17,True,4.29,7616,1218.56,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.0,1.8,0.0,0.3,0.3,0.3,0.2,3.3,2.118,0.2,0.0,51.08,3.756,2.118,
