symbol,date,entry_time_et,entry_price,stop_loss,target,shares,exit_time_et,exit_price,exit_reason,pnl,pnl_pct,partial_taken,partial_price,partial_shares,partial_pnl,daily_range_pct,avg_volume_20d,qf_vwap_dist_pct,qf_gap_pct,qf_gap_fading,qf_spy_return_pct,qf_pole_bars,qf_pole_gain_pct,qf_fill_vwap_dist_pct,conviction_mult,macd_zone_mult,conv_pole_gain,conv_flag_tightness,conv_vol_ratio,conv_spy_regime,conv_retracement,conv_raw_score,spy_3d_range,conv_vwap_dist,conv_gap_fading,intraday_change_at_entry,bk_ratio_at_fill,spy_3d_at_fill,planned_entry,year,month,R,univ_ok
ARQQ,2025-01-15,08:46:00,22.26,21.72,22.94,17037,09:29:00,24.36,exhaust+trail_stop,37482.96,9.88,False,,0,0.0,26.54,1272005,2.63,13.02,False,-0.05,2,6.42,3.81,2.3,1.0,0.3,0.3,0.3,0.0,0.2,2.3,1.18,0.2,0.0,21.88,0.362,1.18,,2025,2025-01,4.074243639660065,True
GRAL,2025-01-27,10:00:00,26.47,25.35,28.95,4444,11:54:00,25.27,stop,-5322.36,-4.52,False,,0,0.0,21.68,990510,2.21,-2.62,False,0.28,2,9.68,2.69,2.2,1.0,0.0,0.0,0.3,-0.5,0.2,2.2,0.587,0.2,0.0,21.68,0.242,0.587,,2025,2025-01,-1.069331040246884,True
DOMH,2025-01-31,10:23:00,3.62,3.49,3.81,6748,10:36:00,3.85,trail_stop,1588.51,6.51,False,,0,0.0,33.85,337424,-9.4,-2.23,False,0.01,3,6.47,-7.92,2.9,1.0,0.3,0.3,0.3,0.0,0.0,2.9,1.053,0.0,0.0,30.63,0.199,1.053,,2025,2025-01,1.8108043408873298,True
GMEX,2025-02-07,10:29:00,4.82,4.64,5.15,15940,10:39:00,4.63,stop,-3154.84,-4.1,False,,0,0.0,125.15,442828,-2.46,-13.69,False,0.01,2,6.21,-1.35,2.6,1.8,0.3,0.0,0.3,0.0,0.0,2.6,0.814,0.0,0.0,27.09,1.935,0.814,,2025,2025-02,-1.0995538826153595,True
RPID,2025-02-24,10:31:00,3.04,2.99,3.13,18000,11:06:00,2.98,stop,-1063.71,-1.94,False,,0,0.0,20.41,583313,5.03,-1.56,False,0.02,2,7.36,5.54,3.0,1.8,0.3,0.3,0.3,0.0,0.2,3.3,1.059,0.2,0.0,20.41,2.142,1.059,,2025,2025-02,-1.1819000000000042,True
AXGN,2025-02-25,09:45:00,19.94,19.25,20.84,13095,09:54:00,19.19,stop,-9781.31,-3.75,False,,0,0.0,29.47,363777,5.68,-8.83,False,0.0,3,5.81,6.93,3.0,1.8,0.3,0.0,0.3,0.3,0.0,3.1,1.224,0.2,0.0,23.18,3.128,1.224,,2025,2025-02,-1.0825362042155686,True
CSAI,2025-02-26,10:18:00,8.66,8.47,9.02,20000,10:24:00,8.8,trail_stop,2908.7,1.68,False,,0,0.0,22.45,1455089,-1.34,9.22,False,-0.13,2,4.14,-0.84,1.8,2.0,0.0,0.0,0.3,0.3,0.2,1.8,1.439,0.0,0.0,15.8,0.805,1.439,,2025,2025-02,0.7654473684210547,True
EHTH,2025-02-26,09:52:00,8.52,8.24,8.87,11234,10:11:00,9.17,exhaust+trail_stop,7176.28,7.5,False,,0,0.0,21.95,280864,1.01,-1.75,False,-0.13,2,4.69,2.72,2.1,2.0,0.3,0.0,0.3,0.3,0.2,2.1,1.439,0.0,0.0,16.05,0.357,1.439,,2025,2025-02,2.281428825758544,True
MEG,2025-02-27,09:40:00,20.46,19.78,21.73,14886,10:27:00,21.25,trail_stop,11707.29,3.84,False,,0,0.0,25.16,372173,2.46,8.49,False,0.05,2,8.76,3.29,2.1,2.0,0.3,0.0,0.3,0.3,0.0,2.1,1.271,0.2,0.0,16.28,0.197,1.271,,2025,2025-02,1.1565634113379335,True
MSW,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,2025,2025-02,-1.0334477019692718,True
PMA,2025-02-27,09:47:00,5.09,4.8,5.59,16824,10:04:00,4.79,stop,-5042.15,-5.89,False,,0,0.0,24.41,420612,3.39,7.2,False,0.05,2,5.78,5.14,1.8,2.0,0.3,-0.3,0.3,0.3,0.0,1.8,1.271,0.2,0.0,17.78,0.147,1.271,,2025,2025-02,-1.0334477019692718,True
PCLA,2025-02-28,10:10:00,5.28,5.12,5.6,18000,10:16:00,5.1,stop,-3088.98,-3.25,False,,0,0.0,30.12,1782161,1.12,9.95,False,,2,5.0,1.62,1.9,1.8,0.3,0.0,0.3,0.3,0.0,1.9,1.668,0.0,0.0,41.89,0.393,1.668,,2025,2025-02,-1.072562499999999,True
STAK,2025-02-28,10:16:00,3.52,3.41,3.62,18000,10:40:00,3.59,trail_stop,1380.33,2.18,False,,0,0.0,44.6,869210,6.86,-0.83,False,,2,8.44,8.75,3.0,1.8,0.3,0.3,0.3,0.3,0.0,3.4,1.668,0.2,0.0,29.5,1.195,1.668,,2025,2025-02,0.6971363636363644,True
TPC,2025-02-28,09:41:00,25.75,25.27,26.62,20000,09:57:00,26.58,trail_stop,16638.4,3.23,False,,0,0.0,25.06,581792,3.08,13.26,False,,2,7.04,3.28,2.6,2.0,0.3,0.3,0.3,0.3,0.2,2.6,1.668,0.2,0.0,16.87,0.906,1.668,,2025,2025-02,1.7331666666666652,True
MAXN,2025-03-04,10:04:00,3.22,3.1,3.47,10620,11:41:00,3.09,stop,-1343.39,-3.93,False,,0,0.0,26.49,295043,9.16,0.29,False,,3,6.73,9.53,2.1,1.8,0.3,0.0,0.3,0.3,0.0,2.1,2.468,0.2,0.0,28.73,2.319,2.468,,2025,2025-03,-1.0541352793471428,True
VSTD,2025-03-07,09:49:00,14.08,13.49,15.38,8177,09:50:00,13.45,stop,-5155.76,-4.48,False,,0,0.0,18.25,227196,5.22,10.43,False,,2,10.74,4.52,1.8,1.8,0.0,0.0,0.3,0.3,0.0,1.8,2.04,0.2,0.0,22.87,3.578,2.04,,2025,2025-03,-1.068677543253815,True
KAZR,2025-03-10,09:42:00,10.24,9.94,10.7,20000,12:41:00,10.71,trail_stop,9452.25,4.61,False,,0,0.0,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.967,0.2,0.0,18.22,2.39,1.967,,2025,2025-03,1.5753749999999962,True
SKBL,2025-03-10,09:42:00,10.24,9.94,10.7,20000,12:41:00,10.71,trail_stop,9452.25,4.61,False,,0,0.0,18.14,1226600,2.68,10.27,False,,3,3.81,3.49,1.8,2.0,0.0,0.0,0.3,0.3,0.0,1.8,1.967,0.2,0.0,18.22,2.39,1.967,,2025,2025-03,1.5753749999999962,True
EWCZ,2025-03-11,09:56:00,4.13,3.97,4.48,15233,12:28:00,4.4,trail_stop,4064.51,6.46,False,,0,0.0,67.26,423153,8.44,-46.77,False,,2,49.63,6.14,3.0,1.8,0.0,0.3,0.3,0.3,0.2,3.3,2.118,0.2,0.0,51.08,3.756,2.118,,2025,2025-03,1.6676417974135136,True
