symbol,date,year,entry_time_et,entry_price,qf_pole_gain_pct,qf_vwap_dist_pct,conviction_mult,macd_zone_mult,tier,R,pnl,exit_reason,regime
RPID,2025-02-24,2025,10:31:00,3.04,7.36,5.03,3.0,1.8,A,-1.1819000000000042,-1063.71,stop,A
AXGN,2025-02-25,2025,09:45:00,19.94,5.81,5.68,3.0,1.8,A,-1.0825362042155686,-9781.31,stop,C1
MSW,2025-02-27,2025,09:47:00,5.09,5.78,3.39,1.8,2.0,E,-1.0334477019692718,-5042.15,stop,C1
PMA,2025-02-27,2025,09:47:00,5.09,5.78,3.39,1.8,2.0,E,-1.0334477019692718,-5042.15,stop,C1
PCLA,2025-02-28,2025,10:10:00,5.28,5.0,1.12,1.9,1.8,A,-1.072562499999999,-3088.98,stop,C1
STAK,2025-02-28,2025,10:16:00,3.52,8.44,6.86,3.0,1.8,A,0.6971363636363644,1380.33,trail_stop,C1
MAXN,2025-03-04,2025,10:04:00,3.22,6.73,9.16,2.1,1.8,A,-1.0541352793471428,-1343.39,stop,C1
VSTD,2025-03-07,2025,09:49:00,14.08,10.74,5.22,1.8,1.8,A,-1.068677543253815,-5155.76,stop,C1
EWCZ,2025-03-11,2025,09:56:00,4.13,49.63,8.44,3.0,1.8,A,1.6676417974135136,4064.51,trail_stop,C1
KBSX,2025-03-19,2025,10:07:00,3.87,10.83,1.25,2.6,1.8,A,5.4123267973856235,16561.72,exhaust+trail_stop,C1
OM,2025-03-20,2025,10:26:00,10.02,7.1,9.25,2.3,1.8,A,3.4759290123456843,22524.02,trail_stop,C1
TITN,2025-03-20,2025,09:44:00,15.34,11.12,8.5,2.5,1.8,A,2.4495660833689015,15668.38,exhaust+trail_stop,C1
CAPS,2025-03-25,2025,09:45:00,3.04,16.92,9.67,2.7,1.8,A,-1.1366833333333324,-2046.03,stop,C1
WHLR,2025-03-31,2025,10:44:00,3.51,6.11,5.06,2.6,1.0,A,-1.101316239316241,-2577.08,stop,C1
TNXP,2025-04-07,2025,09:56:00,17.19,7.95,8.17,3.0,1.8,A,0.7619999999999979,5074.92,trail_stop,B
SCLX,2025-04-15,2025,09:36:00,7.21,5.95,2.38,2.6,1.8,A,-1.0915328282828296,-4322.47,stop,B
FATN,2025-04-16,2025,10:05:00,7.99,5.15,6.29,3.0,1.8,A,2.378451851851846,6421.82,exhaust+trail_stop,B
CPS,2025-05-02,2025,09:52:00,19.79,17.19,6.28,2.3,1.8,A,2.4576044220850575,23252.87,exhaust+trail_stop,B
ITOC,2025-05-15,2025,10:09:00,4.75,21.68,8.34,3.0,1.8,A,-1.2207525734953155,-1053.07,stop,B
TSSI,2025-05-16,2025,09:57:00,13.92,8.02,3.84,1.8,1.8,A,1.8519306923559609,14137.25,trail_stop,A
RYET,2025-05-23,2025,10:14:00,13.09,7.32,0.83,2.2,1.8,A,-1.0633232582079424,-9709.63,stop,A
FMST,2025-05-28,2025,09:42:00,3.72,13.3,7.47,1.8,2.0,E,1.0691999999999977,3635.28,trail_stop,A
NEGG,2025-06-09,2025,10:25:00,13.57,7.55,9.85,1.8,1.0,A,0.7460001465883905,3155.23,trail_stop,A
AGIG,2025-06-16,2025,09:52:00,11.33,17.98,1.9,2.3,1.8,A,-1.0580544662309372,-9712.94,stop,A
EGG,2025-07-09,2025,09:57:00,7.19,7.89,7.42,2.3,1.8,A,1.3056449275362296,5405.37,trail_stop,A
SDM,2025-08-07,2025,10:18:00,10.74,6.53,7.92,2.5,1.8,A,1.5742432432432387,10484.46,trail_stop,A
FABC,2025-09-11,2025,09:53:00,4.84,14.75,3.71,2.5,1.0,A,1.4045980377800606,1438.8,trail_stop,A
SBLX,2025-09-11,2025,09:53:00,4.84,14.75,3.71,2.5,1.0,A,1.4045980377800606,1438.8,trail_stop,A
AQMS,2025-10-13,2025,09:39:00,6.83,6.61,2.2,1.8,1.8,A,1.5001969696969712,5940.78,trail_stop,A
IPDN,2025-10-13,2025,09:57:00,3.62,6.71,8.58,2.5,1.8,A,2.6559861111111087,7649.24,exhaust+trail_stop,A
DFNS,2025-10-16,2025,09:38:00,15.28,8.23,2.3,2.4,2.0,E,-1.0966190476190478,-9211.6,stop,A
DTCK,2025-11-05,2025,09:45:00,4.49,5.84,1.74,2.6,1.0,A,0.6393999999999966,1662.44,trail_stop,A
AREN,2025-11-14,2025,09:46:00,3.86,13.65,12.24,2.7,1.8,A,2.5407754358574035,4393.89,exhaust+trail_stop,A
PAAI,2025-11-14,2025,09:46:00,3.86,13.65,12.35,2.7,1.0,A,2.540796252927401,2441.07,exhaust+trail_stop,A
VELO,2025-11-20,2025,09:46:00,4.92,12.34,3.54,1.8,2.0,E,1.3331111111111131,4799.2,trail_stop,C2
PHGE,2025-12-08,2025,08:58:00,3.2,8.19,6.77,1.8,2.0,E,-1.046999999999997,-2303.4,stop,A
KZIA,2025-12-23,2025,10:36:00,8.12,15.4,5.48,2.3,1.8,A,2.971756143032121,10966.85,exhaust+trail_stop,A
KXIN,2025-12-29,2025,10:15:00,5.2,5.4,5.67,2.2,1.8,A,-0.06494907407407402,-280.58,post_fill_exit,A
KXIN,2025-12-29,2025,10:19:00,5.2,5.4,6.28,2.2,1.8,A,-1.031414351851851,-4455.71,stop,A
VELO,2026-01-06,2026,09:49:00,17.1,7.64,4.9,1.8,2.0,E,0.33271739130434724,3061.0,trail_stop,A
BNRG,2026-01-27,2026,10:00:00,3.19,5.17,0.09,1.8,1.8,A,0.7986215277777771,2300.03,trail_stop,A
BRNX,2026-01-27,2026,10:00:00,3.19,5.17,0.09,1.8,1.8,A,0.7986215277777771,2300.03,trail_stop,A
PMN,2026-02-03,2026,09:59:00,15.82,8.01,3.31,2.1,2.0,E,2.5104485100355816,22616.48,exhaust+trail_stop,A
KPTI,2026-02-12,2026,09:46:00,7.81,6.48,6.7,2.5,1.8,A,2.3185343770210314,10396.54,trail_stop,A
DBGI,2026-02-17,2026,10:23:00,5.66,6.06,6.37,1.8,1.8,A,-1.0749135802469152,-3482.72,stop,C2
ADVB,2026-02-24,2026,10:42:00,4.88,9.75,7.11,2.7,1.8,A,-1.1153748692126593,-2729.01,stop,C1
LAW,2026-02-25,2026,10:02:00,3.1,10.81,13.01,2.4,1.8,A,-1.0533589389954445,-2627.33,stop,C1
ANPA,2026-02-27,2026,10:14:00,11.04,15.2,3.6,2.5,1.8,A,-1.0738798185941076,-9471.62,stop,A
QCLS,2026-03-06,2026,10:20:00,3.97,7.5,4.82,2.5,1.0,A,0.7771341463414627,917.64,trail_stop,C1
EDHL,2026-03-13,2026,10:13:00,3.64,8.78,3.31,2.0,2.0,E,0.2757262927096649,301.81,trail_stop,C1
MKDW,2026-03-26,2026,09:51:00,6.13,17.99,5.43,2.0,1.8,A,2.0821211415129963,7506.13,trail_stop,C1
GLND,2026-04-01,2026,09:47:00,8.22,6.79,3.59,2.6,2.0,E,-1.1245999999999938,-4498.4,stop,C1
TMCR,2026-04-09,2026,09:57:00,11.56,7.47,0.43,2.6,1.8,A,2.417076190476193,15227.58,exhaust+trail_stop,A
TRT,2026-05-15,2026,10:45:00,18.47,6.95,11.9,1.8,1.0,A,1.0039417104634518,4202.5,trail_stop,A
