id,n,tr_mo,ex5tr,mo_green,worst_mo,mdd,pnl,top5,wr,Rpick,monster
P1,49,2.8823529411764706,59198.84,81.25,-12856.66,-15153.470000000001,139061.47999999998,57.42973539473333,65.3061224489796,0.8026652340061271,MONSTER-DEP
PX_25,51,3.0,78328.07,82.35294117647058,-5168.98,-15153.470000000001,166514.78,52.96028977127436,66.66666666666666,0.8737530101431026,MONSTER-DEP
POLE_4,52,3.0588235294117645,62367.850000000006,81.25,-5680.379999999999,-15153.470000000001,142230.49,56.15015458359175,63.46153846153846,0.7585807116804677,MONSTER-DEP
MACD_OFF,53,3.1176470588235294,68905.54000000001,81.25,-12856.66,-15153.470000000016,148768.18,53.68260874065947,64.15094339622641,0.7821498518528337,MONSTER-DEP
F1,70,4.117647058823529,70454.42,76.47058823529412,-6768.43,-15901.960000000006,150317.06,53.12945849260223,62.857142857142854,0.6565221183581283,MONSTER-DEP
VOL_50K,79,4.647058823529412,72485.16,76.47058823529412,-7009.879999999999,-16013.329999999998,152347.80000000002,52.42126240090109,60.75949367088608,0.665385646166237,MONSTER-DEP
CONV_1.2,78,4.588235294117647,102272.87000000001,75.0,-5890.719999999999,-17116.44,187895.81,45.5693716640089,61.53846153846154,0.6846940769768312,
VOL_OFF,92,5.411764705882353,71285.71,76.47058823529412,-7376.5,-16174.689999999999,151148.35,52.83725558366995,59.78260869565217,0.5729223518432518,MONSTER-DEP
F2,91,5.352941176470588,91155.74000000003,82.35294117647058,-4105.529999999999,-18688.27,176778.68,48.43510540977001,60.43956043956044,0.5903704732676626,
CONV_OFF,103,6.0588235294117645,111733.45000000003,81.25,-6736.78,-17116.44,197356.38999999998,43.3849342298975,60.19417475728155,0.5666731404623677,
F3,108,6.352941176470588,109705.66000000002,88.23529411764706,-8396.49,-15565.75999999998,199425.84,44.98924512490458,59.25925925925925,0.6059117844759262,
F4,126,7.411764705882353,105853.31,82.35294117647058,-7637.11,-18945.26000000001,195573.49,45.87543025386519,58.730158730158735,0.5212198610688558,
F4b,141,8.294117647058824,73140.68,82.35294117647058,-23559.07,-30643.71000000002,162860.86,55.090081189550396,54.60992907801418,0.4037266508401674,MONSTER-DEP
F4c,160,9.411764705882353,112628.94000000003,82.35294117647058,-18629.2,-27882.70000000001,202349.12,44.33929833744768,55.00000000000001,0.3912483217217845,
F5,189,11.117647058823529,50358.21000000002,64.70588235294117,-34551.159999999996,-49352.42000000003,140078.39,64.04997944365294,49.2063492063492,0.23358741083303877,MONSTER-DEP
F7,200,11.764705882352942,123298.43999999992,82.35294117647058,-4106.69,-19091.079999999994,208921.38,40.98333066725866,54.0,0.3651200785186799,
F8,208,12.235294117647058,124854.26000000001,82.35294117647058,-13483.77,-22737.27000000002,214574.44,41.81307894826617,53.36538461538461,0.35274615114175584,
F6,303,17.823529411764707,33721.42999999999,58.82352941176471,-34460.07,-62963.79999999999,123441.61000000002,72.68228274080353,46.53465346534654,0.12459642945458695,MONSTER-DEP
