Index,day,symbol,entry_m,filled,exit_m,why,rr,r_pct,rv_profile,rv_clock,price,adv20,is_wrapper,dist_open_pct,split,wk
447,2025-01-10,NINE,577,1,579.0,stop,-1.0283312655086834,3.4093312465631715,1.665315519683741,0.3988070216127675,1.41846,3262987.6,0.0,5.539552238805956,TRAIN,2025-01-04/2025-01-10
441,2025-01-10,MDAI,578,1,582.0,stop,-1.0346456692913417,2.8053898829246693,1.5731831027806016,1.0364558377256017,2.2635,1629397.8,0.0,5.455607476635493,TRAIN,2025-01-04/2025-01-10
436,2025-01-10,KITT,580,1,583.0,target,2.0,4.512320019278268,1.4968574337852851,1.3289677565055598,3.3198,34669196.0,0.0,5.410828025477676,TRAIN,2025-01-04/2025-01-10
474,2025-01-10,YSXT,580,1,606.0,stop,-1.0256755241619004,3.7487548283239387,1.2479015070083603,0.6585569754150088,4.758380000000001,305463.2,0.0,6.611011235955044,TRAIN,2025-01-04/2025-01-10
415,2025-01-10,BNRG,581,1,593.0,target,2.0,2.2353482411317187,1.1010541329164365,0.6153382466675739,2.43452,2426244.6,0.0,5.076190476190456,TRAIN,2025-01-04/2025-01-10
437,2025-01-10,LPSN,583,1,900.0,eod,0.6577202399747405,4.529656592817195,1.5417560285276262,0.4591358891801859,1.39834,10572541.6,0.0,6.425190839694639,TRAIN,2025-01-04/2025-01-10
468,2025-01-10,VNCE,583,1,607.0,stop,-1.0234458229000687,4.090678411963796,3.362827444386065,0.6039574479603705,4.2956199999999995,327609.0,0.0,6.010148514851443,TRAIN,2025-01-04/2025-01-10
458,2025-01-10,SMXT,600,1,634.0,stop,-1.6354268891069652,4.220510271703113,2.8777134670559965,,1.44864,311534.2,0.0,15.545599999999984,TRAIN,2025-01-04/2025-01-10
507,2025-01-13,SOUNW,576,1,585.0,stop,-1.2229122621564477,3.299501238184921,1.835920935477028,0.6798963346908543,6.88104,246947.8333333333,0.0,6.36465116279068,TRAIN,2025-01-11/2025-01-17
496,2025-01-13,NRGV,579,1,613.0,stop,-1.037543319214476,2.5944833511494005,3.242499074815948,0.9061474095677258,2.0019400000000003,1807392.6666666667,0.0,6.168617021276601,TRAIN,2025-01-11/2025-01-17
512,2025-01-13,YHC,592,1,709.0,stop,-1.0444606413994162,2.1997049958314907,3.592659046677332,0.7656221379483457,1.5593000000000004,246249.8333333333,0.0,8.71678321678322,TRAIN,2025-01-11/2025-01-17
500,2025-01-13,RADX,612,1,619.0,stop,-1.0413722826086977,2.3600333482973372,1.8930465360420976,,6.237200000000001,110575.83333333331,0.0,13.065454545454536,TRAIN,2025-01-11/2025-01-17
513,2025-01-13,ZBAI,628,1,631.0,stop,-1.1741573033707886,4.5263303897545,3.785768472853131,,2.1629,103555.66666666669,0.0,23.22571428571425,TRAIN,2025-01-11/2025-01-17
488,2025-01-13,DRMA,663,1,672.0,stop,-1.044727272727275,2.1868787276342014,1.042077568660165,,1.2575,121320.33333333331,0.0,5.35714285714286,TRAIN,2025-01-11/2025-01-17
499,2025-01-13,PAYS,721,1,855.0,stop,-1.1264965343415276,2.048746482146091,2.3069428963268344,,3.0984800000000003,288730.1666666667,0.0,6.15945017182129,TRAIN,2025-01-11/2025-01-17
506,2025-01-13,SMTK,758,1,958.0,eod,0.4506132137676382,4.17605172290358,1.681699031268546,,3.63166,109956.16666666669,0.0,6.182697947214044,TRAIN,2025-01-11/2025-01-17
549,2025-01-14,OPTX,577,1,595.0,target,2.0,2.178018139956648,3.250489312202133,0.7811630673890895,2.1939854000000003,396093.28571428574,0.0,5.67356038647342,TRAIN,2025-01-11/2025-01-17
