symbol,ts,open,high,low,close,volume,trade_count,vwap
ACHC,2026-09-15 17:15:00+00:00,27.68,27.68,27.68,27.68,730.0,17.0,27.68
ACHC,2026-09-15 17:16:00+00:00,27.68,27.68,27.665,27.67,1455.0,42.0,27.674255
ACHC,2026-09-15 17:17:00+00:00,27.68,27.68,27.68,27.68,959.0,23.0,27.68
ACHC,2026-09-15 17:18:00+00:00,27.65,27.7,27.65,27.7,903.0,29.0,27.676253
ALAB,2026-09-15 17:15:00+00:00,257.535,257.545,257.535,257.545,973.0,46.0,257.542691
ALAB,2026-09-15 17:16:00+00:00,257.65,257.65,257.65,257.65,1287.0,99.0,257.65
ALAB,2026-09-15 17:18:00+00:00,257.505,257.51,257.505,257.51,1277.0,47.0,257.5075
ALAB,2026-09-15 17:19:00+00:00,257.42,257.62,257.42,257.52,4631.0,129.0,257.537822
ALAB,2026-09-15 17:20:00+00:00,257.53,257.85,257.53,257.755,9691.0,160.0,257.700281
ARLP,2026-09-15 17:15:00+00:00,26.23,26.23,26.23,26.23,481.0,9.0,26.23
ARLP,2026-09-15 17:16:00+00:00,26.225,26.225,26.225,26.225,202.0,2.0,26.225
ARLP,2026-09-15 17:18:00+00:00,26.2273,26.2273,26.2273,26.2273,103.0,4.0,26.2273
ARLP,2026-09-15 17:19:00+00:00,26.215,26.215,26.215,26.215,200.0,4.0,26.215
ASTS,2026-09-15 17:15:00+00:00,59.73,59.77,59.72,59.77,11670.0,107.0,59.735189
ASTS,2026-09-15 17:16:00+00:00,59.78,59.78,59.6802,59.6802,8826.0,146.0,59.706402
ASTS,2026-09-15 17:17:00+00:00,59.71,59.71,59.64,59.64,15740.0,164.0,59.679335
ASTS,2026-09-15 17:18:00+00:00,59.635,59.69,59.6228,59.66,9297.0,102.0,59.651128
ASTS,2026-09-15 17:19:00+00:00,59.66,59.66,59.56,59.58,12082.0,173.0,59.606018
ASTS,2026-09-15 17:20:00+00:00,59.59,59.592,59.53,59.545,9245.0,144.0,59.56075
A,2026-09-15 17:15:00+00:00,150.8,150.8,150.61,150.61,2926.0,99.0,150.720219
A,2026-09-15 17:16:00+00:00,150.7699,150.7699,150.69,150.69,1294.0,63.0,150.704729
A,2026-09-15 17:17:00+00:00,150.69,150.69,150.68,150.68,840.0,50.0,150.685
A,2026-09-15 17:18:00+00:00,150.6,150.6,150.47,150.535,5674.0,84.0,150.527416
A,2026-09-15 17:19:00+00:00,150.525,150.525,150.525,150.525,201.0,32.0,150.525
A,2026-09-15 17:20:00+00:00,150.53,150.53,150.53,150.53,644.0,42.0,150.53
ASND,2026-09-15 17:15:00+00:00,231.92,232.2,231.905,231.91,4183.0,52.0,232.0
ASND,2026-09-15 17:16:00+00:00,232.2,232.21,231.98,232.19,4266.0,54.0,232.107333
ASND,2026-09-15 17:17:00+00:00,231.88,231.985,231.42,231.42,2959.0,85.0,231.786908
ASND,2026-09-15 17:18:00+00:00,231.2481,231.2481,231.0,231.0,2583.0,62.0,231.124828
ASND,2026-09-15 17:20:00+00:00,231.06,231.06,231.0,231.0,1127.0,27.0,231.015088
ATAT,2026-09-15 17:15:00+00:00,31.365,31.365,31.365,31.365,625.0,15.0,31.365
ATAT,2026-09-15 17:16:00+00:00,31.33,31.33,31.33,31.33,732.0,17.0,31.33
ATAT,2026-09-15 17:17:00+00:00,31.325,31.325,31.3,31.3,589.0,11.0,31.311962
ATAT,2026-09-15 17:18:00+00:00,31.3,31.32,31.285,31.32,3725.0,42.0,31.304707
ATAT,2026-09-15 17:19:00+00:00,31.29,31.32,31.29,31.31,1223.0,17.0,31.309244
AVGX,2026-09-15 17:15:00+00:00,35.15,35.17,35.15,35.17,1381.0,5.0,35.154615
AVGX,2026-09-15 17:16:00+00:00,35.17,35.17,35.17,35.17,196.0,7.0,35.17
AVGX,2026-09-15 17:17:00+00:00,35.17,35.17,35.16,35.17,751.0,5.0,35.168667
AVGX,2026-09-15 17:18:00+00:00,35.18,35.18,35.15,35.15,400.0,3.0,35.158571
AVGX,2026-09-15 17:19:00+00:00,35.1799,35.18,35.14,35.18,1603.0,12.0,35.162779
AVGX,2026-09-15 17:20:00+00:00,35.2,35.2,35.2,35.2,735.0,7.0,35.2
BABA,2026-09-15 17:15:00+00:00,110.27,110.27,110.19,110.21,9776.0,190.0,110.21168
BABA,2026-09-15 17:16:00+00:00,110.195,110.195,110.12,110.17,5414.0,81.0,110.16257
BABA,2026-09-15 17:17:00+00:00,110.17,110.1887,110.14,110.175,8992.0,100.0,110.154441
BABA,2026-09-15 17:18:00+00:00,110.165,110.165,110.13,110.16,5034.0,88.0,110.14939
BABA,2026-09-15 17:19:00+00:00,110.14,110.17,110.14,110.165,1857.0,70.0,110.161333
BABA,2026-09-15 17:20:00+00:00,110.16,110.19,110.15,110.19,5636.0,126.0,110.175208
AGGH,2026-09-15 17:18:00+00:00,19.42,19.42,19.42,19.42,437.0,6.0,19.42
ANAB,2026-09-15 17:16:00+00:00,54.75,54.76,54.75,54.76,523.0,22.0,54.754444
ANAB,2026-09-15 17:20:00+00:00,54.71,54.71,54.705,54.705,740.0,30.0,54.7075
ATEX,2026-09-15 17:15:00+00:00,77.3,77.3,77.3,77.3,207.0,11.0,77.3
