day,symbol,split,source,n_bars,first_minute,entry_m,rr,rv,adv20,level
2025-01-10,NINE,TRAIN,cache.db(Alpaca SIP),0,,577,-1.04566666666667,1.0356459828410014,3262987.6,1.41
2025-01-10,ITCI,TRAIN,topup.db(Databento EQUS.MINI),360,570.0,578,0.0366972477064234,1.766415529873101,543077.2,94.46
2025-01-10,PSMT,TRAIN,topup.db(Databento EQUS.MINI),283,570.0,580,1.1851851851851931,4.07168054209447,219356.6,88.0
2025-01-10,LPSN,TRAIN,cache.db(Alpaca SIP),0,,583,2.0,1.4209686344483148,10572541.6,1.39
2025-01-10,WBA,TRAIN,pit_bars_1min.db(Databento EQUS.MINI),390,570.0,584,1.3623188405797164,1.38059568311048,19085167.6,11.275
2025-01-10,NMTC,TRAIN,cache.db(Alpaca SIP),0,,627,2.0,3.729558972602321,244234.4,1.14
2025-01-10,NRXP,TRAIN,cache.db(Alpaca SIP),0,,630,2.0,1.107362170750254,5416438.2,4.26
2025-01-10,MLSS,TRAIN,cache.db(Alpaca SIP),0,,657,-1.0474,1.4424388726288948,518348.6,1.21
2025-01-13,AGL,TRAIN,cache.db(Alpaca SIP),0,,577,2.0,2.1339323840445314,3723149.8333333335,2.555
2025-01-13,NRGV,TRAIN,cache.db(Alpaca SIP),0,,579,-1.0321666666666665,2.6910864969759385,1807392.6666666667,1.99
2025-01-13,LABD,TRAIN,cache.db(Alpaca SIP),0,,581,-1.0388800599700152,3.667513525462486,20998450.166666668,7.969
2025-01-13,METC,TRAIN,topup.db(Databento EQUS.MINI),306,570.0,584,-1.0318965517241367,3.1137496247373164,555166.6666666666,9.35
2025-01-13,BNED,TRAIN,cache.db(Alpaca SIP),0,,598,2.0,1.9284905663758165,727705.1666666666,10.625
2025-01-13,DHX,TRAIN,cache.db(Alpaca SIP),0,,681,1.2500000000000056,1.0226954535023045,276305.3333333333,2.18
2025-01-13,VSEE,TRAIN,cache.db(Alpaca SIP),0,,696,2.0,2.5162421904162176,129042.66666666669,1.4
2025-01-13,PAYS,TRAIN,cache.db(Alpaca SIP),0,,717,-1.0672222222222236,3.2605017180203424,288730.1666666667,3.08
2025-01-14,PLUG,TRAIN,cache.db(Alpaca SIP),0,,577,-1.0484087102177528,2.1553148700045424,87307962.57142857,2.97
2025-01-14,ZENA,TRAIN,cache.db(Alpaca SIP),0,,577,-1.4058666666666602,1.201143441486364,1037969.2857142856,5.58
2025-01-14,ASPI,TRAIN,cache.db(Alpaca SIP),0,,578,-1.024700000000002,3.6873488272652826,1955131.0,5.14
