symbol,bar_date,open,src
ABAT,2025-01-02,2.51,cache.db
ABCL,2025-01-02,2.96,pit_bars_1min.db
ABEO,2025-01-02,5.61,pit_bars_1min.db
ABOS,2025-01-02,1.75,pit_bars_1min.db
ABSI,2025-01-02,2.7,cache.db
ACAD,2025-01-02,18.45,pit_bars_1min.db
ACB,2025-01-02,4.28,cache.db
ACDC,2025-01-02,7.96,pit_bars_1min.db
ACHV,2025-01-02,3.55,pit_bars_1min.db
ACIU,2025-01-02,2.7,pit_bars_1min.db
ADCT,2025-01-02,2.02,cache.db
ADD,2025-01-02,2.27,pit_bars_1min.db
ADGM,2025-01-02,1.22,cache.db
ADIL,2025-01-02,1.01,cache.db
ADN,2025-01-02,4.92,pit_bars_1min.db
ADPT,2025-01-02,6.09,cache.db
ADSEW,2025-01-02,3.8,cache.db
ADVM,2025-01-02,4.75,pit_bars_1min.db
AEHR,2025-01-02,16.86,cache.db
AEI,2025-01-02,2.0601,cache.db
AENT,2025-01-02,9.15,cache.db
AEVA,2025-01-02,4.86,cache.db
AFMD,2025-01-02,1.26,pit_bars_1min.db
AFRIW,2025-01-02,1.285,cache.db
AG,2025-01-02,5.6,pit_bars_1min.db
AGEN,2025-01-02,2.8,cache.db
AGFY,2025-01-02,30.05,topup.db
AGMH,2025-01-02,1.47,cache.db
AGRI,2025-01-02,2.38,pit_bars_1min.db
AHG,2025-01-02,1.3,cache.db
AHT,2025-01-02,7.11,pit_bars_1min.db
AIP,2025-01-02,10.2,cache.db
AIRJ,2025-01-02,7.95,cache.db
AIRJW,2025-01-02,1.05,cache.db
AIRS,2025-01-02,5.23,cache.db
AISPW,2025-01-02,2.4,cache.db
AKAN,2025-01-02,1.6,cache.db
ALBT,2025-01-02,3.26,cache.db
ALEC,2025-01-02,1.89,cache.db
ALLK,2025-01-02,1.23,pit_bars_1min.db
ALLO,2025-01-02,2.17,cache.db
ALMS,2025-01-02,7.92,pit_bars_1min.db
ALTO,2025-01-02,1.6,pit_bars_1min.db
ALTS,2025-01-02,4.67,cache.db
ALVOW,2025-01-02,2.71,cache.db
ALZN,2025-01-02,1.17,pit_bars_1min.db
AMBO,2025-01-02,2.1,cache.db
AMLX,2025-01-02,3.79,pit_bars_1min.db
AMOD,2025-01-02,3.17,cache.db
AMPG,2025-01-02,4.99,cache.db
AMPS,2025-01-02,4.08,pit_bars_1min.db
AMPX,2025-01-02,2.88,cache.db
AMRC,2025-01-02,23.95,pit_bars_1min.db
AMSC,2025-01-02,25.25,cache.db
AMTX,2025-01-02,2.73,pit_bars_1min.db
ANNA,2025-01-02,7.02,cache.db
ANNX,2025-01-02,5.18,pit_bars_1min.db
ANRO,2025-01-02,4.3,pit_bars_1min.db
ANVS,2025-01-02,5.04,pit_bars_1min.db
AP,2025-01-02,2.06,pit_bars_1min.db
APGE,2025-01-02,45.87,pit_bars_1min.db
API,2025-01-02,4.1,pit_bars_1min.db
APLM,2025-01-02,9.99,cache.db
APM,2025-01-02,3.2,cache.db
APPS,2025-01-02,1.74,cache.db
APRE,2025-01-02,3.21,cache.db
APVO,2025-01-02,4.42,cache.db
AQST,2025-01-02,3.6,pit_bars_1min.db
ARAY,2025-01-02,1.91,pit_bars_1min.db
ARBKL,2025-01-02,6.9,pit_bars_1min.db
ARCT,2025-01-02,17.17,pit_bars_1min.db
ARDX,2025-01-02,5.03,pit_bars_1min.db
AREB,2025-01-02,1.68,cache.db
ARGT,2025-01-02,83.29,pit_bars_1min.db
ARKR,2025-01-02,10.99,cache.db
ARMP,2025-01-02,1.89,pit_bars_1min.db
ARQQ,2025-01-02,38.9,cache.db
ARQQW,2025-01-02,2.88,cache.db
ARQT,2025-01-02,14.2,pit_bars_1min.db
ARRY,2025-01-02,6.15,cache.db
ARTL,2025-01-02,1.06,pit_bars_1min.db
ARTW,2025-01-02,2.21,cache.db
ARWR,2025-01-02,18.94,pit_bars_1min.db
ASMB,2025-01-02,15.99,pit_bars_1min.db
ASNS,2025-01-02,1.46,cache.db
ASPI,2025-01-02,4.7,cache.db
ASTI,2025-01-02,3.29,cache.db
ASTS,2025-01-02,21.14,cache.db
ASYS,2025-01-02,5.39,pit_bars_1min.db
ATAI,2025-01-02,1.37,cache.db
ATCH,2025-01-02,10.56,cache.db
ATER,2025-01-02,2.44,pit_bars_1min.db
ATGL,2025-01-02,14.5,cache.db
ATHE,2025-01-02,3.35,cache.db
ATLN,2025-01-02,4.52,cache.db
ATLX,2025-01-02,6.47,pit_bars_1min.db
ATNF,2025-01-02,1.79,pit_bars_1min.db
ATNM,2025-01-02,1.27,cache.db
ATOM,2025-01-02,11.69,cache.db
ATRA,2025-01-02,13.34,cache.db
ATXI,2025-01-02,2.0,pit_bars_1min.db
ATYR,2025-01-02,3.69,pit_bars_1min.db
AUTL,2025-01-02,2.4,cache.db
AVTX,2025-01-02,7.5,cache.db
AVXL,2025-01-02,11.27,cache.db
AXSM,2025-01-02,85.25,pit_bars_1min.db
AZUL,2025-01-02,1.68,pit_bars_1min.db
BACK,2025-01-02,1.27,pit_bars_1min.db
BAK,2025-01-02,3.78,pit_bars_1min.db
BANL,2025-01-02,1.0,none
BARK,2025-01-02,1.87,pit_bars_1min.db
