symbol,ts,open,high,low,close,volume,trade_count,vwap,arrival
AR,2026-09-15 17:14:00+00:00,39.19,39.19,39.15,39.18,3534.0,73.0,39.172632,1789492500.058576
ARES,2026-09-15 17:14:00+00:00,129.03,129.08,129.01,129.08,2550.0,84.0,129.025909,1789492500.0586183
ATEN,2026-09-15 17:14:00+00:00,26.51,26.51,26.5,26.5,1188.0,42.0,26.505068,1789492500.0586393
AMZN,2026-09-15 17:14:00+00:00,249.235,249.25,248.975,249.016,43596.0,918.0,249.090601,1789492500.058658
AVLV,2026-09-15 17:14:00+00:00,93.08,93.08,93.08,93.08,199.0,5.0,93.08,1789492500.0692432
ANDE,2026-09-15 17:14:00+00:00,71.57,71.62,71.57,71.62,1216.0,38.0,71.59,1789492500.0692797
AFG,2026-09-15 17:14:00+00:00,142.98,142.98,142.96,142.96,849.0,41.0,142.975,1789492500.069311
ALKS,2026-09-15 17:14:00+00:00,44.835,44.835,44.81,44.82,2716.0,51.0,44.824184,1789492500.0693555
ADNT,2026-09-15 17:14:00+00:00,18.6151,18.6186,18.615,18.615,882.0,16.0,18.617509,1789492500.0693808
ASTS,2026-09-15 17:14:00+00:00,59.74,59.8,59.73,59.73,26005.0,420.0,59.756474,1789492500.0694017
ASHR,2026-09-15 17:14:00+00:00,33.275,33.275,33.275,33.275,1012.0,4.0,33.275,1789492500.0694213
AMGN,2026-09-15 17:14:00+00:00,379.0,379.15,378.985,379.065,5523.0,160.0,379.084552,1789492500.0694413
ACGL,2026-09-15 17:14:00+00:00,96.7,96.7675,96.69,96.7675,1840.0,65.0,96.721896,1789492500.06946
ABBV,2026-09-15 17:14:00+00:00,263.17,263.17,263.12,263.12,1350.0,74.0,263.134409,1789492500.069479
ARCC,2026-09-15 17:14:00+00:00,19.4,19.405,19.4,19.4,1664.0,17.0,19.400472,1789492500.0694976
ALRM,2026-09-15 17:14:00+00:00,55.355,55.36,55.35,55.36,683.0,17.0,55.357122,1789492500.0695155
AVGO,2026-09-15 17:14:00+00:00,338.34,338.41,338.14,338.1596,34717.0,1098.0,338.249742,1789492500.0695343
BA,2026-09-15 17:14:00+00:00,211.54,211.66,211.14,211.14,10707.0,206.0,211.412692,1789492500.0695531
APO,2026-09-15 17:14:00+00:00,127.345,127.47,127.34,127.47,5725.0,119.0,127.390675,1789492500.0695717
BAM,2026-09-15 17:14:00+00:00,46.16,46.17,46.16,46.165,1786.0,45.0,46.16182,1789492500.0697296
BALL,2026-09-15 17:14:00+00:00,60.815,60.82,60.815,60.82,811.0,40.0,60.817,1789492500.0697517
AGCO,2026-09-15 17:14:00+00:00,125.195,125.195,125.195,125.195,290.0,30.0,125.195,1789492500.0697703
ADI,2026-09-15 17:14:00+00:00,360.18,360.42,360.1126,360.13,4141.0,203.0,360.292933,1789492500.0697887
AXP,2026-09-15 17:14:00+00:00,323.82,323.86,323.79,323.79,1541.0,104.0,323.814907,1789492500.069807
AGL,2026-09-15 17:14:00+00:00,92.8,92.8,92.8,92.8,256.0,9.0,92.8,1789492500.069909
AIG,2026-09-15 17:14:00+00:00,75.5,75.565,75.5,75.56,4537.0,115.0,75.535514,1789492500.0699303
APLD,2026-09-15 17:14:00+00:00,23.785,23.7999,23.78,23.785,10681.0,157.0,23.790762,1789492500.069949
AUGO,2026-09-15 17:14:00+00:00,84.895,84.895,84.82,84.82,978.0,39.0,84.831398,1789492500.069967
AU,2026-09-15 17:14:00+00:00,100.01,100.08,100.01,100.065,1561.0,74.0,100.054382,1789492500.0699859
AMLX,2026-09-15 17:14:00+00:00,32.9,32.98,32.9,32.98,2755.0,64.0,32.937133,1789492500.0767188
APD,2026-09-15 17:14:00+00:00,289.27,289.4051,289.25,289.37,1836.0,64.0,289.32985,1789492500.0767467
AMSC,2026-09-15 17:14:00+00:00,27.705,27.705,27.68,27.68,2391.0,67.0,27.698404,1789492500.0767667
AVUV,2026-09-15 17:14:00+00:00,123.85,123.85,123.84,123.84,1973.0,36.0,123.848,1789492500.0767856
ALAB,2026-09-15 17:14:00+00:00,257.705,257.705,257.45,257.52,2267.0,102.0,257.565,1789492500.076925
ASO,2026-09-15 17:14:00+00:00,51.99,51.99,51.68,51.715,24458.0,313.0,51.779587,1789492500.076947
B,2026-09-15 17:14:00+00:00,42.46,42.5,42.4512,42.485,29861.0,165.0,42.475217,1789492500.076966
AZO,2026-09-15 17:14:00+00:00,2897.265,2899.1799,2897.23,2897.26,534.0,46.0,2897.297229,1789492500.0769851
AAAU,2026-09-15 17:14:00+00:00,42.36,42.36,42.34,42.34,629.0,6.0,42.346667,1789492500.0770035
ADP,2026-09-15 17:14:00+00:00,277.295,277.305,277.295,277.305,1311.0,45.0,277.296481,1789492500.0770214
ATRO,2026-09-15 17:14:00+00:00,67.27,67.27,67.25,67.25,791.0,33.0,67.26115,1789492500.0770392
ALLY,2026-09-15 17:14:00+00:00,40.96,40.97,40.96,40.97,3856.0,120.0,40.966579,1789492500.0770571
ARGX,2026-09-15 17:14:00+00:00,996.61,996.61,996.2475,996.395,3164.0,40.0,996.597932,1789492500.0770752
ALH,2026-09-15 17:14:00+00:00,21.12,21.135,21.11,21.135,1751.0,47.0,21.121,1789492500.0771868
BAC,2026-09-15 17:14:00+00:00,59.405,59.4193,59.4,59.41,27812.0,286.0,59.406748,1789492500.077207
ACN,2026-09-15 17:14:00+00:00,197.055,197.24,197.05,197.22,4960.0,104.0,197.124703,1789492500.0772238
AXGN,2026-09-15 17:14:00+00:00,44.97,44.97,44.97,44.97,432.0,36.0,44.97,1789492500.0772383
AIPO,2026-09-15 17:14:00+00:00,27.26,27.26,27.26,27.26,232.0,7.0,27.26,1789492500.0772536
BAI,2026-09-15 17:14:00+00:00,42.51,42.51,42.49,42.49,4062.0,18.0,42.505385,1789492500.0772715
AGIO,2026-09-15 17:14:00+00:00,33.07,33.08,33.069,33.08,3995.0,67.0,33.071262,1789492500.0772882
AOS,2026-09-15 17:14:00+00:00,57.21,57.21,57.21,57.21,486.0,20.0,57.21,1789492500.0773034
AEM,2026-09-15 17:14:00+00:00,196.69,196.8151,196.625,196.815,2760.0,57.0,196.750146,1789492500.077318
AXSM,2026-09-15 17:14:00+00:00,209.0,209.0,209.0,209.0,554.0,37.0,209.0,1789492500.0774198
APEI,2026-09-15 17:14:00+00:00,44.69,44.75,44.68,44.75,1218.0,23.0,44.706008,1789492500.0774376
ACYN,2026-09-15 17:14:00+00:00,20.685,20.685,20.685,20.685,2210.0,2.0,20.685,1789492500.0774608
AOK,2026-09-15 17:14:00+00:00,40.64,40.64,40.64,40.64,230.0,3.0,40.64,1789492500.0774753
ACM,2026-09-15 17:14:00+00:00,64.925,64.98,64.925,64.98,2957.0,88.0,64.959442,1789492500.0774908
ARQT,2026-09-15 17:14:00+00:00,23.56,23.56,23.53,23.53,1435.0,36.0,23.54875,1789492500.077505
AS,2026-09-15 17:14:00+00:00,26.82,26.83,26.805,26.805,5521.0,104.0,26.817591,1789492500.0775182
AVAV,2026-09-15 17:14:00+00:00,157.85,157.9599,157.4,157.4,6122.0,148.0,157.65615,1789492500.0775318
ANAB,2026-09-15 17:14:00+00:00,54.69,54.69,54.69,54.69,894.0,34.0,54.69,1789492500.0778723
APAM,2026-09-15 17:14:00+00:00,36.91,36.94,36.91,36.94,1978.0,55.0,36.928243,1789492500.0778959
