symbol,ts,open,high,low,close,volume,trade_count,vwap,arrival
AAAU,2026-09-15 17:56:00+00:00,42.335,42.335,42.335,42.335,151.0,2.0,42.335,1789495020.1518805
APLD,2026-09-15 17:56:00+00:00,23.73,23.75,23.72,23.74,15443.0,223.0,23.731672,1789495020.151926
AIN,2026-09-15 17:56:00+00:00,60.01,60.01,60.01,60.01,383.0,21.0,60.01,1789495020.1523836
BAC.PRN,2026-09-15 17:56:00+00:00,18.04,18.05,18.04,18.05,1122.0,15.0,18.041443,1789495020.1524134
ANAB,2026-09-15 17:56:00+00:00,54.65,54.65,54.64,54.64,546.0,30.0,54.645,1789495020.1524355
AGI,2026-09-15 17:56:00+00:00,35.12,35.145,35.12,35.145,4360.0,84.0,35.126725,1789495020.1524553
ASML,2026-09-15 17:56:00+00:00,1591.57,1592.0,1591.28,1591.69,967.0,162.0,1591.573317,1789495020.1524818
AXTI,2026-09-15 17:56:00+00:00,57.39,57.46,57.39,57.46,2628.0,87.0,57.420769,1789495020.1525154
AJG,2026-09-15 17:56:00+00:00,252.345,252.585,252.345,252.585,724.0,31.0,252.537,1789495020.1525385
AMAT,2026-09-15 17:56:00+00:00,418.015,418.23,418.015,418.13,5332.0,224.0,418.105662,1789495020.152558
ARM,2026-09-15 17:56:00+00:00,243.24,243.43,243.195,243.3,3918.0,77.0,243.278594,1789495020.1525764
AYI,2026-09-15 17:56:00+00:00,299.75,299.75,299.75,299.75,280.0,26.0,299.75,1789495020.1525958
AMX,2026-09-15 17:56:00+00:00,23.195,23.2,23.19,23.2,76092.0,459.0,23.196534,1789495020.1526136
ADX,2026-09-15 17:56:00+00:00,25.509,25.509,25.505,25.505,1520.0,16.0,25.505304,1789495020.1526313
AVNT,2026-09-15 17:56:00+00:00,41.1099,41.1099,41.085,41.095,729.0,19.0,41.094478,1789495020.1541293
ADEA,2026-09-15 17:56:00+00:00,24.88,24.88,24.88,24.88,1417.0,32.0,24.88,1789495020.154152
AFRM,2026-09-15 17:56:00+00:00,72.06,72.19,72.06,72.19,7749.0,151.0,72.116729,1789495020.1541681
AOA,2026-09-15 17:56:00+00:00,97.3301,97.3301,97.3301,97.3301,1016.0,3.0,97.3301,1789495020.1541836
AKR,2026-09-15 17:56:00+00:00,19.72,19.725,19.72,19.725,383.0,17.0,19.7225,1789495020.1542003
AHR,2026-09-15 17:56:00+00:00,53.37,53.38,53.31,53.37,14480.0,147.0,53.34718,1789495020.1542163
AMD,2026-09-15 17:56:00+00:00,503.515,503.969,503.515,503.805,22133.0,357.0,503.782983,1789495020.1542315
AMDD,2026-09-15 17:56:00+00:00,28.0,28.0,28.0,28.0,192.0,1.0,28.0,1789495020.1542454
BA,2026-09-15 17:56:00+00:00,210.205,210.52,210.205,210.4701,5904.0,168.0,210.393336,1789495020.1542594
ASTN,2026-09-15 17:56:00+00:00,19.66,19.66,19.6556,19.6556,1300.0,17.0,19.659145,1789495020.1542735
ALAB,2026-09-15 17:56:00+00:00,256.305,256.305,256.305,256.305,1167.0,56.0,256.305,1789495020.154288
AFL,2026-09-15 17:56:00+00:00,117.459,117.459,117.459,117.459,761.0,54.0,117.459,1789495020.1543036
AMBQ,2026-09-15 17:56:00+00:00,60.27,60.27,60.27,60.27,302.0,16.0,60.27,1789495020.1568305
ALB,2026-09-15 17:56:00+00:00,113.99,114.04,113.91,114.02,3864.0,90.0,113.999453,1789495020.1568596
ACYN,2026-09-15 17:56:00+00:00,20.685,20.685,20.685,20.685,7255.0,13.0,20.685,1789495020.1568801
ARQT,2026-09-15 17:56:00+00:00,23.415,23.42,23.41,23.415,2060.0,41.0,23.414583,1789495020.1568987
AXTA,2026-09-15 17:56:00+00:00,33.21,33.22,33.21,33.22,3174.0,72.0,33.21785,1789495020.1569173
ALLE,2026-09-15 17:56:00+00:00,154.32,154.32,154.32,154.32,584.0,17.0,154.32,1789495020.1569352
ACAD,2026-09-15 17:56:00+00:00,26.83,26.8399,26.83,26.8399,792.0,40.0,26.836018,1789495020.1604416
AORT,2026-09-15 17:56:00+00:00,25.5,25.5,25.44,25.455,4808.0,64.0,25.45444,1789495020.160473
ALL,2026-09-15 17:56:00+00:00,256.005,256.005,256.005,256.005,373.0,27.0,256.005,1789495020.160494
ARKG,2026-09-15 17:56:00+00:00,47.54,47.57,47.535,47.565,2433.0,42.0,47.550714,1789495020.1605499
AYA,2026-09-15 17:56:00+00:00,26.34,26.36,26.34,26.36,1991.0,29.0,26.351167,1789495020.1605697
AX,2026-09-15 17:56:00+00:00,93.11,93.11,93.11,93.11,787.0,35.0,93.11,1789495020.1605883
AIZ,2026-09-15 17:56:00+00:00,285.02,285.2,284.862,285.2,5297.0,187.0,285.003711,1789495020.1606061
AROC,2026-09-15 17:56:00+00:00,30.15,30.16,30.135,30.14,2970.0,64.0,30.146176,1789495020.160624
ACWI,2026-09-15 17:56:00+00:00,158.18,158.2,158.18,158.195,87611.0,353.0,158.188791,1789495020.1606414
AMZN,2026-09-15 17:56:00+00:00,248.74,248.83,248.74,248.8,49949.0,857.0,248.781492,1789495020.1606686
ACYS,2026-09-15 17:56:00+00:00,20.45,20.45,20.45,20.45,2300.0,10.0,20.45,1789495020.160686
