day,symbol,entry_m,i,entry,stop,o0,prev_close,bar0_high,bar0_low,ei_o,ei_h,ei_l,ei_c,nxt_o,nbars,crossed_bar0,fill_below_bar_low,r_pct,range_so_far_excl_entry,range_so_far_incl,rr_asis,why_asis,xm_asis,entry_v1,rr_v1,why_v1,xm_v1,r_pct_v1,entry_v3,rr_v3,why_v3,xm_v3,r_pct_v3
2025-01-03,ABLLL,685,22,30.491199999999996,28.83,29.5,30.4,29.5,29.46,30.0,30.5,29.95,30.495,30.51,69,0,0,5.448129296321554,3.9661016949152597,5.661016949152549,-0.06693956176257934,eod,952,30.491199999999996,-0.06693956176257934,eod,952,5.448129296321554,30.51,-0.07738095238095376,eod,952,5.506391347099322
2025-01-03,AISP,601,31,5.987909999999999,5.43,5.8,5.97,5.8,5.6,5.88,6.0,5.86,5.8799,5.88,323,0,0,9.317274307730072,9.310344827586208,9.827586206896557,-1.0097327525945037,stop,618,5.987909999999999,-1.0097327525945037,stop,618,9.317274307730072,5.88,-1.0120666666666658,stop,618,7.653061224489798
2025-01-03,AKA,784,2,18.5555,17.9,17.9,18.5,17.9,17.9,19.11,19.11,19.11,19.11,19.11,12,0,1,3.5326453073212796,3.3519553072625783,6.759776536312854,0.6323417238749052,eod,941,19.11,-0.11570247933884337,eod,941,6.331763474620622,,,skip,0,
2025-01-03,APLM,606,5,10.8324,10.44,10.68,10.8,10.68,10.68,10.99,10.99,10.99,10.99,11.2,36,0,1,3.6224659355267557,2.247191011235957,5.1498127340824045,1.573904179408764,eod,881,10.99,0.8363636363636336,eod,881,5.004549590536858,,,skip,0,
2025-01-03,ARKR,589,1,12.798279999999998,12.5,12.5,12.76,12.5,12.5,13.72,14.0,13.72,14.0,14.0,17,0,1,2.330625677825445,0.0,12.0,2.0,target,592,13.72,0.7237704918032776,eod,811,8.892128279883387,,,skip,0,
2025-01-03,BDMD,571,1,5.1353599999999995,4.9,4.9,5.12,5.5,4.9,5.3551,5.41,5.176,5.33,5.33,317,1,1,4.5831256231305915,12.244897959183664,12.244897959183664,-1.0208191706322236,stop,573,5.176,-1.0177536231884063,stop,573,5.332302936630598,,,skip,0,
2025-01-03,BMBL,574,4,7.993909999999999,7.56,7.56,7.97,7.76,7.56,7.91,8.02,7.905,7.98,8.01,372,0,0,5.428007070382319,5.6878306878306955,6.084656084656085,0.19840519923486785,eod,955,7.993909999999999,0.19840519923486785,eod,955,5.428007070382319,8.01,0.1555555555555561,eod,955,5.61797752808989
2025-01-03,BTCT,743,119,5.45632,5.0253,5.37,5.44,5.42,5.3,5.44,5.5,5.43,5.5,5.4,226,0,0,7.89946337458214,7.90875232774675,8.839851024208572,-0.20026912904273514,eod,955,5.45632,-0.20026912904273514,eod,955,7.89946337458214,5.4,-0.0800640512409933,eod,955,6.9388888888889015
2025-01-03,CCEL,584,1,7.397325599999999,7.26,7.26,7.3752,7.26,7.26,7.665,7.665,7.665,7.665,7.7057,28,0,1,1.8564222723953048,0.0,5.578512396694219,2.0,target,622,7.665,-0.12345679012345627,eod,945,5.283757338551863,,,skip,0,
2025-01-03,CGTL,589,2,7.111269999999999,6.65,7.0,7.09,7.305,6.65,7.31,7.31,6.9,7.14,6.95,62,1,0,6.486464443060086,9.357142857142849,9.428571428571418,-1.0685607128146206,stop,721,7.111269999999999,-1.0685607128146206,stop,721,6.486464443060086,6.95,-1.1054166666666667,stop,721,4.316546762589925
2025-01-03,CTNM,584,5,14.523439999999999,13.72,14.12,14.48,14.12,13.72,14.53,14.64,14.53,14.64,14.6,65,0,1,5.532022716381232,3.8951841359773294,6.515580736543909,-0.029174549437417933,eod,955,14.53,-0.037037037037036306,eod,955,5.574673090158284,,,skip,0,
2025-01-03,DQ,591,20,20.300719999999995,19.438,19.59,20.24,19.65,19.55,20.31,20.48,20.31,20.48,20.415,325,0,1,4.249701488420096,4.400204185809096,5.319040326697302,0.7294139465875462,eod,955,20.31,0.7110091743119279,eod,955,4.293451501723289,,,skip,0,
2025-01-03,FGF,573,1,25.1753,24.9,24.9,25.1,24.9,24.9,25.995,27.0,25.99,27.0,25.8,40,0,1,1.0935321525463508,0.0,8.433734939759043,2.0,target,583,25.99,-1.0228440366972467,stop,761,4.193920738745671,,,skip,0,
2025-01-03,FTCI,579,6,5.717099999999999,5.41,5.63,5.7,5.63,5.63,5.75,5.75,5.75,5.75,5.58,138,0,1,5.371604484791228,5.239786856127885,6.0390763765541715,2.0,target,626,5.75,1.073529411764707,eod,899,5.9130434782608665,5.58,2.0,target,598,3.046594982078852
2025-01-03,FUFU,640,42,5.616799999999999,5.4101,5.46,5.6,5.46,5.46,5.47,5.6999,5.4699,5.6,5.4548,136,0,0,3.6800313345677043,3.478021978021973,5.307692307692316,0.3052733430092,eod,957,5.616799999999999,0.3052733430092,eod,957,3.6800313345677043,5.4548,2.0,target,666,0.8194617584512676
2025-01-03,GRRR,585,15,24.402989999999996,21.655,23.9,24.33,23.9,22.2,24.325,24.4651,23.7458,23.82,23.8975,327,0,0,11.260874179762377,11.192468619246851,11.757740585774053,-0.36822914202744406,eod,900,24.402989999999996,-0.36822914202744406,eod,900,11.260874179762377,23.8975,-0.22581939799331074,eod,900,9.38382676012135
2025-01-03,HNNA,621,6,12.898579999999997,12.295,12.37,12.86,12.37,12.37,13.31,13.31,13.31,13.31,13.12,19,0,1,4.679429828709807,3.6750202101859273,8.205335489086504,0.052056065475997525,eod,955,13.31,-0.3743842364532025,eod,955,7.625845229151018,,,skip,0,
2025-01-03,INV,638,40,13.881519999999998,13.031,13.031,13.84,13.031,13.031,13.8,13.9,13.8,13.9,13.75,192,0,0,6.126994738328352,5.901312255390991,6.66871306883585,-0.5602690118986035,eod,955,13.881519999999998,-0.5602690118986035,eod,955,6.126994738328352,13.75,-0.47983310152990394,eod,955,5.229090909090905
2025-01-03,IPXX,610,4,12.4065082,12.15,12.15,12.3694,12.15,12.15,12.8,12.8,12.8,12.8,12.796,18,0,1,2.0675293633385015,2.05761316872428,5.34979423868313,2.0,target,638,12.8,-0.30769230769230915,eod,877,5.078125000000003,,,skip,0,
2025-01-03,IZTC,590,1,14.854429999999999,14.0,14.0,14.81,14.9,14.0,15.02,15.02,15.02,15.02,14.85,36,1,1,5.75202145083991,6.428571428571431,7.285714285714283,-1.0163851924674923,stop,638,15.02,-1.0137254901960777,stop,638,6.7909454061251635,14.85,-1.0164705882352933,stop,638,5.723905723905721
2025-01-03,KINS,684,93,15.075089999999998,14.01,14.75,15.03,14.88,14.74,15.04,15.08,15.02,15.02,15.0734,206,0,0,7.0652314513545065,7.186440677966105,7.254237288135595,-0.07988996235059724,eod,900,15.075089999999998,-0.07988996235059724,eod,900,7.0652314513545065,15.0734,-0.07842768478465233,eod,900,7.05481178765242
2025-01-03,LAES,577,7,8.69601,7.82,8.0,8.67,8.1782,7.82,8.495,8.82,8.4631,8.81,8.82,331,0,0,10.073700467225764,8.499999999999996,12.5,-0.613246424127579,eod,900,8.69601,-0.613246424127579,eod,900,10.073700467225764,,,skip,0,
2025-01-03,LUCY,731,20,5.4061699999999995,5.17,5.17,5.39,5.17,5.17,5.44,5.44,5.44,5.44,5.44,46,0,1,4.368527071845679,4.255319148936165,5.222437137330763,0.5243256975907228,eod,959,5.44,0.33333333333333226,eod,959,4.963235294117655,,,skip,0,
2025-01-03,MARO,744,62,38.901354999999995,36.38,36.47,38.785,36.47,36.38,38.96,38.97,38.96,38.96,39.02,94,0,1,6.481406624525015,6.852481491636958,7.101727447216881,0.08275113976413666,eod,955,38.96,0.058139534883720416,eod,955,6.622176591375766,,,skip,0,
2025-01-03,MESO,750,107,20.671829999999996,19.56,20.1,20.61,20.6,20.1,20.85,20.9,20.695,20.695,20.9,219,0,1,5.378478828434628,5.2238805970149285,6.666666666666665,-0.3164422618565759,eod,955,20.695,-0.3303964757709247,eod,955,5.48441652573086,,,skip,0,
2025-01-03,MNPR,806,31,22.286659999999998,21.0,21.01,22.22,21.01,21.0,22.3,22.3,22.3,22.3,22.46,51,0,1,5.773229366805065,5.711565920990001,6.187529747739175,0.639904869973422,eod,955,22.3,0.6230769230769218,eod,955,5.829596412556056,,,skip,0,
2025-01-03,MPLN,575,4,12.988849999999998,12.29,12.59,12.95,12.78,12.29,13.13,13.17,13.13,13.17,13.41,114,0,1,5.380383944691013,5.003971405877687,6.989674344718036,1.589969235172075,eod,955,13.13,1.154761904761901,eod,955,6.397562833206409,,,skip,0,
2025-01-03,NA,612,10,9.5285,9.0801,9.25,9.5,9.25,9.25,9.39,9.9,9.39,9.9,9.9,76,0,0,4.705882352941171,3.9718918918918913,8.86378378378379,-1.1987065120428195,stop,743,9.5285,-1.1987065120428195,stop,743,4.705882352941171,,,skip,0,
2025-01-03,NNAVW,575,1,6.007969999999999,5.81,5.81,5.99,5.81,5.81,6.11,6.11,6.11,6.11,5.96,73,0,1,3.295122978310474,0.0,5.163511187607585,0.8184573420215222,eod,951,6.11,0.19999999999999823,eod,951,4.9099836333879,5.96,1.3999999999999964,eod,951,2.516778523489939
2025-01-03,PDYN,578,8,11.795279999999998,10.83,11.0,11.76,11.21,10.895,11.5641,12.08,11.5641,12.07,12.0882,331,0,0,8.183612428022041,7.454545454545457,11.363636363636363,-1.0112195425161614,stop,618,11.795279999999998,-1.0112195425161614,stop,618,8.183612428022041,,,skip,0,
2025-01-03,PTLE,576,6,12.226569999999999,11.0,11.84,12.19,12.4,11.0,12.18,12.28,12.18,12.2,12.27,183,1,0,10.032004069824971,11.824324324324326,11.824324324324326,-1.0089680980294637,stop,623,12.226569999999999,-1.0089680980294637,stop,623,10.032004069824971,,,skip,0,
2025-01-03,QBTS,577,7,9.638829999999999,9.04,9.11,9.61,9.24,9.04,9.4965,9.77,9.4633,9.7587,9.76,331,0,0,6.212683489593649,6.256860592755217,8.013172338090016,-1.0150961040696034,stop,619,9.638829999999999,-1.0150961040696034,stop,619,6.212683489593649,,,skip,0,
2025-01-03,QUBT,577,7,18.811264999999995,17.75,17.99,18.755,18.2,17.75,18.57,18.99,18.5271,18.9199,18.865,331,0,0,5.641646109392406,5.280711506392437,6.892718176764862,-1.0167253230814166,stop,614,18.811264999999995,-1.0167253230814166,stop,614,5.641646109392406,18.865,-1.0159192825112102,stop,614,5.910416114497739
2025-01-03,RGTI,578,8,20.06,18.16,18.95,20.0,19.16,18.16,19.9,20.2,19.68,20.165,20.16,331,0,0,9.471585244267192,9.498680738786284,10.765171503957779,-1.009557894736843,stop,619,20.06,-1.009557894736843,stop,619,9.471585244267192,,,skip,0,
2025-01-03,RGTIW,577,7,8.8264,7.95,8.69,8.8,8.75,7.95,8.765,8.9427,8.765,8.9427,8.99,322,0,0,9.92930300009063,9.947065592635202,11.423475258918298,-1.0090712003651303,stop,617,8.8264,-1.0090712003651303,stop,617,9.92930300009063,,,skip,0,
