day,symbol,entry_m,split,wk,mo,entry,stop,r_pct,adv20,rr_e1c_stored,why_stored,xm_stored,o_i,h_i,l_i,c_i,v_i,gap_through,gap_through_pct,entry_bar_stop_hit,last_m,n_bars,dv5,vol5,shares_100r,notional_100r,notional_frac_dv5,share_frac_vol5,rr_base,why_base,xm_base,rr_g,why_g,xm_g,entry_g,rpct_g,rr_eb,why_eb,xm_eb,rr_s25,why_s25,xm_s25,rr_s50,why_s50,xm_s50,rr_s100,why_s100,xm_s100,rr_eod10,why_eod10,xm_eod10,rr_all,why_all,xm_all,entry_all,rpct_all,max_gap_min,limit_touch_before_exit,limit_touch_m
2025-01-03,ABLLL,685,TRAIN,2024-12-28/2025-01-03,2025-01,30.4912,28.83,5.448129,,-0.06693956,eod,952,30.0,30.5,29.95,30.495,4675.0,0,-1.610956603872593,0,952,69,40023.869999999995,1295.0,60.19744762822053,1835.4924151215978,0.04585994345678211,0.04648451554302744,-0.06693956176258134,eod_notape,952,-0.06693956176258134,eod_notape,952,30.4912,5.448129296321564,-0.06693956176258134,eod_notape,952,-0.06693956176258134,eod_notape,952,-0.06693956176258134,eod_notape,952,-0.06693956176258134,eod_notape,952,-0.08522754635203532,eod_notape,952,-0.08522754635203532,eod_notape,952,30.4912,5.448129296321564,30,0,-1
2025-01-03,AISP,601,TRAIN,2024-12-28/2025-01-03,2025-01,5.98791,5.43,9.317274,,-1.0097327,stop,618,5.88,6.0,5.86,5.8799,26105.0,0,-1.80213129455854,0,900,323,246159.14800000002,41964.0,179.24037927264234,1073.275259450448,0.00436008683069722,0.004271289182933999,-1.0097327525945037,stop,618,-1.0097327525945037,stop,618,5.98791,9.317274307730084,-1.0097327525945037,stop,618,-1.0243318814862603,stop,618,-1.048663762972522,stop,618,-1.0973275259450457,stop,618,-1.0097327525945037,stop,618,-1.048663762972522,stop,618,5.98791,9.317274307730084,1,0,-1
2025-01-03,AKA,784,TRAIN,2024-12-28/2025-01-03,2025-01,18.5555,17.9,3.5326452,,0.63234174,eod,941,19.11,19.11,19.11,19.11,300.0,1,2.9883323003961237,0,941,12,21067.660799999998,1102.0,152.55530129672007,2830.739893211289,0.13436422392045014,0.13843493765582585,0.6323417238749052,eod_notape,941,-0.11570247933884337,eod_notape,941,19.11,6.331763474620622,0.6323417238749052,eod_notape,941,0.6323417238749052,eod_notape,941,0.6323417238749052,eod_notape,941,0.6323417238749052,eod_notape,941,0.6034019832189181,eod_notape,941,-0.13138016528925614,eod_notape,941,19.11,6.331763474620622,67,0,-1
2025-01-03,APLM,606,TRAIN,2024-12-28/2025-01-03,2025-01,10.8324,10.44,3.6224658,,1.5739042,eod,881,10.99,10.99,10.99,10.99,144.0,1,1.4548945755326725,0,881,36,27427.85,2486.0,254.84199796126381,2760.5504587155942,0.10064771605195429,0.10251086000050837,1.573904179408764,eod_notape,881,0.8363636363636336,eod_notape,881,10.99,5.004549590536858,1.573904179408764,eod_notape,881,1.573904179408764,eod_notape,881,1.573904179408764,eod_notape,881,1.573904179408764,eod_notape,881,1.5447247706421994,eod_notape,881,0.8155454545454519,eod_notape,881,10.99,5.004549590536858,45,0,-1
2025-01-03,ARKR,589,TRAIN,2024-12-28/2025-01-03,2025-01,12.79828,12.5,2.3306258,,2.0,target,592,13.72,14.0,13.72,14.0,1398.0,1,7.201905256018781,0,811,17,58386.4791,4042.0,335.2554646640739,4290.6933083009235,0.07348778988628762,0.08294296503317018,2.0,target,592,0.7237704918032776,eod_notape,811,13.72,8.892128279883387,2.0,target,592,2.0,target,592,2.0,target,592,2.0,target,592,2.0,target,592,0.7118008196721307,eod_notape,811,13.72,8.892128279883387,3,1,592
2025-01-03,BDMD,571,TRAIN,2024-12-28/2025-01-03,2025-01,5.13536,4.9,4.5831256,,-1.0208192,stop,573,5.3551,5.41,5.176,5.33,20961.0,1,4.278959995014953,0,900,317,185166.8754,35691.0,424.881033310673,2181.9170632222977,0.01178351721121227,0.011904430621464039,-1.0208191706322236,stop,573,-1.0107668644254013,stop,573,5.3551,8.498440738735034,-1.0208191706322236,stop,573,-1.052047926580557,stop,573,-1.1040958531611138,stop,573,-1.2081917063222314,stop,573,-1.0208191706322236,stop,573,-1.0538343221270046,stop,573,5.3551,8.498440738735034,1,0,-1
2025-01-03,BMBL,574,TRAIN,2024-12-28/2025-01-03,2025-01,7.99391,7.56,5.428007,,0.1984052,eod,955,7.91,8.02,7.905,7.98,6658.0,0,-1.0496740643815006,0,959,372,137836.15,17017.0,230.462538314397,1842.2967896568412,0.013365846257725867,0.01354307682402286,0.19840519923486538,eod,955,0.19840519923486538,eod,955,7.99391,5.428007070382329,0.19840519923486538,eod,955,0.19840519923486538,eod,955,0.19840519923486538,eod,955,0.19840519923486538,eod,955,0.17978382613906294,eod,955,0.17978382613906294,eod,955,7.99391,5.428007070382329,3,0,-1
2025-01-03,BTCT,743,TRAIN,2024-12-28/2025-01-03,2025-01,5.45632,5.0253,7.899463,,-0.20026913,eod,955,5.44,5.5,5.43,5.5,1355.0,0,-0.29910269192421346,0,959,226,14230.6508,2639.0,232.00779546192743,1265.9087745348238,0.0889564920344208,0.08791504185749428,-0.20026912904273514,eod,955,-0.20026912904273514,eod,955,5.45632,7.89946337458214,-0.20026912904273514,eod,955,-0.20026912904273514,eod,955,-0.20026912904273514,eod,955,-0.20026912904273514,eod,955,-0.21272794765904085,eod,955,-0.21272794765904085,eod,955,5.45632,7.89946337458214,10,0,-1
2025-01-03,CCEL,584,TRAIN,2024-12-28/2025-01-03,2025-01,7.3973255,7.26,1.8564223,,2.0,target,622,7.665,7.665,7.665,7.665,150.0,1,3.618530778454998,0,945,28,37581.0578,4939.0,728.1968753072069,5386.709314730322,0.14333575556594158,0.14743812012699067,2.0,target,622,-0.12345679012345627,eod_notape,945,7.665,5.283757338551863,2.0,target,622,2.0,target,622,2.0,target,622,2.0,target,622,2.0,target,622,-0.14225925925925964,eod_notape,945,7.665,5.283757338551863,38,1,622
2025-01-03,CGTL,589,TRAIN,2024-12-28/2025-01-03,2025-01,7.11127,6.65,6.4864645,,-1.0685607,stop,721,7.31,7.31,6.9,7.14,3825.0,1,2.7945781836437034,0,951,62,38985.36,5539.0,216.79276779326648,1541.6719058252222,0.03954489341191725,0.03913933341636874,-1.0685607128146206,stop,721,-1.0479166666666668,stop,721,7.31,9.028727770177829,-1.0685607128146206,stop,721,-1.0901044941140772,stop,721,-1.1260107962798371,stop,721,-1.1978234006113568,stop,721,-1.0685607128146206,stop,721,-1.0880681818181825,stop,721,7.31,9.028727770177829,23,0,-1
