symbol,bar_date
A,2025-04-09
AA,2025-03-03
AA,2025-04-03
AA,2025-04-04
AA,2025-04-07
AA,2025-04-08
AA,2025-04-09
AA,2025-05-12
AA,2025-10-23
AA,2026-03-03
AA,2026-03-04
AA,2026-03-11
AAAU,2026-02-03
AACBU,2025-09-25
AACBU,2025-09-26
AACBU,2026-06-02
AACBU,2026-06-03
AACBU,2026-06-04
AACBU,2026-06-09
AACG,2025-01-14
AACG,2025-01-15
AACG,2025-02-24
AACG,2025-02-25
AACG,2025-03-05
AACG,2025-03-06
AACG,2025-03-07
AACG,2025-07-18
AACG,2025-07-21
AACG,2025-07-22
AACG,2025-07-23
AACG,2025-07-24
AACG,2025-07-25
AACG,2025-07-28
AACG,2025-07-29
AACG,2025-07-30
AACG,2025-07-31
AACG,2025-08-01
AACG,2025-08-04
AACG,2025-08-05
AACG,2025-08-06
AACG,2025-08-07
AACG,2025-08-08
AACG,2025-08-11
AACG,2025-08-12
AACG,2025-08-13
AACG,2025-08-14
AACG,2025-08-18
AACG,2025-08-19
AACG,2025-08-20
AACG,2025-08-21
AACG,2025-08-22
AACG,2025-08-26
AACG,2025-08-27
AACG,2025-08-28
AACG,2025-08-29
AACG,2025-09-02
AACG,2025-09-03
AACG,2025-09-04
AACG,2025-09-05
AACG,2025-09-15
AACG,2025-09-16
AACG,2025-09-19
AACG,2025-09-22
AACG,2025-09-23
AACG,2025-09-24
AACG,2025-09-25
AACG,2025-09-26
AACG,2025-09-29
AACG,2025-09-30
AACG,2025-10-01
AACG,2025-10-02
AACG,2025-10-07
AACG,2025-10-08
AACG,2025-10-09
AACG,2025-10-10
AACG,2025-10-13
AACG,2025-10-16
AACG,2025-10-17
AACG,2025-10-20
AACG,2025-10-21
AACG,2025-10-22
AACG,2025-10-23
AACG,2025-10-27
AACG,2025-10-28
AACG,2025-11-03
AACG,2025-11-04
AACG,2025-11-05
AACG,2025-11-06
AACG,2025-11-07
AACG,2025-11-10
AACG,2025-11-11
AACG,2025-11-12
AACG,2025-11-13
AACG,2025-11-14
AACG,2025-11-17
AACG,2025-11-18
AACG,2025-11-19
AACG,2025-11-20
AACG,2025-11-28
AACG,2025-12-01
AACG,2026-01-15
AACG,2026-01-16
AACG,2026-01-20
AACG,2026-02-24
AACG,2026-02-25
AACG,2026-03-19
AACG,2026-03-20
AACG,2026-04-09
AACG,2026-04-10
AACG,2026-04-17
AACG,2026-04-20
AACG,2026-04-21
AACG,2026-04-22
AACG,2026-04-23
AACG,2026-04-24
AACG,2026-04-27
AACG,2026-04-28
AACG,2026-04-29
AACG,2026-04-30
AACG,2026-05-05
AACG,2026-05-06
AACG,2026-05-19
AACG,2026-05-20
AACG,2026-05-21
AACG,2026-05-28
AACG,2026-05-29
AACG,2026-06-08
AACG,2026-06-09
AACG,2026-06-12
AACG,2026-06-15
AACG,2026-06-17
AACG,2026-06-18
AACG,2026-06-29
AACG,2026-06-30
AACG,2026-08-12
AACG,2026-08-13
AACG,2026-08-14
AACG,2026-08-17
AACIW,2025-10-16
AACIW,2025-10-17
AACIW,2025-10-20
AACIW,2025-10-28
AACIW,2025-10-29
AACOU,2026-05-29
AACOU,2026-06-01
AADX,2026-06-03
AADX,2026-06-05
AADX,2026-06-08
AADX,2026-06-09
AADX,2026-06-10
AADX,2026-06-11
AADX,2026-06-12
AADX,2026-06-15
AADX,2026-06-16
AADX,2026-06-17
AADX,2026-06-18
AADX,2026-06-25
AADX,2026-06-26
AADX,2026-06-29
AADX,2026-06-30
AADX,2026-07-01
AADX,2026-07-07
AADX,2026-07-08
AADX,2026-07-10
AADX,2026-07-13
AADX,2026-07-15
AADX,2026-07-16
AADX,2026-07-20
AADX,2026-07-21
AADX,2026-07-22
AADX,2026-07-23
AADX,2026-07-24
AADX,2026-07-27
AADX,2026-07-28
AADX,2026-07-29
AADX,2026-08-11
AADX,2026-08-12
AADX,2026-08-19
AADX,2026-08-20
AADX,2026-08-27
AADX,2026-08-28
AAL,2025-04-03
AAL,2025-04-04
AAL,2025-04-07
AAL,2025-04-08
AAL,2025-04-09
AAL,2025-04-10
AAL,2025-04-23
AAL,2025-05-12
AAL,2025-07-09
AAL,2025-07-10
AAL,2025-08-11
AAL,2025-08-12
AAL,2025-10-09
AAL,2025-10-23
AAL,2026-03-06
AAL,2026-03-09
AAL,2026-03-23
AAL,2026-04-07
AAL,2026-04-08
AAL,2026-04-14
AAL,2026-04-17
AAL,2026-05-06
AAL,2026-06-10
AAL,2026-06-11
AALG,2025-08-11
AALG,2025-08-12
AALG,2025-08-21
AALG,2025-08-22
AALG,2025-09-03
AALG,2025-09-04
AALG,2025-10-08
AALG,2025-10-09
AALG,2025-10-10
AALG,2025-10-13
AALG,2025-10-14
AALG,2025-10-15
AALG,2025-10-16
AALG,2025-10-22
AALG,2025-10-23
AALG,2025-10-24
AALG,2025-10-27
AALG,2025-10-28
AALG,2025-11-03
AALG,2025-11-04
AALG,2025-11-05
AALG,2025-11-06
AALG,2025-11-07
AALG,2025-11-10
AALG,2025-11-20
AALG,2025-11-21
AALG,2025-11-24
AALG,2025-11-25
AALG,2025-12-08
AALG,2025-12-09
AALG,2025-12-11
AALG,2025-12-12
AALG,2026-01-26
AALG,2026-01-27
AALG,2026-02-04
AALG,2026-02-05
AALG,2026-02-06
AALG,2026-02-10
AALG,2026-02-11
AALG,2026-02-12
AALG,2026-02-20
AALG,2026-02-23
AALG,2026-02-25
AALG,2026-02-26
AALG,2026-03-02
AALG,2026-03-03
AALG,2026-03-04
AALG,2026-03-05
AALG,2026-03-06
AALG,2026-03-09
AALG,2026-03-10
AALG,2026-03-20
AALG,2026-03-23
AALG,2026-03-30
AALG,2026-03-31
AALG,2026-04-01
AALG,2026-04-02
AALG,2026-04-07
AALG,2026-04-08
AALG,2026-04-13
AALG,2026-04-14
AALG,2026-04-16
