symbol,date,split,entry_price_book,pnl,pnl_pct,range_high,range_low,R,entry_bid,entry_ask,mid0,spread0,passive,new_entry,cost_new,terr,qerr
SMST,2025-01-07,TRAIN,4.76425,-2191.252139999997,-4.382851445663005,4.75,4.56,0.1900000000000004,4.75,4.76,4.755,0.0099999999999997,True,4.755,0.0,,
AMPX,2025-01-10,TRAIN,3.35002,5043.700053599998,10.087592074077165,3.34,3.2003,0.13969999999999994,3.33,3.35,3.34,0.02,True,3.34,0.0,,
ARQQ,2025-01-16,TRAIN,23.86137,9002.197091939994,18.00815063007697,23.79,22.12,1.6699999999999982,23.39,23.88,23.634999999999998,0.4899999999999984,True,23.634999999999998,0.0,,
PDYN,2025-01-23,TRAIN,10.320869999999998,-2468.1723955799957,-4.936908163472921,10.29,9.63,0.6599999999999984,10.28,10.3,10.29,0.0200000000000013,True,10.29,0.0,,
NTRB,2025-01-23,TRAIN,8.49541,-918.38276702858,-1.836931304248849,8.47,7.95,0.5200000000000005,8.34,8.5,8.42,0.1600000000000001,True,8.42,0.0,,
NVNI,2025-02-05,TRAIN,6.24869,-2420.639342100001,-4.841688417892393,6.23,5.9521,0.2779000000000007,6.21,6.25,6.23,0.04,True,6.23,0.0,,
TNXP,2025-02-07,TRAIN,13.9417,3979.471563799994,7.959749259165958,13.9,13.15,0.75,13.88,13.95,13.915,0.0699999999999985,True,13.915,0.0,,
BKSY,2025-02-19,TRAIN,21.01285,-1049.842512782147,-2.100123104943616,20.95,20.09,0.8599999999999994,20.9,20.96,20.93,0.0600000000000022,True,20.93,0.0,,
TUYA,2025-02-20,TRAIN,3.4152149999999994,6573.402660959997,13.147134631348242,3.405,3.26,0.14500000000000002,3.4,3.41,3.4050000000000002,0.0100000000000002,True,3.4050000000000002,0.0,,
REBN,2025-02-20,TRAIN,6.449289999999999,2040.5924239199965,4.0816014911896525,6.43,6.25,0.17999999999999972,6.4,6.45,6.425000000000001,0.0499999999999998,True,6.425000000000001,0.0,,
