key,exit,window,split,gross_n,gross_tpw,gross_meanR,gross_se,gross_t,gross_WR,gross_wkR,gross_green,gross_worst,corr_n,corr_tpw,corr_meanR,corr_se,corr_t,corr_WR,corr_wkR,corr_green,corr_worst,mix_stop,mix_target,mix_eod,gate_n,gate_tpw,gate_meanR,gate_se,gate_t,gate_WR,gate_wkR,gate_green,gate_worst,note
"F1 {""P"": 0.12}",hold,ALL,TRAIN,833.0,15.7,0.344,0.1697,2.03,18.7,5.41,0.51,-20.8,833,15.7,0.266,0.17,1.56,18.7,4.18,0.43,-22.9,0.797,0.0,0.203,509.0,9.6,0.426,0.2107,2.02,23.0,4.09,0.53,-15.1,
"F1 {""P"": 0.12}",hold,ALL,VAL,390.0,17.7,-0.192,0.1414,-1.36,15.6,-3.4,0.36,-22.7,390,17.7,-0.279,0.142,-1.96,15.4,-4.94,0.32,-24.7,0.838,0.0,0.162,207.0,9.4,-0.255,0.1698,-1.5,17.4,-2.4,0.18,-13.3,
"F1 {""P"": 0.12}",hold,>=10:00,TRAIN,454.0,8.6,0.6,0.2773,2.16,20.7,5.14,0.51,-13.7,454,8.6,0.536,0.2777,1.93,20.7,4.59,0.51,-14.7,0.773,0.0,0.227,333.0,6.3,0.53,0.2913,1.82,23.4,3.33,0.42,-10.7,
"F1 {""P"": 0.12}",hold,>=10:00,VAL,182.0,8.3,-0.243,0.2031,-1.2,16.5,-2.01,0.36,-14.9,182,8.3,-0.31,0.2038,-1.52,15.9,-2.57,0.36,-15.8,0.824,0.0,0.176,126.0,5.7,-0.202,0.2086,-0.97,19.8,-1.15,0.18,-10.0,
"F1 {""P"": 0.12}",hold,>=10:30,TRAIN,267.0,5.0,0.896,0.4165,2.15,23.2,4.52,0.55,-12.6,267,5.0,0.838,0.4169,2.01,23.2,4.22,0.53,-13.1,0.745,0.0,0.255,205.0,3.9,0.774,0.404,1.92,26.3,2.99,0.47,-7.0,
"F1 {""P"": 0.12}",hold,>=10:30,VAL,128.0,5.8,-0.037,0.2754,-0.13,19.5,-0.22,0.36,-9.6,128,5.8,-0.104,0.2762,-0.38,18.8,-0.6,0.36,-10.3,0.789,0.0,0.211,87.0,4.0,-0.025,0.2768,-0.09,23.0,-0.1,0.27,-6.0,
"F1 {""P"": 0.12}",hold,09:30-10:00,TRAIN,387.0,7.3,0.003,0.1655,0.02,16.0,0.02,0.32,-13.7,387,7.3,-0.092,0.1662,-0.55,16.0,-0.67,0.3,-15.1,0.829,0.0,0.171,176.0,3.3,0.229,0.2606,0.88,22.2,0.76,0.38,-9.8,
"F1 {""P"": 0.12}",hold,09:30-10:00,VAL,212.0,9.6,-0.144,0.1942,-0.74,15.1,-1.39,0.32,-14.0,212,9.6,-0.248,0.1951,-1.27,15.1,-2.39,0.32,-16.5,0.849,0.0,0.151,81.0,3.7,-0.338,0.2897,-1.17,13.6,-1.25,0.23,-7.7,
"F1 {""P"": 0.12}",2r,ALL,TRAIN,847.0,16.0,-0.127,0.0515,-2.47,33.1,-2.03,0.28,-13.2,847,16.0,-0.21,0.0517,-4.07,33.1,-3.36,0.21,-14.1,0.656,0.313,0.031,510.0,9.6,-0.09,0.0652,-1.38,35.5,-0.87,0.45,-12.3,
"F1 {""P"": 0.12}",2r,ALL,VAL,398.0,18.1,-0.193,0.0729,-2.65,30.7,-3.49,0.27,-14.2,398,18.1,-0.284,0.073,-3.9,30.4,-5.15,0.23,-16.3,0.688,0.291,0.02,209.0,9.5,-0.245,0.0964,-2.54,29.7,-2.32,0.36,-10.2,
"F1 {""P"": 0.12}",2r,>=10:00,TRAIN,457.0,8.6,-0.144,0.0713,-2.01,33.7,-1.24,0.38,-12.4,457,8.6,-0.212,0.0715,-2.97,33.7,-1.83,0.3,-13.2,0.643,0.306,0.05,334.0,6.3,-0.133,0.0808,-1.65,35.0,-0.84,0.4,-9.7,
"F1 {""P"": 0.12}",2r,>=10:00,VAL,184.0,8.4,-0.104,0.1118,-0.93,34.2,-0.87,0.41,-11.9,184,8.4,-0.174,0.1118,-1.56,33.7,-1.46,0.36,-12.7,0.647,0.326,0.027,128.0,5.8,-0.104,0.1295,-0.81,34.4,-0.61,0.41,-7.0,
"F1 {""P"": 0.12}",2r,>=10:30,TRAIN,269.0,5.1,-0.077,0.0951,-0.81,36.4,-0.39,0.49,-9.0,269,5.1,-0.141,0.0953,-1.48,36.4,-0.72,0.47,-9.5,0.613,0.323,0.063,206.0,3.9,-0.04,0.1046,-0.39,38.3,-0.16,0.42,-7.0,
"F1 {""P"": 0.12}",2r,>=10:30,VAL,129.0,5.9,-0.143,0.1328,-1.07,33.3,-0.84,0.27,-6.6,129,5.9,-0.214,0.1326,-1.61,32.6,-1.25,0.27,-7.1,0.651,0.31,0.039,88.0,4.0,-0.146,0.1525,-0.96,33.0,-0.58,0.23,-5.5,
"F1 {""P"": 0.12}",2r,09:30-10:00,TRAIN,390.0,7.4,-0.108,0.0745,-1.45,32.3,-0.79,0.38,-7.3,390,7.4,-0.208,0.0747,-2.79,32.3,-1.53,0.36,-8.4,0.672,0.321,0.008,176.0,3.3,-0.008,0.1105,-0.07,36.4,-0.03,0.42,-5.4,
