key,exit,feat,bucket,split,n,cut_lo,cut_hi,meanR,se,t,WR,nan_share
"F1 {""P"": 0.12}",hold,iwm,T1 low,TRAIN,151,-0.258,0.313,0.792,0.4497,1.76,25.8,0.0
"F1 {""P"": 0.12}",hold,iwm,T2 mid,TRAIN,151,-0.258,0.313,0.548,0.5289,1.04,18.5,0.0
"F1 {""P"": 0.12}",hold,iwm,T3 high,TRAIN,152,-0.258,0.313,0.271,0.4631,0.59,17.8,0.0
"F1 {""P"": 0.12}",hold,iwm,sign -,TRAIN,215,-0.258,0.313,0.446,0.3274,1.36,23.7,0.0
"F1 {""P"": 0.12}",hold,iwm,sign +,TRAIN,239,-0.258,0.313,0.617,0.4382,1.41,18.0,0.0
"F1 {""P"": 0.12}",hold,iwm,T1 low,VAL,61,-0.258,0.313,-0.184,0.4302,-0.43,18.0,0.0
"F1 {""P"": 0.12}",hold,iwm,T2 mid,VAL,52,-0.258,0.313,-0.731,0.2556,-2.86,7.7,0.0
"F1 {""P"": 0.12}",hold,iwm,T3 high,VAL,69,-0.258,0.313,-0.105,0.3279,-0.32,20.3,0.0
"F1 {""P"": 0.12}",hold,iwm,sign -,VAL,88,-0.258,0.313,-0.396,0.3097,-1.28,14.8,0.0
"F1 {""P"": 0.12}",hold,iwm,sign +,VAL,94,-0.258,0.313,-0.23,0.269,-0.86,17.0,0.0
"F1 {""P"": 0.12}",hold,spy,T1 low,TRAIN,151,-0.093,0.19,0.324,0.3223,1.01,23.2,0.0
"F1 {""P"": 0.12}",hold,spy,T2 mid,TRAIN,151,-0.093,0.19,0.111,0.3653,0.31,17.2,0.0
"F1 {""P"": 0.12}",hold,spy,T3 high,TRAIN,152,-0.093,0.19,1.169,0.6728,1.74,21.7,0.0
"F1 {""P"": 0.12}",hold,spy,sign -,TRAIN,212,-0.093,0.19,0.432,0.3173,1.36,21.2,0.0
"F1 {""P"": 0.12}",hold,spy,sign +,TRAIN,242,-0.093,0.19,0.628,0.4412,1.42,20.2,0.0
"F1 {""P"": 0.12}",hold,spy,T1 low,VAL,58,-0.093,0.19,-0.289,0.4462,-0.65,13.8,0.0
"F1 {""P"": 0.12}",hold,spy,T2 mid,VAL,54,-0.093,0.19,-0.796,0.1952,-4.08,9.3,0.0
"F1 {""P"": 0.12}",hold,spy,T3 high,VAL,70,-0.093,0.19,0.047,0.3463,0.13,22.9,0.0
"F1 {""P"": 0.12}",hold,spy,sign -,VAL,74,-0.093,0.19,-0.372,0.3635,-1.02,12.2,0.0
"F1 {""P"": 0.12}",hold,spy,sign +,VAL,108,-0.093,0.19,-0.268,0.2379,-1.13,18.5,0.0
"F1 {""P"": 0.12}",hold,brd,T1 low,TRAIN,154,0.914,0.944,0.483,0.4727,1.02,19.5,0.0
"F1 {""P"": 0.12}",hold,brd,T2 mid,TRAIN,149,0.914,0.944,1.447,0.64,2.26,26.8,0.0
"F1 {""P"": 0.12}",hold,brd,T3 high,TRAIN,151,0.914,0.944,-0.308,0.2424,-1.27,15.9,0.0
"F1 {""P"": 0.12}",hold,brd,T1 low,VAL,42,0.914,0.944,-0.293,0.5386,-0.54,16.7,0.0
"F1 {""P"": 0.12}",hold,brd,T2 mid,VAL,50,0.914,0.944,-0.283,0.3621,-0.78,16.0,0.0
"F1 {""P"": 0.12}",hold,brd,T3 high,VAL,90,0.914,0.944,-0.334,0.2614,-1.28,15.6,0.0
"F1 {""P"": 0.12}",2r,iwm,T1 low,TRAIN,152,-0.256,0.317,-0.109,0.125,-0.87,36.8,0.0
"F1 {""P"": 0.12}",2r,iwm,T2 mid,TRAIN,152,-0.256,0.317,-0.329,0.1125,-2.93,28.3,0.0
"F1 {""P"": 0.12}",2r,iwm,T3 high,TRAIN,153,-0.256,0.317,-0.199,0.1334,-1.49,35.9,0.0
"F1 {""P"": 0.12}",2r,iwm,sign -,TRAIN,216,-0.256,0.317,-0.167,0.1026,-1.63,34.7,0.0
