key,exit,subset,split,n,tpw,meanR,se,t,WR,wkR,green,worst
F6 {},hold,all,TRAIN,1018,19.2,0.036,0.0275,1.31,45.3,0.69,0.55,-10.0
F6 {},hold,all,VAL,436,19.8,0.101,0.055,1.84,50.7,2.0,0.45,-4.3
F6 {},hold,all,TEST,299,21.4,0.107,0.1655,0.65,45.5,2.28,0.29,-10.7
F6 {},hold,combo,TRAIN,147,2.8,-0.01,0.0367,-0.27,47.6,-0.03,0.38,-1.5
F6 {},hold,combo,VAL,79,3.6,0.047,0.0564,0.84,51.9,0.17,0.59,-1.7
F6 {},hold,combo,TEST,68,4.9,0.0,0.057,0.01,41.2,0.0,0.36,-1.8
F6 {},hold,pm_hi,TRAIN,390,7.4,-0.0,0.0347,-0.01,46.7,-0.0,0.47,-7.6
F6 {},hold,pm_hi,VAL,236,10.7,0.001,0.0383,0.03,45.8,0.01,0.5,-3.9
F6 {},hold,pm_hi,TEST,156,11.1,-0.108,0.0434,-2.49,43.6,-1.2,0.29,-4.7
F6 {},2r,all,TRAIN,1044,19.7,0.027,0.0237,1.12,46.1,0.52,0.49,-6.7
F6 {},2r,all,VAL,448,20.4,0.068,0.0349,1.94,50.2,1.38,0.59,-4.3
F6 {},2r,all,TEST,306,21.9,-0.059,0.0426,-1.37,45.1,-1.28,0.29,-8.5
F6 {},2r,combo,TRAIN,147,2.8,-0.01,0.0367,-0.27,47.6,-0.03,0.38,-1.5
F6 {},2r,combo,VAL,79,3.6,0.047,0.0564,0.84,51.9,0.17,0.59,-1.7
F6 {},2r,combo,TEST,68,4.9,0.021,0.0649,0.32,41.2,0.1,0.36,-1.8
F6 {},2r,pm_hi,TRAIN,392,7.4,-0.005,0.0331,-0.16,46.9,-0.04,0.45,-7.6
F6 {},2r,pm_hi,VAL,237,10.8,0.006,0.0391,0.15,45.6,0.06,0.5,-3.9
F6 {},2r,pm_hi,TEST,156,11.1,-0.091,0.0472,-1.93,43.6,-1.02,0.29,-4.5
"F8 {""N"": 15}",hold,all,TRAIN,1222,23.1,-0.032,0.0271,-1.17,43.5,-0.73,0.45,-13.8
"F8 {""N"": 15}",hold,all,VAL,468,21.3,0.044,0.0389,1.13,47.4,0.94,0.64,-6.0
"F8 {""N"": 15}",hold,all,TEST,322,23.0,-0.061,0.0434,-1.4,44.1,-1.4,0.36,-6.4
"F8 {""N"": 15}",hold,combo,TRAIN,586,11.1,-0.082,0.0349,-2.35,41.8,-0.91,0.3,-6.7
"F8 {""N"": 15}",hold,combo,VAL,289,13.1,-0.026,0.0448,-0.57,46.4,-0.34,0.45,-7.0
"F8 {""N"": 15}",hold,combo,TEST,189,13.5,-0.188,0.0525,-3.57,37.0,-2.53,0.14,-8.1
"F8 {""N"": 15}",hold,pm_hi,TRAIN,968,18.3,-0.084,0.0313,-2.68,41.4,-1.53,0.32,-11.6
"F8 {""N"": 15}",hold,pm_hi,VAL,442,20.1,0.013,0.0396,0.33,49.8,0.26,0.64,-13.3
"F8 {""N"": 15}",hold,pm_hi,TEST,294,21.0,-0.074,0.0506,-1.47,41.2,-1.56,0.43,-7.8
"F8 {""N"": 15}",2r,all,TRAIN,1296,24.5,-0.035,0.0238,-1.47,44.4,-0.86,0.45,-12.4
"F8 {""N"": 15}",2r,all,VAL,481,21.9,0.038,0.0353,1.09,47.6,0.84,0.64,-6.0
"F8 {""N"": 15}",2r,all,TEST,330,23.6,-0.045,0.0426,-1.05,45.5,-1.06,0.36,-6.4
"F8 {""N"": 15}",2r,combo,TRAIN,592,11.2,-0.068,0.0328,-2.09,42.6,-0.76,0.38,-6.7
"F8 {""N"": 15}",2r,combo,VAL,290,13.2,-0.029,0.0424,-0.68,46.2,-0.38,0.45,-7.0
"F8 {""N"": 15}",2r,combo,TEST,190,13.6,-0.179,0.0528,-3.39,36.8,-2.43,0.29,-8.1
"F8 {""N"": 15}",2r,pm_hi,TRAIN,989,18.7,-0.091,0.0277,-3.28,42.3,-1.69,0.3,-11.6
