key,exit,split,bucket,n,meanR,se,rest_mean,diff,t_diff,WR
F6 {},hold,TRAIN,combo,175,-0.03,0.035,-0.017,-0.013,-0.37,44.6
F6 {},hold,TRAIN,pm_only,527,0.012,0.028,-0.021,0.033,1.09,48.8
F6 {},hold,TRAIN,news_only,538,-0.005,0.028,-0.019,0.014,0.47,41.6
F6 {},hold,TRAIN,neither,3264,-0.023,0.012,-0.001,-0.022,-1.02,41.3
F6 {},hold,VAL,combo,89,0.031,0.051,0.039,-0.008,-0.16,49.4
F6 {},hold,VAL,pm_only,279,-0.001,0.034,0.044,-0.046,-1.24,45.2
F6 {},hold,VAL,news_only,284,0.037,0.033,0.039,-0.002,-0.06,48.6
F6 {},hold,VAL,neither,1724,0.046,0.018,0.02,0.026,0.95,48.5
F6 {},hold,TEST,combo,82,-0.03,0.049,-0.023,-0.007,-0.12,40.2
F6 {},hold,TEST,pm_only,233,-0.076,0.033,-0.015,-0.061,-1.18,45.1
F6 {},hold,TEST,news_only,151,-0.01,0.057,-0.025,0.014,0.21,39.7
F6 {},hold,TEST,neither,1187,-0.014,0.048,-0.047,0.033,0.6,41.6
F6 {},2r,TRAIN,combo,175,-0.03,0.035,-0.02,-0.01,-0.28,44.6
F6 {},2r,TRAIN,pm_only,527,0.01,0.028,-0.024,0.034,1.15,48.8
F6 {},2r,TRAIN,news_only,538,-0.008,0.027,-0.022,0.014,0.5,41.8
F6 {},2r,TRAIN,neither,3264,-0.027,0.011,-0.004,-0.023,-1.13,41.5
F6 {},2r,VAL,combo,89,0.031,0.051,0.035,-0.004,-0.07,49.4
F6 {},2r,VAL,pm_only,279,0.006,0.035,0.039,-0.033,-0.88,45.2
F6 {},2r,VAL,news_only,284,0.039,0.033,0.034,0.005,0.15,48.6
F6 {},2r,VAL,neither,1724,0.039,0.014,0.024,0.015,0.57,48.6
F6 {},2r,TEST,combo,82,-0.013,0.056,-0.072,0.058,1.01,40.2
F6 {},2r,TEST,pm_only,233,-0.07,0.034,-0.068,-0.002,-0.04,45.1
F6 {},2r,TEST,news_only,151,-0.028,0.043,-0.073,0.044,0.97,40.4
F6 {},2r,TEST,neither,1187,-0.077,0.017,-0.047,-0.031,-1.04,41.6
"F8 {""N"": 15}",hold,TRAIN,combo,686,-0.031,0.035,0.031,-0.062,-1.75,43.3
"F8 {""N"": 15}",hold,TRAIN,pm_only,1056,-0.098,0.031,0.039,-0.136,-4.19,41.1
"F8 {""N"": 15}",hold,TRAIN,news_only,2089,0.043,0.019,0.025,0.018,0.86,46.4
"F8 {""N"": 15}",hold,TRAIN,neither,9509,0.043,0.011,-0.009,0.052,2.82,46.2
"F8 {""N"": 15}",hold,VAL,combo,382,-0.024,0.037,0.011,-0.035,-0.91,45.8
"F8 {""N"": 15}",hold,VAL,pm_only,729,-0.017,0.043,0.012,-0.029,-0.67,46.9
"F8 {""N"": 15}",hold,VAL,news_only,1113,0.021,0.022,0.008,0.013,0.55,47.8
"F8 {""N"": 15}",hold,VAL,neither,6159,0.013,0.011,0.001,0.012,0.54,46.0
"F8 {""N"": 15}",hold,TEST,combo,230,-0.143,0.047,-0.058,-0.084,-1.76,39.1
"F8 {""N"": 15}",hold,TEST,pm_only,572,-0.042,0.033,-0.064,0.021,0.62,43.7
"F8 {""N"": 15}",hold,TEST,news_only,621,0.013,0.031,-0.07,0.083,2.54,46.4
"F8 {""N"": 15}",hold,TEST,neither,4647,-0.07,0.011,-0.034,-0.035,-1.52,43.1
"F8 {""N"": 15}",2r,TRAIN,combo,686,-0.037,0.03,0.012,-0.049,-1.58,44.0
"F8 {""N"": 15}",2r,TRAIN,pm_only,1056,-0.128,0.027,0.021,-0.149,-5.32,41.3
"F8 {""N"": 15}",2r,TRAIN,news_only,2089,0.036,0.016,0.004,0.032,1.75,46.9
"F8 {""N"": 15}",2r,TRAIN,neither,9509,0.022,0.009,-0.022,0.044,2.86,46.7
"F8 {""N"": 15}",2r,VAL,combo,382,-0.025,0.035,0.003,-0.028,-0.76,45.8
"F8 {""N"": 15}",2r,VAL,pm_only,729,-0.036,0.029,0.005,-0.041,-1.35,47.5
"F8 {""N"": 15}",2r,VAL,news_only,1113,0.021,0.021,-0.002,0.023,1.01,47.9
"F8 {""N"": 15}",2r,VAL,neither,6159,0.004,0.01,-0.005,0.009,0.51,46.2
"F8 {""N"": 15}",2r,TEST,combo,230,-0.126,0.047,-0.055,-0.071,-1.48,39.6
"F8 {""N"": 15}",2r,TEST,pm_only,572,-0.039,0.032,-0.06,0.021,0.62,44.1
"F8 {""N"": 15}",2r,TEST,news_only,621,0.015,0.028,-0.066,0.081,2.71,46.7
"F8 {""N"": 15}",2r,TEST,neither,4647,-0.066,0.011,-0.03,-0.037,-1.66,43.3
"F8 {""N"": 30}",hold,TRAIN,combo,1505,-0.031,0.02,0.028,-0.059,-2.92,44.2
"F8 {""N"": 30}",hold,TRAIN,pm_only,2394,-0.028,0.018,0.03,-0.058,-3.07,45.5
"F8 {""N"": 30}",hold,TRAIN,news_only,3945,0.04,0.012,0.021,0.019,1.42,47.5
"F8 {""N"": 30}",hold,TRAIN,neither,17651,0.033,0.006,0.006,0.027,2.46,47.1
"F8 {""N"": 30}",hold,VAL,combo,824,0.016,0.022,0.013,0.003,0.14,48.7
"F8 {""N"": 30}",hold,VAL,pm_only,1692,0.054,0.022,0.008,0.046,2.0,51.4
"F8 {""N"": 30}",hold,VAL,news_only,2065,0.017,0.014,0.012,0.005,0.29,48.2
"F8 {""N"": 30}",hold,VAL,neither,11813,0.006,0.008,0.03,-0.024,-1.81,46.7
"F8 {""N"": 30}",hold,TEST,combo,604,-0.112,0.026,-0.042,-0.07,-2.62,41.9
"F8 {""N"": 30}",hold,TEST,pm_only,1447,-0.047,0.018,-0.046,-0.001,-0.05,46.0
"F8 {""N"": 30}",hold,TEST,news_only,1183,0.004,0.019,-0.051,0.055,2.71,46.3
"F8 {""N"": 30}",hold,TEST,neither,8927,-0.048,0.007,-0.04,-0.008,-0.56,43.8
"F8 {""N"": 30}",2r,TRAIN,combo,1505,-0.035,0.018,0.017,-0.052,-2.76,44.5
"F8 {""N"": 30}",2r,TRAIN,pm_only,2394,-0.045,0.016,0.02,-0.065,-3.85,45.6
"F8 {""N"": 30}",2r,TRAIN,news_only,3945,0.033,0.011,0.01,0.023,1.93,47.6
"F8 {""N"": 30}",2r,TRAIN,neither,17651,0.021,0.005,-0.004,0.025,2.6,47.2
"F8 {""N"": 30}",2r,VAL,combo,824,0.015,0.022,0.006,0.009,0.41,48.7
"F8 {""N"": 30}",2r,VAL,pm_only,1692,0.043,0.017,0.002,0.041,2.27,51.4
"F8 {""N"": 30}",2r,VAL,news_only,2065,0.012,0.013,0.006,0.006,0.43,48.2
"F8 {""N"": 30}",2r,VAL,neither,11813,-0.0,0.006,0.024,-0.024,-2.18,46.7
"F8 {""N"": 30}",2r,TEST,combo,604,-0.11,0.026,-0.042,-0.069,-2.59,41.9
"F8 {""N"": 30}",2r,TEST,pm_only,1447,-0.047,0.018,-0.045,-0.002,-0.12,46.1
"F8 {""N"": 30}",2r,TEST,news_only,1183,-0.001,0.018,-0.05,0.049,2.6,46.5
"F8 {""N"": 30}",2r,TEST,neither,8927,-0.046,0.007,-0.042,-0.004,-0.31,44.0
"F8 {""N"": 5}",hold,TRAIN,combo,413,-0.159,0.051,-0.03,-0.13,-2.44,34.4
"F8 {""N"": 5}",hold,TRAIN,pm_only,637,-0.206,0.046,-0.021,-0.185,-3.76,35.2
"F8 {""N"": 5}",hold,TRAIN,news_only,1141,0.03,0.039,-0.049,0.078,1.85,45.0
"F8 {""N"": 5}",hold,TRAIN,neither,5231,-0.021,0.019,-0.074,0.053,1.65,41.3
"F8 {""N"": 5}",hold,VAL,combo,208,-0.049,0.057,-0.007,-0.043,-0.71,42.8
"F8 {""N"": 5}",hold,VAL,pm_only,442,-0.08,0.05,-0.001,-0.079,-1.48,43.4
"F8 {""N"": 5}",hold,VAL,news_only,586,0.028,0.041,-0.014,0.042,0.94,45.6
"F8 {""N"": 5}",hold,VAL,neither,3215,-0.003,0.021,-0.024,0.021,0.58,43.4
"F8 {""N"": 5}",hold,TEST,combo,131,-0.277,0.07,-0.12,-0.157,-2.11,35.1
"F8 {""N"": 5}",hold,TEST,pm_only,315,-0.152,0.051,-0.124,-0.028,-0.49,36.8
"F8 {""N"": 5}",hold,TEST,news_only,314,0.076,0.084,-0.149,0.225,2.57,42.7
"F8 {""N"": 5}",hold,TEST,neither,2327,-0.142,0.029,-0.079,-0.063,-1.21,39.0
"F8 {""N"": 5}",2r,TRAIN,combo,413,-0.136,0.046,-0.059,-0.077,-1.61,35.8
"F8 {""N"": 5}",2r,TRAIN,pm_only,637,-0.209,0.041,-0.05,-0.16,-3.73,36.3
"F8 {""N"": 5}",2r,TRAIN,news_only,1141,-0.003,0.027,-0.075,0.071,2.42,46.3
"F8 {""N"": 5}",2r,TRAIN,neither,5231,-0.053,0.014,-0.088,0.035,1.41,42.8
"F8 {""N"": 5}",2r,VAL,combo,208,-0.061,0.054,-0.033,-0.028,-0.5,42.8
"F8 {""N"": 5}",2r,VAL,pm_only,442,-0.071,0.046,-0.03,-0.041,-0.86,44.6
"F8 {""N"": 5}",2r,VAL,news_only,586,-0.001,0.035,-0.039,0.039,1.0,45.6
"F8 {""N"": 5}",2r,VAL,neither,3215,-0.034,0.017,-0.036,0.002,0.08,44.2
"F8 {""N"": 5}",2r,TEST,combo,131,-0.202,0.074,-0.125,-0.077,-1.01,37.4
"F8 {""N"": 5}",2r,TEST,pm_only,315,-0.105,0.051,-0.131,0.025,0.47,38.4
"F8 {""N"": 5}",2r,TEST,news_only,314,0.003,0.049,-0.143,0.146,2.8,43.6
"F8 {""N"": 5}",2r,TEST,neither,2327,-0.145,0.019,-0.077,-0.068,-1.81,40.1
