month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,7,2,3,28.57142857142857,8,600.1464727959994,-315.0737932525828,249.46552960951172,249.46552960951172,-315.0737932525828
2025-02,8,2,3,25.0,9,574.2663389919995,-161.37595614000006,500.80637858346347,750.2719081929752,-161.37595614000006
2025-03,5,3,1,60.0,7,610.3839824124594,-82.65689044266647,684.8628357523809,1435.1347439453561,-82.65689044266647
2025-04,1,0,0,0.0,1,0.0,0.0,0.0,1435.1347439453561,0.0
2025-05,4,2,2,50.0,5,1093.4488766542204,-126.62018529761879,1209.324360063275,2644.459104008631,-85.8008332869257
2025-06,6,2,3,33.33333333333333,11,290.18712504,-59.63108750764301,389.28555116041144,3033.7446551690427,-75.6551375999995
2025-07,6,2,3,33.33333333333333,8,94.27044295661335,-118.1769963124998,13.044564305195365,3046.789219474238,-154.50789669141835
2025-08,3,2,0,66.66666666666666,3,324.47754897400006,0.0,482.391333422,3529.180552896238,0.0
2025-09,9,3,5,33.33333333333333,16,868.0533074173463,-165.581070749333,600.1784097686841,4129.358962664923,-307.0641944959971
2025-10,6,4,2,66.66666666666666,12,1670.1664882056539,-76.07979289904736,2454.301170460608,6583.660133125531,-90.61380308571393
2025-11,6,2,3,33.33333333333333,11,324.3456236000006,-260.6633389599989,79.27070010552671,6662.9308332310575,-285.8188829318083
2025-12,10,1,6,10.0,15,550.5376784000009,-205.56926133333278,-266.44531872961556,6396.485514501442,-318.51369199999914
2026-01,8,3,4,37.5,11,1254.686943168,-262.94753527301725,881.9212772251752,7278.406791726617,-262.94753527301725
2026-02,11,4,4,36.36363636363637,16,743.3404914580005,-337.6383531424998,1252.9305795037635,8531.33737123038,-413.7678577487144
2026-03,6,4,1,66.66666666666666,7,1883.048340673333,-123.51949999999957,3998.975202153334,12530.312573383715,-123.51949999999943
2026-04,10,3,3,30.0,11,497.91561277333363,-117.71174701000037,781.7953537344767,13312.107927118192,-188.74109172285762
2026-05,6,1,4,16.666666666666664,7,346.28630834466713,-132.89920121988067,83.04737980478686,13395.155306922978,-136.40444855321357
2026-06,12,4,4,33.33333333333333,18,530.7554841519998,-239.36570079999998,477.8487728633332,13873.004079786311,-239.36570079999998
2026-07,12,5,6,41.66666666666667,16,463.03092793133385,-282.03891333333274,138.79251846933747,14011.796598255649,-507.8616567533304
2026-08,12,4,4,33.33333333333333,19,2611.581995625697,-106.9721547599993,3338.9823571886072,17350.778955444257,-106.97215475999928
2026-09,4,1,2,25.0,4,52.576058981000145,-107.24834999999975,-80.56198968566564,17270.21696575859,-25.889698666666035
