month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,7,2,3,28.57142857142857,7,600.1464727959994,-164.5448263719997,478.0699322741666,478.0699322741666,-312.2397347618329
2025-02,8,2,3,25.0,9,574.2663389919995,-161.37595614000006,500.80637858346347,978.8763108576301,-161.37595614000006
2025-03,4,3,0,75.0,5,313.9278917600003,0.0,567.3287776159207,1546.2050884735509,0.0
2025-04,3,2,0,66.66666666666666,3,375.52802851400077,0.0,554.7048425940005,2100.9099310675515,0.0
2025-05,5,2,3,40.0,7,1231.5921853208874,-126.62018529761879,1277.9632233899424,3378.873154457494,-155.30527862692554
2025-06,6,2,3,33.33333333333333,10,332.24395166333363,-170.17567301571384,306.6963675399768,3685.5695219974705,-203.19154661571386
2025-07,6,2,2,33.33333333333333,6,94.27044295661335,-100.673219264252,53.58672439902871,3739.1562463964992,-113.96573659758499
2025-08,3,1,1,33.33333333333333,3,157.91378444799992,-95.15629583035704,62.75748861764288,3801.9137350141423,-95.15629583035704
2025-09,9,3,5,33.33333333333333,17,868.0533074173463,-165.581070749333,576.8923586686849,4378.806093682827,-307.0641944959971
2025-10,6,3,1,50.0,10,1670.1664882056539,-14.534010186666674,2341.189042692988,6719.9951363758155,-14.534010186666592
2025-11,7,2,4,28.57142857142857,13,503.5298348364002,-422.60733895999897,-100.33646345540609,6619.658672920409,-642.3930389599986
2025-12,11,2,6,18.181818181818183,18,550.5376784000009,-409.55580780666565,-436.2036779071159,6183.454995013293,-454.34369184835657
2026-01,8,2,5,25.0,11,1254.686943168,-262.94753527301725,607.2842532251757,6790.739248238469,-390.3663859396821
2026-02,9,3,3,33.33333333333333,13,951.8078583760005,-236.63425799999948,1609.7789531006688,8400.518201339139,-248.62547919999952
2026-03,7,4,2,57.14285714285714,7,1883.048340673333,-123.51949999999957,3641.665213330668,12042.183414669806,-158.47331749999876
2026-04,11,2,5,18.181818181818183,13,497.91561277333363,-141.72156444248543,249.53219594818327,12291.715610617988,-305.7414292224846
2026-05,6,2,3,33.33333333333333,7,346.28630834466713,-132.89920121988067,199.82610458478754,12491.541715202775,-132.89920121988067
2026-06,11,4,3,36.36363636363637,17,217.7006121766667,-239.36570079999998,258.1134199379995,12749.655135140774,-239.36570079999998
2026-07,11,5,5,45.45454545454545,16,447.21508693333345,-232.45766133333277,566.6667532861221,13316.321888426897,-233.4278054199977
2026-08,12,3,3,25.0,19,701.0759580729072,-202.93236475999896,819.9350755629105,14136.256963989808,-202.9323647599989
2026-09,4,1,2,25.0,4,52.576058981000145,-107.24834999999975,-80.56198968566564,14055.694974304142,-25.889698666666035
