month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,3,33.33333333333333,8,600.1464727959994,-225.77034417390504,396.283164275428,396.283164275428,-225.77034417390507
2025-02,6,2,2,33.33333333333333,6,438.22684406399975,-161.37595614000006,472.1594913251895,868.4426556006175,-161.37595614000006
2025-03,4,1,2,25.0,5,447.7245733199999,-122.24417666666666,219.0504143278094,1087.4930699284268,-106.42998232552382
2025-04,2,1,0,50.0,2,375.52802851400077,0.0,375.52802851400077,1463.0210984424275,0.0
2025-05,4,3,1,75.0,5,1093.4488766542204,-210.1269065571427,1583.5089374240101,3046.5300358664376,-210.12690655714277
2025-06,6,3,3,50.0,7,276.55468914805414,-101.44728371964275,523.7275636247921,3570.2575994912295,-101.44728371964277
2025-07,6,0,2,0.0,7,0.0,-118.1769963124998,-218.8502155767518,3351.4073839144776,-218.8502155767518
2025-08,5,0,4,0.0,5,0.0,-236.67814828000013,-399.9994053396907,2951.4079785747867,-342.3727923636905
2025-09,7,1,5,14.285714285714285,13,124.59959666666738,-166.37743466666655,-357.98403982932916,2593.4239387454577,-333.1576180293299
2025-10,8,3,3,37.5,12,1676.068294045654,-106.95001706399982,2157.1054319376954,4750.529370683153,-106.9500170639999
2025-11,7,2,5,28.57142857142857,14,450.59699839733355,-284.7606869599997,-162.880930902331,4587.648439780822,-486.5028282933328
2025-12,10,2,6,20.0,17,550.5376784000009,-256.7906632380952,-157.73623061809232,4429.91220916273,-471.2937021133321
2026-01,8,3,4,37.5,12,1254.686943168,-262.94753527301725,749.7370452251765,5179.649254387906,-295.58222142714175
2026-02,8,2,3,25.0,10,621.8846172800002,-100.1521313333335,677.7876382133343,5857.43689260124,-125.43615253333309
2026-03,7,4,2,57.14285714285714,11,1883.048340673333,-417.48483774666596,3723.823988338827,9581.260880940066,-452.4386552466658
2026-04,16,4,6,25.0,18,4128.2489141999995,-165.29308597285717,4245.303734324953,13826.564615265019,-165.29308597285717
2026-05,5,1,4,20.0,8,40.70576746000039,-132.89920121988067,-166.2991442665467,13660.265470998473,-161.115660553214
2026-06,7,2,3,28.57142857142857,10,217.7006121766667,-73.51518214666672,240.17759836333255,13900.443069361805,-139.4503513466668
2026-07,9,4,4,44.44444444444444,14,229.40202166666666,-282.03891333333274,135.4324827572098,14035.875552119014,-386.2684130967433
2026-08,10,2,5,20.0,18,701.0759580729072,-285.8789415666654,266.4887004386249,14302.36425255764,-408.4085016809505
2026-09,5,0,3,0.0,5,0.0,-107.24834999999975,-217.52595016828502,14084.838302389355,-110.27760016828528
