split,n,n_weeks,trades_per_week,gross_bps,net_bps,net_daily_bps,net_auction_bps,med_net_bps,t_trade,wr,sd_trade_bps,mde_trade_bps,wk_mean_bps,wk_green,t_week,mde_week_bps,stop_rate,trunc_rate,span_days,entry_days,net_R,t_R,net_bps_no_top1,net_bps_no_top5,net_bps_wincap,pos_usd_med,pos_usd_p25,book_usd,usd_per_month,usd_worst_month,pct_book_per_month,n_months,cell,fam,hold,slots,universe
TRAIN,159,27,5.88889,37.0622,-11.6066,27.7037,27.0622,-45.1638,-0.113497,45.283,1289.49,204.527,-6.83502,55.5556,-0.114911,118.962,28.3019,0,128,84,-0.0165809,-0.113497,-78.5415,-177.978,-48.3429,424908,243440,4.24908e+06,-11202.1,-311495,-0.263636,7,K2_h10_n10,K2,10,10,primary
VAL,127,22,5.77273,67.2957,19.1948,58.0359,57.2957,-170.693,0.122221,37.7953,1769.86,314.1,11.0806,40.9091,0.109067,203.19,37.7953,0,101,64,0.0274213,0.122221,-129.587,-272.159,-67.2497,441795,192036,4.41795e+06,17949.7,-664500,0.40629,6,K2_h10_n10,K2,10,10,primary
TRAIN,308,28,11,30.3624,-18.3734,20.9923,20.3624,-63.2663,-0.274419,45.7792,1175.04,133.908,-10.1054,46.4286,-0.23925,84.4753,29.5455,0.324675,128,112,-0.0262477,-0.274418,-79.5958,-181.616,-47.391,410574,220339,8.21148e+06,-33192,-747705,-0.404215,7,K2_h10_n20,K2,10,20,primary
VAL,250,23,10.8696,202.163,154.315,192.947,192.163,-93.4406,1.16846,43.6,2088.16,264.134,83.8667,56.5217,1.06479,157.528,32.8,0,102,84,0.22045,1.16846,-30.1782,-164.741,2.9556,447631,204676,8.95263e+06,287817,-528791,3.21489,6,K2_h10_n20,K2,10,20,primary
TRAIN,281,27,10.4074,-42.9628,-91.4731,-52.2937,-52.9628,-55.2185,-1.56078,45.1957,982.435,117.214,-95.1998,40.7407,-1.32347,143.864,24.5552,0,128,110,-0.130676,-1.56078,-130.006,-206.074,-111.516,424908,212707,4.24908e+06,-156026,-588594,-3.67199,7,K2_h5_n10,K2,5,10,primary
VAL,227,22,10.3182,25.0102,-22.8883,15.7855,15.0102,-35.6938,-0.325063,47.1366,1060.86,140.824,-23.6165,45.4545,-0.256911,183.85,23.7885,0,102,91,-0.0326975,-0.325063,-96.3266,-191.008,-75.321,413262,197454,4.13262e+06,-35786,-283336,-0.86594,6,K2_h5_n10,K2,5,10,primary
TRAIN,509,27,18.8519,-24.4668,-70.4271,-33.3548,-34.4668,-59.1267,-1.7605,44.5972,902.532,80.0081,-66.384,40.7407,-1.21078,109.655,21.0216,0.196464,128,120,-0.10061,-1.7605,-111.782,-190.641,-88.5284,555100,248038,1.1102e+07,-284270,-1.14299e+06,-2.56053,7,K2_h5_n20,K2,5,20,primary
VAL,421,22,19.1364,35.9382,-10.4617,26.9738,25.9382,-23.0314,-0.218498,48.2185,982.414,95.7599,-10.0099,45.4545,-0.200116,100.041,23.0404,0,102,99,-0.0149452,-0.218497,-72.8533,-158.307,-53.9025,513892,230196,1.02778e+07,-37722.8,-567517,-0.36703,6,K2_h5_n20,K2,5,20,primary
TRAIN,156,27,5.77778,73.9465,26.2344,64.7542,63.9465,-21.7242,0.248662,47.4359,1317.72,211.004,15.1576,55.5556,0.238502,127.107,25.641,0.641026,128,77,0.0374777,0.248663,-41.513,-155.823,-6.1926,440927,263210,4.40927e+06,25778.9,-300892,0.584652,7,K2_h10_n10_sec,K2,10,10,secondary
VAL,124,22,5.63636,179.887,131.053,170.499,169.887,-115.663,0.680923,39.5161,2143.18,384.927,73.8662,45.4545,0.822473,179.62,35.4839,0,101,63,0.187219,0.680924,-61.3648,-204.678,0.748679,395468,193009,3.95468e+06,107110,-478166,2.70843,6,K2_h10_n10_sec,K2,10,10,secondary
