symbol,sig_date,entry_date,exit_date,split,entry,exit,stop,r_pct,why,gross,net,net_daily,net_auction,dvol20_med,gap,vol_ratio,ret5,ret3,on20,sig_close
SXT,2025-07-01,2025-07-02,2025-07-09,TRAIN,103.77,108.75,96.5061,0.07,hold,0.0479908,0.0416032,0.0467908,0.0469908,2.9338e+07,-0.00233454,2.50748,0.0628577,0.0597167,-0.000251982,103.99
HAS,2025-07-01,2025-07-02,2025-07-09,TRAIN,76.675,76.68,71.3078,0.07,hold,6.52075e-05,-0.00286819,-0.000534793,-0.000934793,1.32543e+08,0.0176104,2.4816,0.0607605,0.0647213,0.00148437,76.99
PGY,2025-07-01,2025-07-02,2025-07-09,TRAIN,22.535,23.37,20.9576,0.07,hold,0.0370535,0.0306659,0.0358535,0.0360535,3.80069e+07,0,2.01698,0.131764,0.157868,0.00348037,22.59
AGCO,2025-07-02,2025-07-03,2025-07-10,TRAIN,110.71,113.77,102.96,0.07,hold,0.0276397,0.0247063,0.0270397,0.0266397,6.21268e+07,-0.000277758,2.54637,0.100109,0.0794845,0.00216773,110.55
DLN,2025-07-02,2025-07-03,2025-07-10,TRAIN,83.1,83.51,77.283,0.07,hold,0.00493383,-0.00145377,0.00373383,0.00393383,1.32919e+07,-0.000604272,2.23038,0.0269701,0.0165319,0.0011019,83.01
DBD,2025-07-02,2025-07-03,2025-07-10,TRAIN,58.37,60.21,54.2841,0.07,hold,0.031523,0.0251354,0.030323,0.030523,1.08938e+07,0.00281239,2.16889,0.0906515,0.0418546,0.00240234,57.75
AMG,2025-07-02,2025-07-03,2025-07-10,TRAIN,200.19,206.96,186.177,0.07,hold,0.0338179,0.0274303,0.0326179,0.0328179,3.00876e+07,0.000654221,2.09988,0.0570434,0.0143168,0.00108488,200.5
CHEF,2025-07-07,2025-07-08,2025-07-14,TRAIN,67.45,65.76,62.7285,0.07,hold,-0.0250555,-0.0314431,-0.0262555,-0.0260555,2.32151e+07,0,3.55264,0.0553281,0.0679356,0.000874463,67.045
ATAT,2025-07-07,2025-07-08,2025-07-14,TRAIN,35.85,35.51,33.3405,0.07,hold,-0.00948399,-0.0158716,-0.010684,-0.010484,3.11033e+07,0.00443912,2.57403,0.0851909,0.0865179,0.00315593,35.54
LAUR,2025-07-07,2025-07-08,2025-07-14,TRAIN,24.155,23.57,22.4642,0.07,hold,-0.0242186,-0.0306062,-0.0254186,-0.0252186,1.6677e+07,-0.001692,2.01715,0.0385281,0.027409,-0.000404564,23.99
RYTM,2025-07-09,2025-07-10,2025-07-16,TRAIN,91.8,91.44,85.374,0.07,hold,-0.00392157,-0.0103092,-0.00512157,-0.00492157,4.03466e+07,0.178231,7.61001,0.360024,0.353201,0.00875498,89
PTC,2025-07-09,2025-07-10,2025-07-16,TRAIN,198.345,194.19,184.461,0.07,hold,-0.0209484,-0.0238818,-0.0215484,-0.0219484,1.37884e+08,0.00206828,4.54285,0.216097,0.195988,9.88722e-05,210.47
PENG,2025-07-09,2025-07-10,2025-07-16,TRAIN,23.6,24.63,21.948,0.07,hold,0.0436441,0.0372565,0.0424441,0.0426441,1.57487e+07,-0.0136858,4.19178,0.161626,0.122664,0.00452161,23.43
MP,2025-07-10,2025-07-11,2025-07-17,TRAIN,45.53,60.26,42.3429,0.07,hold,0.323523,0.32059,0.322923,0.322523,3.33883e+08,0.601732,7.10129,0.397281,0.456683,0.0279789,45.23
AZZ,2025-07-10,2025-07-11,2025-07-17,TRAIN,105.85,111.9,98.4405,0.07,hold,0.0571563,0.0507687,0.0559563,0.0561563,1.74551e+07,0.030318,5.65295,0.0616261,0.0754831,0.00278309,106.29
METC,2025-07-10,2025-07-11,2025-07-17,TRAIN,16.65,22.66,15.4845,0.07,hold,0.360961,0.354573,0.359761,0.359961,1.3876e+07,0.144094,4.62845,0.384679,0.310481,0.0124153,16.63
BYD,2025-07-10,2025-07-11,2025-07-17,TRAIN,84,82.44,78.12,0.07,hold,-0.0185714,-0.0215048,-0.0191714,-0.0195714,6.95691e+07,0.00332892,2.75363,0.0489004,0.0561672,0.000125197,85.37
TRI,2025-07-14,2025-07-15,2025-07-21,TRAIN,214.21,203.43,199.215,0.07,hold,-0.0503245,-0.0532579,-0.0509245,-0.0513245,8.98053e+07,0.0255561,11.5061,0.0649797,0.0709965,0.00136095,214.21
PFGC,2025-07-14,2025-07-15,2025-07-21,TRAIN,96.42,98.96,89.6706,0.07,hold,0.0263431,0.0234097,0.0257431,0.0253431,7.70188e+07,0.00253141,5.40874,0.0921746,0.0789707,0.0023324,97.28
PBI,2025-07-14,2025-07-15,2025-07-21,TRAIN,12.13,12.46,11.2809,0.07,hold,0.0272052,0.0208176,0.0260052,0.0262052,2.36474e+07,0.0440508,2.59503,0.0832587,0.108059,0.00348702,12.1
U,2025-07-16,2025-07-17,2025-07-23,TRAIN,34.85,33.41,32.4105,0.07,hold,-0.0413199,-0.0442533,-0.0419199,-0.0423199,2.47174e+08,0.0858741,3.3258,0.156388,0.173177,0.00281679,33.94
JOBY,2025-07-16,2025-07-17,2025-07-23,TRAIN,16.58,17.59,15.4194,0.07,hold,0.0609168,0.0579834,0.0603168,0.0599168,2.49076e+08,0.0713261,2.75935,0.41263,0.356312,0.0111649,16.33
NIC,2025-07-16,2025-07-17,2025-07-23,TRAIN,136.27,136.84,126.731,0.07,hold,0.00418282,-0.00220478,0.00298282,0.00318282,1.07707e+07,0,2.06005,0.0484008,0.0590937,-0.00026634,136.03
AIR,2025-07-17,2025-07-18,2025-07-22,TRAIN,84.97,79.01,79.0221,0.07,stop,-0.0701424,-0.07653,-0.0713424,-0.0711424,1.95043e+07,0.0440706,5.2737,0.141516,0.138919,0.00394058,85.1
PGY,2025-07-17,2025-07-18,2025-07-24,TRAIN,30.13,32.2,28.0209,0.07,hold,0.0687023,0.0623147,0.0675023,0.0677023,4.30187e+07,0.104972,4.02169,0.252654,0.245251,0.0105677,29.5
BN,2025-07-17,2025-07-18,2025-07-24,TRAIN,68.59,67.45,63.7887,0.07,hold,-0.0166205,-0.0195539,-0.0172205,-0.0176205,1.16261e+08,-0.00623202,2.60349,0.0653534,0.0668546,0.00238065,68.14
TSM,2025-07-17,2025-07-18,2025-07-24,TRAIN,245.31,241.6,228.138,0.07,hold,-0.0151237,-0.0180571,-0.0157237,-0.0161237,2.22068e+09,0.0346439,2.5118,0.0689416,0.0740368,0.00471343,245.6
BMO,2025-07-21,2025-07-22,2025-07-28,TRAIN,115.02,113.34,106.969,0.07,hold,-0.0146062,-0.0175396,-0.0152062,-0.0156062,5.94356e+07,0.0021888,6.07696,0.0125033,0.0115236,0.000462809,114.99
IVZ,2025-07-21,2025-07-22,2025-07-28,TRAIN,20.04,21.68,18.6372,0.07,hold,0.0818363,0.0789029,0.0812363,0.0808363,8.19338e+07,0.0145582,3.17691,0.164937,0.196683,0.00424255,20.2
