bar_date,n
2019-01-02,1562
2019-01-03,1585
2019-01-04,1589
2019-01-07,1608
2019-01-08,1621
2019-01-09,1596
2019-01-10,1586
2019-01-11,1558
2019-01-14,1507
2019-01-15,1407
2019-01-16,1409
2019-01-17,1373
2019-01-18,1334
2019-01-22,1333
2019-01-23,1336
2019-01-24,1312
2019-01-25,1298
2019-01-28,1269
2019-01-29,1242
2019-01-30,1215
2019-01-31,1218
2019-02-01,1229
2019-02-04,1238
2019-02-05,1246
2019-02-06,1244
2019-02-07,1243
2019-02-08,1262
2019-02-11,1271
2019-02-12,1257
2019-02-13,1250
2019-02-14,1261
2019-02-15,1267
2019-02-19,1273
2019-02-20,1280
2019-02-21,1268
2019-02-22,1253
2019-02-25,1254
2019-02-26,1265
2019-02-27,1270
2019-02-28,1267
2019-03-01,1265
2019-03-04,1269
2019-03-05,1288
2019-03-06,1283
2019-03-07,1291
2019-03-08,1278
2019-03-11,1272
2019-03-12,1277
2019-03-13,1257
2019-03-14,1259
2019-03-15,1256
2019-03-18,1292
2019-03-19,1281
2019-03-20,1280
2019-03-21,1280
2019-03-22,1272
2019-03-25,1284
2019-03-26,1286
2019-03-27,1284
2019-03-28,1277
2019-03-29,1268
2019-04-01,1262
2019-04-02,1276
2019-04-03,1273
2019-04-04,1285
2019-04-05,1234
2019-04-08,1227
2019-04-09,1213
2019-04-10,1197
2019-04-11,1178
2019-04-12,1125
2019-04-15,1116
2019-04-16,1103
2019-04-17,1093
2019-04-18,1103
2019-04-22,1095
2019-04-23,1086
2019-04-24,1090
2019-04-25,1083
2019-04-26,1089
2019-04-29,1100
2019-04-30,1105
2019-05-01,1129
2019-05-02,1154
2019-05-03,1183
2019-05-06,1204
2019-05-07,1239
2019-05-08,1264
2019-05-09,1268
2019-05-10,1317
2019-05-13,1352
2019-05-14,1378
2019-05-15,1389
2019-05-16,1378
2019-05-17,1387
2019-05-20,1391
2019-05-21,1391
2019-05-22,1378
2019-05-23,1355
