arm,year,trades,r_per_trade,wr,total_r,t_stat
A  paper fill + paper commission,2019,4063,-0.4385262978111329,11.592419394536059,-1781.732348006633,-8.047908242690035
A  paper fill + paper commission,2020,4144,-0.33183290885516553,12.765444015444016,-1375.115574295806,-4.4934046763533635
A  paper fill + paper commission,2021,4211,-0.29214433396932,13.251009261458085,-1230.2197903448066,-5.028060970570366
A  paper fill + paper commission,2022,4141,-0.11713743724708642,14.730741366819608,-485.06612764018485,-2.1713985205091317
A  paper fill + paper commission,2023,4100,-0.24248824188289655,12.926829268292684,-994.2017917198759,-4.216102917072219
A  paper fill + paper commission,ALL,20659,-0.28396029004343415,13.059683430950193,-5866.335632007306,-10.566790139092406
"A0 paper fill, zero cost",2019,4063,-0.37528093631517784,11.61703174993847,-1524.7664442485675,-6.887018142239067
"A0 paper fill, zero cost",2020,4144,-0.2753361435075341,12.765444015444016,-1140.9929786952214,-3.7279473961312948
"A0 paper fill, zero cost",2021,4211,-0.23648444204031757,13.251009261458085,-995.8359854317773,-4.071654144795797
"A0 paper fill, zero cost",2022,4141,-0.06442937106556569,14.827336392175802,-266.80202558250755,-1.1943040318735676
"A0 paper fill, zero cost",2023,4100,-0.18391916431934852,12.951219512195122,-754.0685737093289,-3.197615149442831
"A0 paper fill, zero cost",ALL,20659,-0.22665501755493506,13.088726463042741,-4682.466007667404,-8.434684704175991
"B0 our fill (next-bar open), zero cost",2019,4060,0.17603011045209532,13.793103448275861,714.6822484355071,2.7923887300350314
"B0 our fill (next-bar open), zero cost",2020,4142,0.020521891290389564,14.051183003380011,85.00167372479358,0.39776617659998165
"B0 our fill (next-bar open), zero cost",2021,4211,0.2127663482520272,14.937069579672288,895.9590924892865,3.1841126840344436
"B0 our fill (next-bar open), zero cost",2022,4139,0.2400974681584408,16.815655955544816,993.7634207077865,4.0746687772381645
"B0 our fill (next-bar open), zero cost",2023,4099,0.21547476534594068,14.881678458160527,883.2310631530108,3.56829377770646
"B0 our fill (next-bar open), zero cost",ALL,20651,0.17300070207304172,14.900004842380515,3572.6374985103844,6.40461210714278
B1 our fill + 10 bps spread contract,2019,4060,-0.02005192940856411,13.694581280788176,-81.41083339877028,-0.31630746971516355
B1 our fill + 10 bps spread contract,2020,4142,-0.11162205225784783,14.027040077257363,-462.3385404520057,-2.1518632577338965
B1 our fill + 10 bps spread contract,2021,4211,0.07867660264726721,14.86582759439563,331.3071737476422,1.1733347099846623
B1 our fill + 10 bps spread contract,2022,4139,0.11093180432377892,16.76733510509785,459.14673809612094,1.8744076045885913
B1 our fill + 10 bps spread contract,2023,4099,0.04575953518685288,14.735301292998294,187.56833473090995,0.7534727535311186
B1 our fill + 10 bps spread contract,ALL,20651,0.02102914496750264,14.82252675415234,434.272872723897,0.7747732360771555
B2 our fill + 40 bps spread contract,2019,4060,-0.6082980489905425,13.32512315270936,-2469.6900789016026,-9.39219205844506
B2 our fill + 40 bps spread contract,2020,4142,-0.50805388290256,13.785610816030902,-2104.3591829824036,-9.592847303452
B2 our fill + 40 bps spread contract,2021,4211,-0.3235926341670127,14.652101638565663,-1362.6485824772906,-4.763278549168117
B2 our fill + 40 bps spread contract,2022,4139,-0.27656518718020673,16.429089151969077,-1144.7033097388758,-4.599649502914689
B2 our fill + 40 bps spread contract,2023,4099,-0.4633861552904105,14.46694315686753,-1899.4198505353927,-7.476496237266444
B2 our fill + 40 bps spread contract,ALL,20651,-0.4348855263491145,14.536826303810955,-8980.821004635563,-15.733524955330902
B3 our fill + OUR banded cost contract,2019,4060,-0.8549296506374862,13.226600985221676,-3471.014381588194,-13.007044645124271
B3 our fill + OUR banded cost contract,2020,4142,-0.6501896405530172,13.761467889908257,-2693.0854911705974,-12.08703958229618
B3 our fill + OUR banded cost contract,2021,4211,-0.48493854563708416,14.509617668012348,-2042.0762156777614,-7.071918862024524
B3 our fill + OUR banded cost contract,2022,4139,-0.4266122641752036,16.356607876298625,-1765.7481614211677,-7.029071863580425
B3 our fill + OUR banded cost contract,2023,4099,-0.6847369964823583,14.198585020736765,-2806.736948581187,-10.882431157507963
B3 our fill + OUR banded cost contract,ALL,20651,-0.6187913998566126,14.415766790954434,-12778.661198438906,-22.10213730231379
A3 paper fill + OUR banded cost contract,2019,4063,-2.1500641546199453,10.189515136598573,-8735.710660220837,-36.27424978766961
A3 paper fill + OUR banded cost contract,2020,4144,-1.4248262118186534,11.776061776061777,-5904.4798217765,-18.606093522100483
A3 paper fill + OUR banded cost contract,2021,4211,-1.4381798945318869,12.51484208026597,-6056.1755358737755,-23.494874347028805
A3 paper fill + OUR banded cost contract,2022,4141,-1.2175420223329148,13.813088625935766,-5041.8415144806,-21.496082862331132
A3 paper fill + OUR banded cost contract,2023,4100,-1.7342227219919475,11.609756097560977,-7110.313160166985,-28.179798377952096
A3 paper fill + OUR banded cost contract,ALL,20659,-1.5900344011093805,11.989931748874582,-32848.520692518694,-55.85221850475626
