symbol,tradable,shortable,easy_to_borrow,exchange
MCEM,False,False,False,AssetExchange.OTC
FABTQ,False,False,False,AssetExchange.OTC
AONCW,False,False,False,AssetExchange.OTC
SRAX,False,False,False,AssetExchange.OTC
TTSH,False,False,False,AssetExchange.OTC
MDNAF,False,False,False,AssetExchange.OTC
GOEVQ,False,False,False,AssetExchange.OTC
KSPN,False,False,False,AssetExchange.OTC
DNABW,False,False,False,AssetExchange.OTC
CREVF,False,False,False,AssetExchange.OTC
CRCUF,False,False,False,AssetExchange.OTC
ZEVY,False,False,False,AssetExchange.OTC
IMVIF,False,False,False,AssetExchange.OTC
EJH,False,False,False,AssetExchange.NASDAQ
ADTI,False,False,False,AssetExchange.OTC
THMO,False,False,False,AssetExchange.OTC
FEED,False,False,False,AssetExchange.OTC
WBXWF,False,False,False,AssetExchange.OTC
HPCO,False,False,False,AssetExchange.OTC
CNXXW,False,False,False,AssetExchange.OTC
VRPX,False,False,False,AssetExchange.OTC
GLSHQ,False,False,False,AssetExchange.OTC
MMVVF,False,False,False,AssetExchange.OTC
AILWQ,False,False,False,AssetExchange.OTC
LUXHQ,False,False,False,AssetExchange.OTC
PHCFF,False,False,False,AssetExchange.OTC
NBSTW,False,False,False,AssetExchange.OTC
SGLN,False,False,False,AssetExchange.OTC
FRBKQ,False,False,False,AssetExchange.OTC
HGAS,False,False,False,AssetExchange.OTC
IMPLQ,False,False,False,AssetExchange.OTC
GMBLZ,False,False,False,AssetExchange.OTC
VSEEW,False,False,False,AssetExchange.OTC
PNSWQ,False,False,False,AssetExchange.OTC
ZCARW,False,False,False,AssetExchange.OTC
HSPOF,False,False,False,AssetExchange.OTC
VSTWF,False,False,False,AssetExchange.OTC
TKAMY,False,False,False,AssetExchange.OTC
BKSYW,False,False,False,AssetExchange.OTC
CXDC,False,False,False,AssetExchange.OTC
CNXX,False,False,False,AssetExchange.OTC
ALCE,False,False,False,AssetExchange.OTC
ENZB,False,False,False,AssetExchange.OTC
SVIRF,False,False,False,AssetExchange.OTC
ETAOF,False,False,False,AssetExchange.OTC
ISRLF,False,False,False,AssetExchange.OTC
ELIQQ,False,False,False,AssetExchange.OTC
ATXG,False,False,False,AssetExchange.NASDAQ
MAPSW,False,False,False,AssetExchange.OTC
LSBWF,False,False,False,AssetExchange.OTC
ZYXIQ,False,False,False,AssetExchange.OTC
