side,rung,R,n_signals,fill_rate,filled_netR,print_all_netR,print_on_fills,MISSED_nonfills,n_nonfill
short,b0,2.0,1433,0.9421,-1.2214765637836922,-1.1918420524934388,-1.2210152293645253,-0.7345971578609011,49
short,b0,6.0,1433,0.9421,-0.22644603300027635,-0.21690997305294268,-0.23566215590937137,0.07700179090087785,49
long,d0,2.0,1282,0.9259,-0.8555234232452366,-1.1192110396343429,-0.857517506524641,-4.442225148744335,53
long,d0,6.0,1282,0.9259,-0.16313966994627568,-0.2564664398820833,-0.17465981395205216,-1.2952562370690819,53
long,d05,2.0,1282,0.8175,-1.3032499388508092,-1.1192110396343429,-1.3008684281213374,-0.3451926017332356,138
long,d05,6.0,1282,0.8175,-0.30825537559612964,-0.2564664398820833,-0.3670648800650706,0.21477908785412353,138
long,d10,2.0,1282,0.7746,-1.355407308325222,-1.1192110396343429,-1.486824546028863,0.06484641700847078,172
long,d10,6.0,1282,0.7746,-0.31174735964929035,-0.2564664398820833,-0.45683492692396915,0.388906477683061,172
long,d20,2.0,1282,0.6864,-1.4354773932179559,-1.1192110396343429,-2.0270985307167932,0.6306688826939283,248
long,d20,6.0,1282,0.6864,-0.4180358730298758,-0.2564664398820833,-0.7017097693525314,0.6017041709520868,248
