lever,n,trades_wk,mean,t,mean_w95,mean_med,gross,cost,sp_R,tgt,stop
BASE  short b0 · R2% · +5m · no gate,768,14.77,-1.2214765637836922,-9.780653380892769,-1.1596802608868215,-0.9391374731042105,-0.5184997025340145,0.7029768612496777,0.3337694492084855,0.39453125,0.5169270833333334
L1 spread gate <= 1.25%,245,5.0,-0.6011280778196908,-3.1777168816778705,-0.5839555796971927,-0.6656003102576779,-0.26456320348746076,0.3365648743322299,0.16730241584688094,0.4204081632653061,0.4857142857142857
L1 spread gate <= 0.75%,159,3.53,-0.4630037915118039,-2.1116599489004306,-0.4630037915118039,-0.5654745263293056,-0.17994131664080396,0.28306247487099984,0.16142050040355446,0.44025157232704404,0.4591194968553459
L1 spread gate <= 0.5%,104,2.54,-0.46079380511740997,-1.6534471763467884,-0.46079380511740997,-0.5556423025942109,-0.17592859921906095,0.28486520589834896,0.13183049829312393,0.4423076923076923,0.4326923076923077
L1 spread gate <= 0.25%,44,1.42,0.22046558707089928,0.6762458448779206,0.22046558707089928,0.09788022066229209,0.4256983525578512,0.20523276548695193,0.0,0.5227272727272727,0.38636363636363635
L2 NO-STOP (= the PASSIVE construction),768,14.77,-0.40952099697023087,-2.2807518632780504,-0.3748085254820168,-0.22412105436252897,0.31865763866327634,0.728178635633507,0.7688083470620471,0.0,0.0
L2 R = 2.0%,768,14.77,-1.2214765637836922,-9.780653380892769,-1.1596802608868215,-0.9391374731042105,-0.5184997025340145,0.7029768612496777,0.3337694492084855,0.39453125,0.5169270833333334
L2 R = 4.0%,768,14.77,-0.3704206974938,-4.893179089101773,-0.3427633805510622,-0.24515687119636795,-0.019070157165617527,0.35135054032818247,0.23516185526882577,0.3138020833333333,0.4479166666666667
L2 R = 6.0%,768,14.77,-0.22644603300027635,-4.0797698982041535,-0.21118937776856975,-0.14181776726163123,0.03607143719715056,0.2625174701974269,0.2562694490206824,0.13932291666666666,0.3736979166666667
L2 R = 8.0%,768,14.77,-0.15120048354398521,-3.4365519716076154,-0.13181429518587642,-0.08305354181940477,0.05921166488364179,0.21041214842762698,0.1922020867655118,0.041666666666666664,0.2747395833333333
L4 horizon h5,768,14.77,-1.2214765637836922,-9.780653380892769,-1.1596802608868215,-0.9391374731042105,-0.5184997025340145,0.7029768612496777,0.3337694492084855,0.39453125,0.5169270833333334
L4 horizon h30,768,14.77,-1.2808189890308561,-10.524677825064177,-1.2170972061895806,-0.9945735963430918,-0.5778624543423633,0.702956534688493,0.2678940714288546,0.4192708333333333,0.5703125
L4 horizon eod,768,14.77,-1.2779200245535807,-10.492598917396426,-1.214198241712305,-0.9914545114285186,-0.5759251119456372,0.7019949126079434,0.2652308851633218,0.421875,0.5716145833333334
L5 price>=$10,338,7.04,-1.127010183406,-6.230553772976914,-1.0527763088114044,-0.8609683292334048,-0.43906655213583856,0.6879436312701617,0.29838778773185304,0.3905325443786982,0.5118343195266272
L5 price>=$20,174,4.58,-1.3858394626934625,-5.286682009626063,-1.3247217113188847,-1.0617631443439652,-0.6358764583624128,0.7499630043310493,0.39214683770161035,0.3793103448275862,0.5
L5 ADV20>=500K,491,9.44,-0.8968429558256269,-6.306554758658751,-0.867370685490806,-0.7511099270797068,-0.33881961860570664,0.5580233372199204,0.22446689113355275,0.4093686354378819,0.515274949083503
L5 ADV20>=1M,354,7.08,-0.8216115886560065,-5.029266924740019,-0.8034174579661955,-0.7121577256643831,-0.2931115692407416,0.5285000194152646,0.21907105240438535,0.403954802259887,0.536723163841808
L6 LONG rung print,726,13.7,-1.1192110396343429,-6.522615547244088,-1.0799084878595586,-0.8739585247679406,-0.44558190247189705,0.673629137162446,0.4440952767942504,0.3787878787878788,0.512396694214876
L6 LONG rung d0,673,12.7,-0.8555234232452366,-6.051661308637066,-0.8130900205897191,-0.5912634044579993,-0.16429432243409994,0.6912291008111369,0.3644314868804665,0.3863298662704309,0.5274888558692422
L6 LONG rung d05,588,11.09,-1.3032499388508092,-8.789713266883926,-1.2522173131094614,-0.9915319235265223,-0.5255556153755888,0.7776943234752205,0.5163605999563828,0.3333333333333333,0.5850340136054422
L6 LONG rung d10,554,10.65,-1.355407308325222,-9.008820597164542,-1.3023310762385956,-1.0474465008878608,-0.5662036997927394,0.7892036085324827,0.5934115855239408,0.3104693140794224,0.6010830324909747
L6 LONG rung d20,478,9.19,-1.4354773932179559,-9.407008316953583,-1.38151535220463,-1.1272806196730933,-0.6494943787231391,0.7859830144948169,0.5761548802505695,0.3179916317991632,0.604602510460251
L3 exit ALL-marketable (target charged too),768,,-1.3731360228721037,-11.455210162798613,,,-0.5184997025340145,,,0.39453125,
