pb,hb_exit,n,band_bps,minmed_bps,med_bps,mean_bps,p75,p90,ratio_band_over_med
$10-20,09:30-09:35,235,43.8,27.9,29.6,54.5,65.0,138.5,1.48
$10-20,09:35-10:00,1008,42.2,27.6,31.7,62.9,67.2,126.6,1.33
$10-20,10:00-11:00,511,28.8,15.9,19.1,42.0,39.1,69.1,1.51
$10-20,11:00-13:00,148,21.7,10.6,14.5,27.0,28.6,52.2,1.5
$10-20,13:00+,554,28.6,11.1,12.7,25.3,28.9,44.6,2.24
$20-50,09:30-09:35,166,51.6,23.9,28.0,46.1,56.1,107.3,1.84
$20-50,09:35-10:00,645,46.0,25.4,28.2,45.3,60.2,104.5,1.63
$20-50,10:00-11:00,330,45.3,17.7,18.7,33.9,41.3,81.7,2.42
$20-50,11:00-13:00,108,32.2,13.1,14.3,29.4,43.0,72.5,2.25
$20-50,13:00+,307,34.9,15.5,15.3,22.5,31.0,47.6,2.28
$5-10,09:30-09:35,198,35.8,27.7,33.8,57.8,70.3,130.9,1.06
$5-10,09:35-10:00,906,34.9,32.0,38.6,78.3,76.5,164.6,0.91
$5-10,10:00-11:00,412,29.8,18.8,27.7,55.4,57.4,128.5,1.07
$5-10,11:00-13:00,136,26.6,16.8,20.2,34.8,38.5,73.9,1.31
$5-10,13:00+,402,22.5,16.6,17.1,31.8,28.4,60.4,1.31
<$5,09:30-09:35,104,,43.0,53.5,95.0,101.0,223.5,
<$5,09:35-10:00,607,,32.3,53.9,93.5,93.3,189.0,
<$5,10:00-11:00,301,,29.2,42.1,73.6,63.7,151.5,
<$5,11:00-13:00,90,,28.9,31.4,62.1,65.7,147.0,
<$5,13:00+,209,,27.5,27.9,47.8,32.9,82.1,
