month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,594.4507287582668,-237.88852049681964,546.7254025014472,546.7254025014472,-237.88852049681964
2025-02,8,2,3,25.0,9,567.7224844957701,-166.9641568132488,464.23984779030275,1010.96525029175,-166.9641568132488
2025-03,4,3,0,75.0,5,313.9278917600003,0.0,561.6322964691955,1572.5975467609455,0.0
2025-04,3,2,0,66.66666666666666,3,375.52802851400077,0.0,549.0111510791128,2121.608697840058,0.0
2025-05,4,2,2,50.0,6,1221.8519022362138,-134.83135922184638,1329.516211721041,3451.1249095610992,-85.8008332869257
2025-06,6,2,3,33.33333333333333,11,232.44393307565966,-182.3081271700492,170.39796673577771,3621.522876296877,-222.04431107650103
2025-07,6,2,2,33.33333333333333,6,94.27044295661335,-100.673219264252,42.409843226897834,3663.9327195237747,-119.55401686807666
2025-08,3,1,1,33.33333333333333,3,157.91378444799992,-101.70059537637123,56.21318907162869,3720.1459085954034,-101.70059537637123
2025-09,9,2,6,22.22222222222222,16,868.0533074173463,-187.9643841118295,344.62581794686525,4064.771726542269,-516.1881934502574
2025-10,6,3,1,50.0,10,1650.0053566558581,-21.253759675914235,2302.1427674061506,6366.9144939484195,-21.253759675914125
2025-11,7,2,4,28.57142857142857,14,489.06703654742904,-435.8715730892792,-25.374014194989456,6341.54047975343,-520.1126332636692
2025-12,9,3,4,33.33333333333333,15,550.5376784000009,-302.2346419109675,-65.16676364154029,6276.37371611189,-338.0984630908898
2026-01,8,2,5,25.0,12,1249.8551574159633,-277.41177108172997,681.9181131817483,6958.291829293638,-325.88644530905304
2026-02,9,3,3,33.33333333333333,13,737.6444697187405,-352.81344770635894,1194.9732369957205,8153.265066289359,-364.8046689063589
2026-03,8,5,2,62.5,9,1883.048340673333,-131.4386700990102,4015.095175783046,12168.360242072406,-173.11268870788126
2026-04,12,2,6,16.666666666666664,13,494.6270448145061,-124.43208967129094,149.5448266463235,12317.905068718728,-384.33686395648203
2026-05,5,1,3,20.0,6,343.1101218982241,-142.57839831181414,138.05416017708623,12455.959228895814,-154.29443905447147
2026-06,11,4,3,36.36363636363637,16,217.7006121766667,-239.36570079999998,262.8417778809644,12718.80100677678,-239.36570079999998
2026-07,12,5,6,41.66666666666667,20,891.7687187104774,-290.2504134131916,477.16376418195796,13195.964770958737,-567.3502301227925
2026-08,12,3,4,25.0,17,697.2252584596731,-127.70584259665074,613.7168119768465,13809.681582935584,-184.66763163729775
2026-09,4,0,3,0.0,4,0.0,-116.92892596686654,-174.221043920955,13635.460539014628,-57.292117954088454
