month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,3,1,2,33.33333333333333,4,604.0831939999997,-231.67385666666644,232.48933733333308,232.48933733333308,-231.67385666666644
2025-02,4,2,1,50.0,4,445.056,-72.95600000000013,747.6387733333331,980.1281106666662,-72.95600000000013
2025-03,2,1,0,50.0,2,81.34054925333362,0.0,81.34054925333362,1061.46865992,0.0
2025-04,1,1,0,100.0,1,189.77599999999984,189.77599999999984,189.77599999999984,1251.2446599199998,0.0
2025-05,2,2,0,100.0,2,573.8077800000004,328.2965019935993,902.1042819935997,2153.3489419135994,0.0
2025-06,3,0,2,0.0,4,0.0,-166.60295999999997,-199.5069599999999,1953.8419819135995,-32.90399999999994
2025-07,2,0,1,0.0,2,0.0,-11.058666666666433,-11.058666666666433,1942.7833152469332,-11.058666666666433
2025-08,2,1,0,50.0,2,176.6011733333332,0.0,176.6011733333332,2119.3844885802664,0.0
2025-09,8,2,5,25.0,9,872.246653333334,-198.56533333333323,534.7375622000008,2654.1220507802673,-382.53333333333296
2025-10,6,2,2,33.33333333333333,7,566.6636799999995,-33.87574666666671,1072.2704693333328,3726.3925201136,-33.875746666666714
2025-11,2,1,1,50.0,3,316.3728000000002,-256.3079599999998,60.0648400000004,3786.4573601136003,-256.3079599999998
2025-12,5,1,3,20.0,7,575.5900000000001,-197.05466666666652,47.70046000000062,3834.157820113601,-197.05466666666652
2026-01,3,0,3,0.0,3,-38.50000000000016,-130.25093165999894,-227.97093165999902,3606.1868884536016,-189.47093165999885
2026-02,4,2,1,50.0,6,735.3133793333334,-210.50666666666672,707.1000460000004,4313.286934453602,0.0
2026-03,3,2,1,66.66666666666666,3,1871.2481,-116.4699999999997,2039.290766666667,6352.577701120269,-116.4699999999998
2026-04,6,1,3,16.666666666666664,6,495.6432799999997,-102.95999999999985,298.52932000000004,6651.107021120269,-174.7059599999995
2026-05,1,0,1,0.0,1,-128.17999999999995,-128.17999999999995,-128.17999999999995,6522.927021120268,0.0
2026-06,7,2,2,28.57142857142857,7,285.554306,-50.25262666666628,412.99993266666723,6935.926953786936,-21.34066666666675
2026-07,7,3,4,42.857142857142854,7,447.8166399999996,-144.9500000000001,484.65515999999957,7420.582113786935,-155.98200000000014
2026-08,6,2,2,33.33333333333333,6,196.57815,-69.48466666666701,241.4734833333336,7662.055597120268,-69.48466666666701
2026-09,2,0,2,0.0,2,-14.02799999999998,-104.01929999999994,-118.04729999999992,7544.008297120268,-14.027999999999977
