month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,3,1,2,33.33333333333333,4,610.0639999999997,-199.38554038095327,277.75445961904614,277.75445961904614,-199.38554038095327
2025-02,4,2,1,50.0,4,447.9839999999997,-56.75557642857132,666.1109835714282,943.8654431904743,-56.75557642857132
2025-03,2,1,0,50.0,2,94.89543741333297,0.0,94.89543741333297,1038.7608806038072,0.0
2025-04,1,1,0,100.0,1,192.65535999999975,192.65535999999975,192.65535999999975,1231.416240603807,0.0
2025-05,2,2,0,100.0,2,576.7210999999999,337.9438799999992,914.6649799999991,2146.0812206038063,0.0
2025-06,3,0,2,0.0,4,0.0,-143.73412714285695,-163.47652714285704,1982.6046934609492,-19.74240000000009
2025-07,2,0,0,0.0,2,0.0,0.0,0.0,1982.6046934609492,0.0
2025-08,2,1,0,50.0,2,167.39057066666723,0.0,167.39057066666723,2149.9952641276163,0.0
2025-09,8,3,4,37.5,9,878.2406666666668,-190.71807999999982,627.2866193333333,2777.2818834609498,-330.1008000000003
2025-10,6,3,1,50.0,7,573.00984,-1.2431466666667421,1174.9520373333335,3952.233920794283,-1.2431466666666893
2025-11,2,1,1,50.0,3,333.9900000000001,-234.31170666666665,99.67829333333347,4051.9122141276166,-234.31170666666665
2025-12,5,1,3,20.0,7,577.7008000000003,-192.47199999999995,67.98055999999971,4119.892774127617,-192.47199999999995
2026-01,3,0,3,0.0,3,-19.63499999999983,-118.05320226857215,-183.7482022685716,3936.144571859045,-164.11320226857177
2026-02,4,2,1,50.0,6,753.4026666666673,-191.6669999999998,752.5750000000011,4688.719571859046,0.0
2026-03,3,2,1,66.66666666666666,3,1894.2516666666668,-110.3400000000002,2076.1963866666665,6764.915958525712,-110.34000000000015
2026-04,6,1,3,16.666666666666664,6,507.73335999999983,-104.52299000000062,342.4287780952375,7107.344736620949,-162.31684857142938
2026-05,1,0,1,0.0,1,-119.72842297619043,-119.72842297619043,-119.72842297619043,6987.6163136447585,0.0
2026-06,7,3,1,42.857142857142854,7,227.23669399999955,-17.865186666666734,436.0673473333313,7423.683660978089,-17.865186666666716
2026-07,7,4,3,57.14285714285714,7,456.9808000000001,-135.60630000000006,504.0922516904761,7927.775912668565,-145.8502999999997
2026-08,6,2,2,33.33333333333333,6,164.23185000000115,-65.31558666666656,217.29559666666825,8145.071509335234,-65.31558666666656
2026-09,2,0,2,0.0,2,-1.5586666666669102,-94.05,-95.6086666666669,8049.462842668567,-1.558666666666909
