trade_date,symbol,order_status,entry_price,fill_price,shares,pnl,exit_reason,entry_quote_bid,entry_quote_ask,entry_fill_quote_bid,entry_fill_quote_ask,reject_reason,range_high,range_low,elected,window_high,window_low,cap,overshoot_bps
2026-05-18,BMNZ,rejected,18.54,,50,,,,,,,,18.48,17.8,1.0,18.83,17.9716,18.54,156.4185544768071
2026-05-18,BTCZ,rejected,4.1,,1371,,,,,,,,4.09,4.07,1.0,4.17,4.0899,4.1,170.73170731707333
2026-05-18,FRMM,time_stop_canceled,4.08,,1694,,,,,,,,4.0654,4.0,0.0,4.005,3.71,4.08,-183.82352941176515
2026-05-18,YSS,rejected,26.52,,212,,,,,,,,26.44,25.0,1.0,26.99,24.72,26.52,177.22473604826484
2026-05-19,CORD,closed,7.02,6.996241,133,-3.130953000000093,tag_bb,6.85,6.87,7.01,7.02,,7.0,6.67,1.0,7.38,6.61,7.02,512.8205128205133
2026-05-19,LMRI,closed,7.29,7.29,947,-265.06529999999964,force_close,7.11,7.17,7.28,7.43,,7.27,6.86,1.0,7.366,7.0675,7.29,104.25240054869667
2026-05-19,PURR,closed,7.6,7.58,123,-0.6149999999999869,tag_bb,7.5,7.52,7.58,7.59,,7.58,7.2,1.0,7.8,7.4,7.6,263.15789473684293
2026-05-19,WAY,closed,19.9,19.88,47,5.499000000000041,tag_bb,19.57,19.83,19.8,19.98,,19.84,19.235,1.0,20.39,19.51,19.9,246.2311557788954
2026-05-20,ARCO,time_stop_canceled,8.87,,779,,,,,,,,8.84,8.32,0.0,8.79,8.42,8.87,-90.19165727170208
2026-05-20,GLWG,closed,26.29,26.23,35,-3.2270000000000643,tag_bb,25.75,25.93,26.2,26.3,,26.215,25.5,1.0,26.26,25.1,26.29,-11.411182959298882
2026-05-20,QUIK,closed,20.05,20.0417,46,20.493000000000123,force_close,19.8,19.98,19.94,20.17,,19.99,19.125,1.0,20.36,18.975,20.05,154.6134663341636
2026-05-21,GRRR,closed,14.28,14.24,65,-7.611500000000042,tag_bb,14.14,14.23,14.14,14.23,,14.24,13.93,1.0,14.805,14.1064,14.28,367.6470588235303
2026-05-21,IREG,closed,21.18,21.18,326,681.3399999999999,force_close,21.01,21.15,21.0,21.1,,21.12,20.0,1.0,22.505,20.83,21.18,625.5901794145414
2026-05-21,QUBX,time_stop_canceled,15.15,,371,,,,,,,,15.1,14.45,1.0,16.92,15.1419,15.15,1168.3168316831693
2026-05-21,YANG,closed,29.86,29.7797,188,-53.954871999999995,stop_loss,29.7,29.71,29.75,29.76,,29.77,29.5,1.0,29.9,29.39,29.86,13.395847287340779
2026-05-22,FLO,closed,7.69,7.6695,897,-50.05260000000046,tag_bb,7.6,7.65,7.65,7.67,,7.67,7.4,1.0,7.74,7.5,7.69,65.01950585175553
2026-05-22,MGNX,time_stop_canceled,4.61,,1220,,,,,,,,4.595,4.45,0.0,4.56,4.36,4.61,-108.45986984815758
2026-05-22,SMWB,closed,4.11,4.11,1679,67.16000000000005,tag_bb,4.15,4.2,4.14,4.18,,4.1,3.81,1.0,4.2,4.01,4.11,218.97810218977963
2026-05-22,YANG,time_stop_canceled,30.71,,224,,,,,,,,30.62,30.01,0.0,30.29,29.824,30.71,-136.76326929339066
2026-05-26,BRCB,closed,7.36,7.35,938,-215.6461999999998,stop_loss,7.22,7.28,7.28,7.35,,7.3396,7.15,1.0,7.4878,7.04,7.36,173.64130434782464
2026-05-26,IHRT,closed,4.84,4.84,1425,-28.499999999999392,tag_bb,4.84,4.87,4.84,4.88,,4.83,4.51,1.0,4.92,4.715,4.84,165.28925619834655
2026-05-26,IPWR,closed,7.07,7.07,976,37.546719999999354,force_close,6.52,6.58,7.02,7.14,,7.053,6.4001,1.0,7.148,6.43,7.07,110.32531824610948
2026-05-26,TRT,closed,15.53,15.53,444,336.6408000000002,lock_stop,15.3,15.47,15.55,15.73,,15.48,14.53,1.0,16.98,14.5401,15.53,933.6767546683844
2026-05-27,HIMZ,closed,28.49,28.439777,242,-67.70603399999982,tag_bb,27.79,27.96,28.53,28.67,,28.3999,26.21,1.0,29.07,27.305,28.49,203.5802035802048
2026-05-27,SOFX,closed,8.91,8.8897,775,77.81000000000037,lock_stop,8.79,8.8,8.92,8.95,,8.88,8.655,,,,8.91,
2026-05-27,ZSL,time_stop_canceled,21.12,,327,,,,,,,,21.06,20.6901,0.0,20.94,20.49,21.12,-85.22727272727293
2026-05-28,AMPX,closed,19.15,19.1,360,-93.60000000000056,tag_bb,18.98,19.04,18.91,18.96,,19.09,18.305,1.0,20.19,18.8,19.15,543.0809399477821
2026-05-28,BOIL,closed,27.41,27.34,205,533.0205000000002,force_close,27.3,27.31,27.33,27.34,,27.33,26.99,1.0,28.8,27.23,27.41,507.114191900766
2026-05-28,KSS,time_stop_canceled,16.27,,424,,,,,,,,16.22,15.47,0.0,16.12,14.78,16.27,-92.19422249538978
2026-05-28,TDOC,closed,7.03,7.01,982,661.8680000000004,force_close,6.82,6.86,7.01,7.02,,7.01,6.6635,1.0,7.065,6.72,7.03,49.78662873399653
2026-05-29,HPQ,closed,27.55,27.4721,34,-6.8374000000000095,stop_loss,27.24,27.28,27.47,27.49,,27.47,26.5,1.0,28.15,26.53,27.55,217.78584392014412
2026-05-29,PLTG,closed,15.55,15.53,444,-51.060000000000095,tag_bb,15.33,15.39,15.46,15.53,,15.5,14.78,1.0,17.05,15.38,15.55,964.6302250803851
2026-05-29,QURE,closed,29.08,29.0,32,-13.759999999999991,tag_bb,28.48,28.6,28.71,28.77,,28.9899,28.0301,1.0,29.48,27.74,29.08,137.5515818431916
2026-05-29,SMCY,closed,8.0,7.99,863,-21.488700000000506,force_close,7.89,7.9,7.99,8.0,,7.9799,7.72,1.0,8.33,7.9,8.0,412.5000000000001
2026-06-01,ATPC,closed,5.31,5.31,6,0.6600000000000019,lock_stop,5.13,5.19,5.69,5.74,,5.29,5.13,1.0,6.0,5.0401,5.31,1299.4350282485877
2026-06-01,CRCD,time_stop_canceled,3.22,,1747,,,,,,,,3.2098,2.995,0.0,3.2,3.04,3.22,-62.11180124223614
2026-06-01,CURI,closed,3.16,3.16,2186,2.8418000000001724,tag_bb,3.12,3.14,3.15,3.16,,3.15,3.0201,1.0,3.24,3.06,3.16,253.16455696202445
2026-06-01,QBTZ,closed,3.76,3.76,1497,-70.05959999999959,tag_bb,3.75,3.77,3.7,3.71,,3.745,3.53,1.0,3.7697,3.46,3.76,25.797872340425076
2026-06-02,HIMX,closed,23.86,23.811315,289,17.162264999999685,tag_bb,23.61,23.69,23.66,23.7,,23.79,22.6,1.0,25.09,23.5693,23.86,515.5071248952225
2026-06-02,MSTZ,closed,7.68,7.6599,899,117.13969999999928,lock_stop,7.63,7.64,7.67,7.68,,7.655,7.38,1.0,8.175,7.53,7.68,644.5312500000023
2026-06-02,NXTC,time_stop_canceled,3.67,,1881,,,,,,,,3.66,3.5,0.0,3.61,3.3699,3.67,-163.48773841961872
2026-06-02,PLTZ,closed,22.17,22.16,311,205.26000000000005,force_close,21.98,22.04,22.18,22.21,,22.105,21.0,1.0,23.03,21.9893,22.17,387.9115922417675
2026-06-03,ASTN,closed,3.95,3.95,237,5.924999999999979,tag_bb,3.99,4.0,3.95,3.97,,3.935,3.8159,1.0,4.1706,3.81,3.95,558.4810126582273
2026-06-03,AVAH,time_stop_canceled,6.99,,804,,,,,,,,6.97,6.73,0.0,6.96,6.785,6.99,-42.91845493562319
2026-06-03,FABC,closed,5.52,5.5196,1252,-36.4331999999996,tag_bb,5.47,5.5,5.4,5.52,,5.5,5.22,1.0,6.025,5.28,5.52,914.8550724637694
2026-06-03,OKLS,closed,16.98,16.98,331,274.92860000000013,force_close,16.93,17.0,16.68,16.81,,16.9272,15.84,1.0,17.829,16.66,16.98,500.00000000000045
2026-06-04,AMDD,closed,3.19,3.1799,3527,-172.47030000000058,stop_loss,3.15,3.16,3.17,3.18,,3.1799,3.1312,1.0,3.2368,3.135,3.19,146.70846394984284
2026-06-04,OSCR,closed,22.89,22.87,491,245.5,force_close,22.72,22.85,22.89,22.95,,22.825,21.88,1.0,23.43,22.5,22.89,235.91087811271282
2026-06-04,RPGL,closed,3.84,3.84,1,0.06000000000000005,lock_stop,3.62,3.65,3.93,3.95,,3.83,3.66,1.0,5.56,3.1,3.84,4479.166666666665
2026-06-04,UNHG,closed,21.0,20.99,535,120.37500000000077,tag_bb,20.92,20.95,21.03,21.06,,20.94,20.25,1.0,21.42,20.7,21.0,200.00000000000017
2026-06-05,DNUT,time_stop_canceled,3.62,,3815,,,,,,,,3.61,3.45,0.0,3.58,3.485,3.62,-110.49723756906049
2026-06-05,IREZ,closed,6.04,6.04,2287,-65.40819999999991,tag_bb,6.02,6.03,6.03,6.04,,6.02,5.75,1.0,6.4651,5.98,6.04,703.8079470198677
2026-06-05,RGTZ,closed,3.39,3.389878,4075,2201.40465,force_close,3.34,3.35,3.38,3.39,,3.38,3.27,1.0,3.69,3.31,3.39,884.9557522123886
2026-06-05,SMCZ,closed,6.49,6.49,1733,60.65500000000024,tag_bb,6.48,6.5,6.43,6.45,,6.47,6.28,1.0,6.85,6.43,6.49,554.6995377503849
2026-06-08,BITU,closed,9.73,9.71,1419,49.66499999999768,tag_bb,9.63,9.64,9.69,9.7,,9.6999,9.6,1.0,9.78,9.625,9.73,51.38746145940232
2026-06-08,BTC,closed,28.23,28.16,489,-75.79500000000056,stop_loss,28.05,28.06,28.14,28.15,,28.145,28.0,1.0,28.265,28.025,28.23,12.398157987956182
2026-06-08,GLXU,time_stop_canceled,9.5,,1454,,,,,,,,9.47,9.035,1.0,10.953,9.33,9.5,1529.4736842105249
2026-06-08,GSOL,closed,5.03,5.01,2749,-78.89629999999924,stop_loss,4.99,5.0,5.01,5.02,,5.01,4.9837,1.0,5.02,4.97,5.03,-19.88071570576677
2026-06-09,EIDO,closed,11.68,11.645,1182,-41.25180000000044,stop_loss,11.63,11.64,11.64,11.65,,11.65,11.61,1.0,11.675,11.585,11.68,-4.280821917806987
2026-06-09,FABC,closed,4.33,4.33,3188,-1243.32,stop_loss,4.24,4.3,4.33,4.4,,4.32,3.99,1.0,4.44,3.81,4.33,254.04157043879883
2026-06-09,KC,time_stop_canceled,12.2,,1132,,,,,,,,12.16,11.925,0.0,12.055,11.7,12.2,-118.85245901639307
2026-06-09,MSTZ,closed,9.43,9.4097,1465,1187.382499999999,force_close,9.25,9.26,9.4,9.41,,9.4,9.1,1.0,9.58,9.025,9.43,159.0668080593849
2026-06-10,CORD,time_stop_canceled,6.55,,286,,,,,,,,6.53,6.29,0.0,6.46,5.88,6.55,-137.40458015267131
2026-06-10,GLL,time_stop_canceled,25.69,,437,,,,,,,,25.61,25.5,1.0,25.62,25.12,25.69,-27.24795640327016
2026-06-10,OSCR,closed,28.95,28.9,477,-419.71229999999963,stop_loss,28.67,28.75,28.85,28.95,,28.86,28.03,1.0,29.3,28.1,28.95,120.89810017271274
2026-06-10,SSG,time_stop_canceled,14.38,,782,,,,,,,,14.34,13.98,0.0,14.23,13.68,14.38,-104.31154381084883
2026-06-11,BAK,closed,4.04,4.04,2783,-523.9192310000003,stop_loss,4.04,4.06,4.0,4.02,,4.03,3.85,1.0,4.06,3.81,4.04,49.50495049504955
2026-06-11,ORCS,time_stop_canceled,26.02,,530,,,,,,,,25.94,25.32,0.0,25.9,25.2,26.02,-46.11837048424272
2026-06-11,TROX,closed,7.67,7.67,1466,61.278800000000416,force_close,7.59,7.65,7.66,7.69,,7.65,7.48,1.0,7.722,7.56,7.67,67.79661016949268
