key,entered,pnl_asis,pnl_strict,pnl_measured_live,pnl_measured,pnl_measured_tg,pnl_meas_cost
APM|2025-01-02,1,3869.988355430002,0.0,3869.988355430002,3869.988355430002,3869.988355430002,3869.988355430002
ATCH|2025-01-02,1,-5077.140747807202,0.0,-5401.164207200002,-5401.164207200002,-5401.164207200002,-5401.164207200002
CALY|2025-01-02,1,-542.2046774785687,-542.2046774785687,-542.2046774785687,-542.2046774785687,-542.2046774785687,-440.6400000000004
ETHT|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
ETHU|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
GRRR|2025-01-02,1,8634.43712984999,8634.43712984999,8634.43712984999,8634.43712984999,8634.43712984999,8707.879999999997
HOLO|2025-01-02,1,-1905.9233259375037,-1905.9233259375037,-1905.9233259375037,-1905.9233259375037,-1905.9233259375037,-1890.0000000000016
ICG|2025-01-02,1,4868.944591030007,4868.944591030007,4868.944591030007,4868.944591030007,4868.944591030007,5712.1134999999995
INTZ|2025-01-02,1,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2228.5099999999943
IVDA|2025-01-02,1,-962.3525324999986,-962.3525324999986,-962.3525324999986,-962.3525324999986,-962.3525324999986,-1415.690000000003
KULR|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
LAES|2025-01-02,1,8420.370852119997,8420.370852119997,8420.370852119997,8420.370852119997,8420.370852119997,8527.380000000003
MLGO|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
MSTU|2025-01-02,1,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1578.4600000000041
NUAI|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
OST|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
PONY|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
RGTI|2025-01-02,1,2319.097024030019,2319.097024030019,2319.097024030019,2319.097024030019,2319.097024030019,2590.4600000000087
RGTIW|2025-01-02,1,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2492.3499999999976
SATL|2025-01-02,0,0.0,0.0,0.0,0.0,0.0,0.0
SPCB|2025-01-02,1,-1439.3488049444595,0.0,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595
TSLQ|2025-01-02,1,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1106.8200000000002
U|2025-01-02,1,-747.9932667082124,-747.9932667082124,-747.9932667082124,-747.9932667082124,-747.9932667082124,-588.3000000000014
XPON|2025-01-02,1,-832.1118312228559,-832.1118312228559,-832.1118312228559,-832.1118312228559,-832.1118312228559,-1381.4400000000012
ZVIA|2025-01-02,1,-971.6264379662332,0.0,-971.6264379662332,-971.6264379662332,-971.6264379662332,-971.6264379662332
CRNC|2025-01-03,1,25108.61787329999,25108.61787329999,25108.61787329999,25108.61787329999,25108.61787329999,25173.821499999995
KC|2025-01-03,1,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-908.4599999999961
KORU|2025-01-03,1,261.69601500000147,261.69601500000147,261.69601500000147,261.69601500000147,261.69601500000147,263.74000000000024
MNSO|2025-01-03,1,385.1601483999985,385.1601483999985,385.1601483999985,385.1601483999985,385.1601483999985,566.6799999999977
