key,symbol,date,entry_price,range_high,range_low,entry_ts,entry_ask,entry_bid,exit_reason,entry_m,filled_later,fill_ts,secs_to_fill,min_ask,life_s,lag_min,new_exit_reason,new_pnl,tg_pnl,asis_pnl,pnl_asis,pnl_strict,pnl_measured_live,pnl_measured,pnl_measured_tg,pnl_meas_cost,cap_raw,cap_live,flag_raw,flag_live,fill_model
APM|2025-01-02,APM,2025-01-02,3.44029,3.43,2.89,2025-01-02 14:55:00+00:00,3.45,3.39,lock,595,1.0,2025-01-02T14:55:16.705702+00:00,2.889,3.44,2386.2,0.0,lock,3869.988355430002,3869.988355430002,3869.988355430002,3869.988355430002,0.0,3869.988355430002,3869.988355430002,3869.988355430002,3869.988355430002,3.44029,3.44,1,1,rested_same_bar
ATCH|2025-01-02,ATCH,2025-01-02,11.4240697,11.3899,9.09,2025-01-02 14:44:00+00:00,11.82,10.47,tag_b1,584,1.0,2025-01-02T14:54:49.754987+00:00,639.392,10.5,3049.6,10.0,eod,-5401.164207200002,-5401.164207200002,-5077.140747807202,-5077.140747807202,0.0,-5401.164207200002,-5401.164207200002,-5401.164207200002,-5401.164207200002,11.4240697,11.42,1,1,rested_later_bar
CALY|2025-01-02,CALY,2025-01-02,9.07715,9.05,8.64,2025-01-02 14:35:00+00:00,9.06,9.04,stop,575,,,,,,,,,,,-542.2046774785687,-542.2046774785687,-542.2046774785687,-542.2046774785687,-542.2046774785687,-440.6400000000004,9.07715,9.08,0,0,marketable_at_trigger
GRRR|2025-01-02,GRRR,2025-01-02,20.00985,19.95,18.64,2025-01-02 14:41:00+00:00,19.97,19.78,scale_eod,581,,,,,,,,,,,8634.43712984999,8634.43712984999,8634.43712984999,8634.43712984999,8634.43712984999,8707.879999999997,20.00985,20.01,0,0,marketable_at_trigger
HOLO|2025-01-02,HOLO,2025-01-02,6.34899,6.33,5.72,2025-01-02 14:56:00+00:00,6.34,6.32,stop,596,,,,,,,,,,,-1905.923325937504,-1905.923325937504,-1905.923325937504,-1905.923325937504,-1905.923325937504,-1890.0000000000016,6.34899,6.35,0,0,marketable_at_trigger
ICG|2025-01-02,ICG,2025-01-02,3.8916399999999993,3.88,3.6245,2025-01-02 14:42:00+00:00,3.88,3.85,scale_lock,582,,,,,,,,,,,4868.944591030007,4868.944591030007,4868.944591030007,4868.944591030007,4868.944591030007,5712.1135,3.8916399999999993,3.89,0,0,marketable_at_trigger
INTZ|2025-01-02,INTZ,2025-01-02,4.26275,4.25,3.83,2025-01-02 14:46:00+00:00,4.26,4.25,stop,586,,,,,,,,,,,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2268.6002875053528,-2228.5099999999943,4.26275,4.26,0,0,marketable_at_trigger
IVDA|2025-01-02,IVDA,2025-01-02,6.71007,6.69,5.85,2025-01-02 14:36:00+00:00,6.69,6.5,tag_bb,576,,,,,,,,,,,-962.3525324999986,-962.3525324999986,-962.3525324999986,-962.3525324999986,-962.3525324999986,-1415.690000000003,6.71007,6.71,0,0,marketable_at_trigger
LAES|2025-01-02,LAES,2025-01-02,7.281779999999999,7.26,6.75,2025-01-02 14:51:00+00:00,7.27,7.25,scale_eod,591,,,,,,,,,,,8420.370852119997,8420.370852119997,8420.370852119997,8420.370852119997,8420.370852119997,8527.380000000003,7.281779999999999,7.28,0,0,marketable_at_trigger
MSTU|2025-01-02,MSTU,2025-01-02,8.23463,8.21,7.96,2025-01-02 14:41:00+00:00,8.22,8.21,stop,581,,,,,,,,,,,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1715.603889999994,-1578.460000000004,8.23463,8.23,0,0,marketable_at_trigger
RGTI|2025-01-02,RGTI,2025-01-02,16.439169999999997,16.39,15.87,2025-01-02 15:04:00+00:00,16.4,16.39,scale_lock,604,,,,,,,,,,,2319.097024030019,2319.097024030019,2319.097024030019,2319.097024030019,2319.097024030019,2590.4600000000087,16.439169999999997,16.44,0,0,marketable_at_trigger
RGTIW|2025-01-02,RGTIW,2025-01-02,7.020999999999999,7.0,6.65,2025-01-02 15:31:00+00:00,7.02,6.95,stop,631,,,,,,,,,,,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2443.308690285714,-2492.3499999999976,7.020999999999999,7.02,0,0,marketable_at_trigger
SPCB|2025-01-02,SPCB,2025-01-02,5.897539699999999,5.8799,5.11,2025-01-02 14:43:00+00:00,5.93,5.68,stop,583,1.0,2025-01-02T14:43:49.072838+00:00,22.299,5.89,3093.2,0.0,stop,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595,0.0,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595,-1439.3488049444595,5.897539699999999,5.9,1,1,rested_same_bar
TSLQ|2025-01-02,TSLQ,2025-01-02,29.8088591,29.7197,28.273,2025-01-02 14:35:00+00:00,29.72,29.7,stop,575,,,,,,,,,,,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1300.9591241071291,-1106.8200000000002,29.8088591,29.81,0,0,marketable_at_trigger
U|2025-01-02,U,2025-01-02,25.49626,25.42,24.41,2025-01-02 14:43:00+00:00,25.43,25.39,stop,583,,,,,,,,,,,-747.9932667082124,-747.9932667082124,-747.9932667082124,-747.9932667082124,-747.9932667082124,-588.3000000000014,25.49626,25.5,0,0,marketable_at_trigger
XPON|2025-01-02,XPON,2025-01-02,4.34299,4.33,3.41,2025-01-02 14:36:00+00:00,4.34,4.31,stop,576,,,,,,,,,,,-832.1118312228559,-832.1118312228559,-832.1118312228559,-832.1118312228559,-832.1118312228559,-1381.4400000000012,4.34299,4.34,0,0,marketable_at_trigger
ZVIA|2025-01-02,ZVIA,2025-01-02,4.6691656,4.6552,4.38,2025-01-02 14:54:00+00:00,4.67,4.63,stop,594,1.0,2025-01-02T14:55:35.863368+00:00,67.935,4.65,2432.1,1.0,stop,-971.6264379662332,-971.6264379662332,-971.6264379662332,-971.6264379662332,0.0,-971.6264379662332,-971.6264379662332,-971.6264379662332,-971.6264379662332,4.6691656,4.67,1,0,rested_later_bar
CRNC|2025-01-03,CRNC,2025-01-03,11.795279999999998,11.76,10.3901,2025-01-03 14:42:00+00:00,11.77,11.74,scale_eod,582,,,,,,,,,,,25108.61787329999,25108.61787329999,25108.61787329999,25108.61787329999,25108.61787329999,25173.821499999995,11.795279999999998,11.8,0,0,marketable_at_trigger
KC|2025-01-03,KC,2025-01-03,11.557569,11.523,11.15,2025-01-03 14:42:00+00:00,11.53,11.52,stop,582,,,,,,,,,,,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-1057.2953628690016,-908.459999999996,11.557569,11.56,0,0,marketable_at_trigger
