symbol,bar_date,open,prev_close,close
STRA,2018-12-26,175,104.43,109.3
OTLK,2019-02-11,288,147.216,161.6
AKBA,2019-03-12,11.6,7.34,7.92
JAGX,2019-08-19,2.04356e+07,1.35844e+07,1.33481e+07
RGLS,2019-12-16,11,7.32,6.901
GLIBA,2020-03-16,27.9,57.48,47.79
OSBC,2020-03-16,12.75,7.9,7.17
SNGX,2020-03-23,600,396,333.6
SLRX,2020-04-20,390,1863,1803
ACRS,2020-06-17,2.69,1.48,1.67
ODP,2020-06-30,184,22.6,23.8
OLB,2020-08-10,101.5,58,57.8
BELFA,2020-10-28,0.3,10.96,10.95
TSHA,2020-11-24,2,21.77,21.89
ORMP,2020-11-30,6.49,4.3,4.34
DUOT,2020-12-31,1,4.2,4.24
PESI,2021-07-08,20,6.41,6.34
REAX,2021-07-16,7.175,20.95,18.3
PESI,2021-09-07,9,5.85,6.29
OMEX,2021-10-15,70,6.46,6.67
SGHT,2021-11-05,40,25,25.17
DCTH,2021-12-02,14.95,9.71,8.82
EVLV,2022-02-01,7.89,3.2,3.45
AREB,2022-02-08,1.17675e+09,5.31e+08,5.7825e+08
TRVI,2022-02-24,0.7276,0.4656,0.5
OPTN,2022-03-07,64.5,40.8,39
TXMD,2022-04-13,22.9,14.765,15
GCTK,2022-05-09,444600,261900,248400
SNGX,2022-05-12,144,91.2,102.36
ARDX,2022-05-13,0.9699,0.632,0.685
RLYB,2022-06-07,95.92,62.08,60.96
ELBM,2022-06-14,24.56,14.44,13.4
NERV,2022-06-21,0.54,2.944,2.85
SANA,2022-06-22,1.24,5.74,5.78
XP,2022-06-30,27.99,18.05,17.59
VRME,2022-07-01,3.01,1.96,2.32
CADL,2022-07-01,1.54,3.24,3.21
SWTX,2022-07-12,45.1,26.78,28.87
IDEX,2022-07-20,143.75,91.125,93.8125
NRXP,2022-07-28,9.999,5,5.28
ESTA,2022-08-09,0.0001,65.67,62.63
CRIS,2022-08-10,596,392,416
ATNF,2022-08-22,646,387.6,315.4
CSSE,2022-08-23,1.26,10.2,9.93
IMUX,2022-09-01,74.1,43.1,44.5
ONVO,2022-09-06,44.4,26.88,29.76
ABSI,2022-09-07,6.57,3.56,3.72
IMUX,2022-09-09,76.9,44.8,45.7
MPWR,2022-10-14,4.26,334.94,310.05
KOD,2022-10-25,11.69,6.68,6.74
RGTI,2022-12-20,1.39,0.82,0.786
ACST,2022-12-28,4.4994,2.922,2.9106
NCMI,2022-12-30,4.5,2.378,2.2
APLT,2023-01-04,1.13,0.7522,0.8671
EU,2023-01-24,4.5,2.74,2.4
CBIO,2023-02-28,670.5,360,405
STTK,2023-03-09,5.07,3.17,2.88
REAX,2023-03-20,20,12.5,12
IDAI,2023-03-24,18,37.5,37.35
ANIP,2023-04-24,61.67,39.52,38.71
REAX,2023-05-02,18.2,11.8,12
CFFN,2023-05-04,2.45,5.55,5.54
CDW,2023-05-18,7.44,173.25,174.9
SYTA,2023-05-25,95205.6,60681.6,56296.8
NVFY,2023-06-14,2.99,1.87,2.01
CGC,2023-07-05,6.5,3.877,4.649
LIFW,2023-07-14,288.562,175.188,161.938
MOGO,2023-08-10,5.1,2.2122,2.1
OLB,2023-08-30,12,7.258,7.61
MTC,2023-09-14,5.3504,3.52,3.6
TPST,2023-09-26,7.54,4.8295,4.732
SABS,2023-09-28,7.48,4.675,5.25
ORIC,2023-10-23,9.28,5.66,5.35
PRAA,2023-10-24,5.89,14.37,14.11
OLB,2023-11-09,9.499,5.9,6.102
ORGO,2023-11-10,3.15,2.1,2.19
CARV,2023-11-20,2.32,1.47,1.71
THAR,2023-11-21,30,63.75,53.1
DRUG,2023-11-22,0.5186,1.29,1.32
FEIM,2023-12-01,15.69,9.88,10.27
TSVT,2023-12-05,3.29,2.06,2.1
ONMD,2023-12-06,2.84,1.81,1.74
PRPO,2023-12-14,9.55,5.97,6.6
MDIA,2023-12-20,0.209,0.517,0.445
SDOT,2024-01-03,1324.8,860,802.2
EFOI,2024-01-12,0.616,1.54,1.58
MBRX,2024-01-25,288.712,190.2,182.812
CGEM,2024-01-30,23.35,14.69,14.45
SATL,2024-02-01,2.24,1.4,1.38
EEIQ,2024-02-12,40.64,25.44,26.56
CLPS,2024-02-16,0.408,1.02,1.15
SMFL,2024-02-23,8.26,5.327,6.034
TVGN,2024-02-28,149,369.5,373
IPSC,2024-03-19,7.55,4.75,4.8
VERB,2024-03-25,100,62.28,60.4
NUTX,2024-04-05,21,13.68,11.985
FCUV,2024-04-09,56.84,139.96,136
MBRX,2024-04-16,44.75,107.5,107.5
MBOT,2024-04-19,0.36,0.89,0.865
EPIX,2024-05-20,2.29,5.7,6.24
MTEM,2024-05-30,1.88,1.18,1.1
NUZE,2024-06-03,2.63,1.63,1.78
LUCY,2024-06-12,14.934,9.46,9.906
PAVM,2024-06-25,9.255,23.136,22.23
EFOI,2024-06-25,2.08,1.31,1.25
TRON,2024-06-25,19.89,11.9,12.3
LIFW,2024-06-27,19.7825,12,11.58
XTIA,2024-07-01,179.625,107.5,100
CNSP,2024-07-03,1572,756,876
VLCN,2024-07-11,389.888,233.6,239.36
CDT,2024-07-16,1.095e+06,720000,753300
SXTP,2024-07-19,118.08,59.04,65.04
NCPL,2024-07-22,11.291,7.28,7.847
CDT,2024-08-08,1.1373e+06,495000,510000
BSLK,2024-08-28,80.8,41.4,40.6
WINT,2024-09-04,270.5,159.5,166
INBS,2024-09-09,25.5,15.8,17.9
TNXP,2024-09-09,23,14.25,16.51
BCTX,2024-09-11,289.5,92.925,96
ZNTL,2024-09-16,4.96,3.24,3.68
NVVE,2024-09-18,4766.4,3052.8,3628.8
CERO,2024-09-25,290,187.4,200
SGD,2024-10-15,6.19,3.98,3.35
BIVI,2024-10-21,41,23.5,26.3
CNSP,2024-10-23,193.56,94.02,84.6
ELAB,2024-10-25,192511,108427,119129
STI,2024-10-30,32.86,19.8,23.565
SONN,2024-11-06,9.98,4.21,3.73
ELAB,2024-11-14,45981.6,29047.2,30811.2
GREE,2024-11-15,3.81,2.47,2.67
TNXP,2024-11-20,26.15,16.27,19
CDT,2024-11-21,433800,276900,323700
SONN,2024-12-09,4.34,2.1,1.98
CRKN,2024-12-31,32.235,20.805,21.33
XPON,2025-01-02,44.04,28.68,24
IMRX,2025-01-07,3.74,2.36,2.36
ADTX,2025-01-16,1.21369e+06,799362,839635
VLCN,2025-02-04,45.68,26.72,25.6
OCEA,2025-02-10,0.2229,0.1329,0.148
VRPX,2025-02-14,11.2,7.2225,8.1575
SYTA,2025-02-26,27.96,14,16.68
NVVE,2025-02-28,3132,1728,1944
ONDS,2025-03-11,1.18,0.727,0.7235
AWH,2025-03-11,0.3515,0.198,0.175
TGL,2025-03-24,169.7,110,112.5
ALMS,2025-03-25,5.7,3.775,4
BLNE,2025-03-26,2.97,1.88,2.08
DRMA,2025-03-27,22,13.5,14.2
SBFM,2025-04-02,32.9,20.8,22.5
ATPC,2025-04-03,102.505,64.5,64
NXU,2025-04-08,3.72,2.24,2.55
XXII,2025-04-09,16560,7245,7383
BCTX,2025-04-24,93.5,54.3,60.3
RETO,2025-04-25,111,72.06,77.6
KTTA,2025-05-06,2.21,1.42,1.52
SHPH,2025-05-09,110.75,67.5,58.125
GDC,2025-05-12,843.75,550,627.5
YHC,2025-05-12,385,199,219
CNSP,2025-05-13,29.28,14.52,16.32
ATXG,2025-05-15,25.05,10.7775,10.05
HCTI,2025-05-19,207.666,118.026,135.954
KLTO,2025-06-10,2.97,1.82,2.01
PCSA,2025-06-17,14.6675,5.6275,6.5
DFLI,2025-06-20,3.751,2.18,2.515
ABVE,2025-07-07,1.33,0.7438,0.6792
QLGN,2025-07-16,5.43,3.53,3.93
WINT,2025-07-17,1.35,0.9,1.05
XXII,2025-07-17,2298,1374,1470
HSDT,2025-07-21,13.81,8.9,9.58
GPRO,2025-07-23,2.315,1.37,1.54
ATNF,2025-07-29,4.5,2.91,3.22
SNGX,2025-08-04,4.18,2.74,3.11
DEVS,2025-08-27,3.4,2.205,2.64
AEHL,2025-09-10,791.04,355.248,415.68
COCP,2025-09-12,2.45,1.44,1.58
RELI,2025-09-15,1.55,0.786,0.798
APVO,2025-09-16,39.6,25.92,27
MSS,2025-09-29,189.5,47.75,56
ULY,2025-10-07,5.34,3.12,3.46
YYAI,2025-10-08,11212,7200,7720
SCNX,2025-10-16,1.08,0.7162,0.5899
VIVK,2025-10-16,1916,1180.4,1160
AIRE,2025-10-22,27.75,18.19,17.84
BYND,2025-10-22,185.1,108.6,107.4
QLGN,2025-10-24,5.79,3.53,3.64
KITT,2025-10-27,25.28,14.08,16.08
THAR,2025-11-03,6.76,2.95,3.2
PHIO,2025-11-03,3.47,2.05,1.86
NVVE,2025-11-05,227.664,151.2,138.24
DRCT,2025-12-01,39.446,25.344,26.202
PRPH,2025-12-19,1.824,1.051,0.897
AMIX,2025-12-30,18.1671,11.2434,12.18
ASBP,2026-01-07,197.28,126,150.72
HCTI,2026-01-22,36.174,24,22.158
LRHC,2026-01-30,45,29.9,28.9
ABP,2026-02-10,2.56,1.52,1.67
KIDZ,2026-02-11,2277,1167.75,1395
RUBI,2026-03-02,322.5,210.525,252.5
CIIT,2026-03-09,38.304,23.94,28.469
SCNX,2026-03-11,0.6215,0.3885,0.4641
ATXG,2026-03-17,6.246,3.8475,3.8085
EEIQ,2026-03-30,10.51,6.98,8.19
QNCX,2026-04-08,66.78,32.6,36.62
ISPC,2026-04-10,8.04,5.204,5.124
ALLO,2026-04-13,4.09,2.72,3.06
CTNT,2026-04-16,62,34.14,32.16
CLRB,2026-05-05,4.51,2.83,3.18
GDC,2026-05-08,57.5,37.75,40
CISS,2026-05-18,195.4,122,126.8
GXAI,2026-06-02,2.01,1.19,1.36
HWH,2026-06-10,1.98,1.225,1.42
GDC,2026-06-15,40.55,24.75,26.275
KUST,2026-06-25,2.145,1.42,1.43
SHPH,2026-06-26,5.86,3.78,4.02
EDBL,2026-06-30,13.2615,7.353,8.595
RUBI,2026-07-16,6.36,3.72,3.49
EDBL,2026-07-27,7.88,3.14,2.91
YYAI,2026-08-03,4.022,2.4,2.4
SKYE,2026-08-14,6.88,4.328,4.012
SURG,2026-08-14,0.3943,0.2466,0.282
SGLY,2026-08-20,4.61,2.98,3.44
JUNS,2026-08-21,8.25,5.17,6.2
MERC,2026-08-27,0.65,0.413,0.39
VVOS,2026-08-31,0.395,0.2249,0.196
