cell,split,n,net_bps,t,n_split,netA_bps,n_badprint,netB_bps,tB,netC_bps,tC
K1_h2_n10,TRAIN,48,-394.77,-2.135,0,-394.77,0,-394.77,-2.135,-394.77,-2.135
K1_h2_n10,VAL,161,-125.754,-2.01358,0,-125.754,0,-125.754,-2.01358,-125.754,-2.01358
K1_h2_n20,TRAIN,48,-394.77,-2.135,0,-394.77,0,-394.77,-2.135,-394.77,-2.135
K1_h2_n20,VAL,165,-131.15,-2.14982,0,-131.15,0,-131.15,-2.14982,-131.15,-2.14982
K1_h5_n10,TRAIN,48,-428.009,-1.74596,0,-428.009,0,-428.009,-1.74596,-428.009,-1.74596
K1_h5_n10,VAL,149,-139.062,-1.51008,0,-139.062,0,-139.062,-1.51008,-139.062,-1.51008
K1_h5_n20,TRAIN,48,-428.009,-1.74596,0,-428.009,0,-428.009,-1.74596,-428.009,-1.74596
K1_h5_n20,VAL,163,-126.488,-1.48149,0,-126.488,0,-126.488,-1.48149,-126.488,-1.48149
K2_h10_n10,TRAIN,809,-101.782,-2.4915,4,-94.881,0,-101.782,-2.4915,-94.881,-2.37069
K2_h10_n10,VAL,322,-144.497,-2.72569,0,-144.497,0,-144.497,-2.72569,-144.497,-2.72569
K2_h10_n20,TRAIN,1216,-90.9725,-2.80955,4,-86.3535,0,-90.9725,-2.80955,-86.3535,-2.70594
K2_h10_n20,VAL,525,-107.408,-2.57004,1,-94.9518,0,-107.408,-2.57004,-94.9518,-2.37563
K2_h5_n10,TRAIN,1162,-94.8791,-3.20121,4,-83.7061,0,-94.8791,-3.20121,-83.7061,-2.89631
K2_h5_n10,VAL,491,-100.67,-2.56375,1,-87.3358,0,-100.67,-2.56375,-87.3358,-2.35986
K2_h5_n20,TRAIN,1410,-80.3581,-2.95878,4,-71.1145,0,-80.3581,-2.95878,-71.1145,-2.6722
K2_h5_n20,VAL,648,-91.6537,-2.78139,1,-81.541,0,-91.6537,-2.78139,-81.541,-2.59595
K3_h1_n10,TRAIN,10366,7.59775,0.109491,0,7.59775,2,-61.5032,-13.9189,-61.5032,-13.9189
K3_h1_n10,VAL,3237,-67.8806,-8.47883,0,-67.8806,1,-67.8037,-8.467,-67.8037,-8.467
K3_h1_n20,TRAIN,16186,-15.8879,-0.357203,0,-15.8879,2,-60.142,-17.7995,-60.142,-17.7995
K3_h1_n20,VAL,5369,-72.4816,-12.6531,0,-72.4816,1,-72.4361,-12.6432,-72.4361,-12.6432
K3_h3_n10,TRAIN,4013,-40.7409,-3.0052,0,-40.7409,1,-40.4913,-2.98655,-40.4913,-2.98655
K3_h3_n10,VAL,1168,-67.8231,-2.56031,0,-67.8231,1,-67.815,-2.55781,-67.815,-2.55781
K3_h3_n20,TRAIN,7628,-38.4168,-4.11666,1,-37.7447,1,-38.2853,-4.10243,-37.6131,-4.04037
K3_h3_n20,VAL,2286,-57.4876,-2.81238,1,-55.563,1,-57.4789,-2.81073,-55.5535,-2.7275
K4_h1_n10,TRAIN,12471,-85.3456,-17.7581,4,-86.9867,1,-85.3135,-17.7504,-86.9867,-18.762
K4_h1_n10,VAL,3520,-82.4169,-6.90812,0,-82.4169,3,-81.5156,-6.83329,-81.5156,-6.83329
K4_h1_n20,TRAIN,24929,-79.4871,-25.1611,9,-79.7832,1,-79.4708,-25.1553,-79.7832,-26.1578
K4_h1_n20,VAL,7040,-69.3194,-9.74626,0,-69.3194,3,-68.8633,-9.6847,-68.8633,-9.6847
K4_h2_n10,TRAIN,6236,-75.8943,-7.91037,3,-75.8455,0,-75.8943,-7.91037,-75.8455,-7.99106
K4_h2_n10,VAL,1760,-104.681,-4.5127,0,-104.681,2,-107.131,-4.62882,-107.131,-4.62882
K4_h2_n20,TRAIN,12470,-74.9369,-11.9552,6,-74.8932,0,-74.9369,-11.9552,-74.8932,-12.106
K4_h2_n20,VAL,3520,-79.451,-5.58417,0,-79.451,2,-80.6611,-5.67857,-80.6611,-5.67857
K5_h2_n10,TRAIN,3482,-57.319,-4.66965,0,-57.319,0,-57.319,-4.66965,-57.319,-4.66965
K5_h2_n10,VAL,1251,-103.639,-4.83057,0,-103.639,1,-102.829,-4.79243,-102.829,-4.79243
K5_h2_n20,TRAIN,4612,-57.8052,-5.65934,0,-57.8052,0,-57.8052,-5.65934,-57.8052,-5.65934
K5_h2_n20,VAL,1623,-96.5896,-5.33103,0,-96.5896,1,-95.9615,-5.29629,-95.9615,-5.29629
K5_h5_n10,TRAIN,2279,-29.8313,-1.3117,0,-29.8313,0,-29.8313,-1.3117,-29.8313,-1.3117
K5_h5_n10,VAL,789,-76.2577,-1.72591,0,-76.2577,1,-74.9392,-1.69468,-74.9392,-1.69468
K5_h5_n20,TRAIN,3438,-40.5431,-2.31804,0,-40.5431,0,-40.5431,-2.31804,-40.5431,-2.31804
K5_h5_n20,VAL,1219,-91.5602,-2.78244,0,-91.5602,1,-90.7197,-2.75553,-90.7197,-2.75553
