cell,split,n,n_ca,net_bps,net_ex_ca
K1_h2_n10,TRAIN,48,0,-404.84,-404.84
K1_h2_n10,VAL,161,0,-125.754,-125.754
K1_h2_n20,TRAIN,48,0,-404.84,-404.84
K1_h2_n20,VAL,165,0,-131.15,-131.15
K1_h5_n10,TRAIN,48,0,-385.808,-385.808
K1_h5_n10,VAL,149,0,-139.062,-139.062
K1_h5_n20,TRAIN,48,0,-385.808,-385.808
K1_h5_n20,VAL,163,0,-126.488,-126.488
K2_h10_n10,TRAIN,880,0,-97.6243,-97.6243
K2_h10_n10,VAL,346,0,-104.832,-104.832
K2_h10_n20,TRAIN,1250,0,-75.969,-75.969
K2_h10_n20,VAL,540,1,-73.9393,-74.5128
K2_h5_n10,TRAIN,1178,0,-84.8861,-84.8861
K2_h5_n10,VAL,514,1,-73.2222,-73.6571
K2_h5_n20,TRAIN,1419,0,-74.4347,-74.4347
K2_h5_n20,VAL,661,1,-74.655,-74.9951
K3_h1_n10,TRAIN,10344,0,-61.3174,-61.3174
K3_h1_n10,VAL,3230,1,-72.478,-72.4023
K3_h1_n20,TRAIN,16149,0,-60.3359,-60.3359
K3_h1_n20,VAL,5359,1,-74.7369,-74.6918
K3_h3_n10,TRAIN,4054,1,-49.406,-49.3443
K3_h3_n10,VAL,1168,1,-65.0348,-65.0244
K3_h3_n20,TRAIN,7690,1,-37.8261,-37.792
K3_h3_n20,VAL,2282,1,-60.7962,-60.789
K4_h1_n10,TRAIN,12471,2,-84.0899,-84.0647
K4_h1_n10,VAL,3520,0,-75.641,-75.641
K4_h1_n20,TRAIN,24929,3,-79.4505,-79.4123
K4_h1_n20,VAL,7040,0,-66.349,-66.349
K4_h2_n10,TRAIN,6303,2,-71.9288,-71.9994
K4_h2_n10,VAL,1760,0,-89.066,-89.066
K4_h2_n20,TRAIN,12604,3,-75.0056,-74.9927
K4_h2_n20,VAL,3520,0,-72.3577,-72.3577
K5_h2_n10,TRAIN,3487,0,-54.8047,-54.8047
K5_h2_n10,VAL,1242,0,-92.8165,-92.8165
K5_h2_n20,TRAIN,4613,0,-56.0203,-56.0203
K5_h2_n20,VAL,1609,0,-88.256,-88.256
K5_h5_n10,TRAIN,2285,0,-28.388,-28.388
K5_h5_n10,VAL,782,0,-58.7648,-58.7648
K5_h5_n20,TRAIN,3437,0,-36.7321,-36.7321
K5_h5_n20,VAL,1207,0,-77.8517,-77.8517
