day,symbol,entry_m,rr,why
2025-01-10,PSMT,580,1.1851851851851933,eod
2025-01-10,BLBD,593,-0.05317948717948753,stop
2025-01-10,UVXY,607,-0.06597183098591979,stop
2025-01-10,MSTZ,612,-1.0393484573502694,stop
2025-01-10,MEG,621,-0.5909090909090887,eod
2025-01-10,FTAI,622,-0.07618103448275586,stop
2025-01-10,LFVN,637,-0.04879120879121238,stop
2025-01-10,OS,679,-0.07454054054054209,stop
2025-01-10,MRUS,692,-0.0588133333333379,stop
2025-01-13,BPMC,577,3.3813229571984516,eod
2025-01-13,AVGX,584,-0.043865030674846955,stop
2025-01-13,AVL,586,-0.5384615384615384,eod
2025-01-13,VRNA,586,-1.0552976190476193,stop
2025-01-13,ALGS,599,-0.08130081300813144,eod
2025-01-13,ACHC,615,-1.0816371681415995,stop
2025-01-13,HCC,780,1.2406015037594043,eod
2025-01-14,FARO,586,4.939393939393972,eod
2025-01-14,IMVT,604,-0.07812903225806382,stop
2025-01-14,BBIO,612,-1.0478767123287702,stop
2025-01-14,GDXU,617,-0.06749884623453116,stop
2025-01-14,SSG,660,-0.21999999999999886,eod
2025-01-14,BOIL,772,-0.1900826446281012,eod
2025-01-15,DOGZ,578,-0.03955454545454333,stop
2025-01-15,SEZL,584,-0.15189784747170476,stop
2025-01-15,IONQ,591,-0.046678365636459364,stop
2025-01-15,MUU,596,1.1630103595368546,eod
2025-01-15,APLS,599,-1.0753323108384452,stop
2025-01-15,KIDS,661,-1.2350188679245324,stop
2025-01-16,DOGZ,581,-0.032582733812950626,stop
2025-01-16,DAVE,594,-1.0854716981132027,stop
2025-01-16,LMND,598,-1.0622264150943432,stop
2025-01-16,IONQ,604,-0.039448979591837005,stop
2025-01-16,PNC,632,0.5641414730944382,eod
2025-01-16,PTIR,669,-1.0835627093412754,stop
2025-01-16,HUT,670,-1.0639518072289174,stop
2025-01-16,CONL,688,-1.0662769230769285,stop
2025-01-16,NVD,699,-1.1477272727272667,stop
2025-01-16,TSLQ,703,-1.0710689961504316,stop
2025-01-16,ALCO,713,-1.2838599999999971,stop
2025-01-16,AKRO,809,-1.0716060606060624,stop
2025-01-17,CHX,591,0.6086956521739066,eod
2025-01-17,SMLR,613,-1.0758443346276088,stop
2025-01-17,TSLL,619,-1.065900433839476,stop
2025-01-17,TSLR,619,-1.0684631352899034,stop
2025-01-17,MARA,641,-0.07084210526315605,stop
2025-01-17,RIOX,646,-1.0548690606868445,stop
2025-01-17,SMR,648,-0.08017728431015435,stop
2025-01-17,LEGN,677,-1.0969705882352898,stop
2025-01-17,OKLO,697,-0.04711945636623478,stop
2025-01-21,TSLQ,578,-0.02624489345257698,stop
2025-01-21,SMMT,579,-0.032767999999998666,stop
2025-01-21,IONQ,581,-0.030014388489207167,stop
2025-01-21,QMCO,582,-0.04461038961039389,stop
2025-01-21,MRNA,587,-1.0430599742298203,stop
2025-01-21,NAIL,587,-1.0513216957606013,stop
2025-01-21,ASTS,591,-1.0423921568627426,stop
2025-01-21,WGS,598,-0.0993763440860115,stop
2025-01-21,NNE,628,5.2489177489177505,eod
2025-01-21,LUNR,633,-0.03972727272727375,stop
2025-01-21,ASAN,643,-0.31372549019607776,eod
2025-01-21,RDDT,645,-1.0949175257732016,stop
2025-01-22,VICR,586,-0.144509505703417,stop
2025-01-22,MRNA,588,-0.025593333333333135,stop
2025-01-22,FN,589,-0.051692883895135114,stop
2025-01-22,AOSL,592,-1.0393423423423414,stop
2025-01-22,SMCX,604,-1.0319865771812082,stop
2025-01-22,WGS,606,-0.055633802816896775,stop
2025-01-22,LUNR,614,-0.05639024390243583,stop
2025-01-22,RDNT,619,1.6861313868613275,eod
2025-01-22,IESC,656,-0.14461424332342518,stop
2025-01-22,DXYZ,726,-1.0715808183868587,stop
2025-01-22,GRAL,754,-0.06896969696970164,stop
2025-01-22,FTAI,798,1.8685193957576676,eod
2025-01-23,PLTU,578,-1.0312134831460673,stop
2025-01-23,BITU,579,-0.04466911764705792,stop
2025-01-23,BITX,579,-0.0420198675496708,stop
2025-01-23,MSTX,579,-1.0321973482916864,stop
2025-01-23,JANX,611,2.716216216216206,eod
2025-01-23,PLXS,612,-1.0593030303030355,stop
2025-01-23,FTAI,634,-0.03931174089068727,stop
2025-01-23,LEU,644,-0.054084928986254444,stop
2025-01-23,GRAL,689,-0.07052941176471081,stop
2025-01-23,IMCR,780,-1.0660204081632672,stop
2025-01-24,GRAL,594,-0.036328947368420156,stop
2025-01-24,GDS,596,-0.04097345132743577,stop
2025-01-24,NBIS,602,-0.03910377358490326,stop
2025-01-24,NEE,608,-0.08866666666667099,stop
2025-01-24,PCRX,614,-0.07930420711974605,stop
2025-01-24,IONQ,629,-1.041072463768116,stop
2025-01-24,OKLO,681,-0.05465384615384942,stop
2025-01-24,PSIX,703,-0.03176119402985194,stop
2025-01-24,DRUG,741,-1.053346080305923,stop
2025-01-24,EWTX,772,-1.0419558823529411,stop
2025-01-24,NVDS,775,0.48305084745762905,eod
2025-01-24,NNE,801,-0.07047207651958821,stop
2025-01-27,JANX,582,-0.03540769230769357,stop
2025-01-27,SWTX,584,-0.05803076923076966,stop
2025-01-27,TMDX,585,-0.05758986175115419,stop
2025-01-27,ASAN,588,-0.03871153846154187,stop
2025-01-27,MDB,607,-0.06741604010024392,stop
2025-01-27,DDOG,624,-1.0642107623318406,stop
