month,days,green,red,day_wr_pct,picks,best_day,worst_day,pnl,cum_pnl,intra_dd
2025-01,6,2,2,33.33333333333333,7,600.1464727959994,-225.77034417390504,564.5393228620944,564.5393228620944,-225.77034417390507
2025-02,8,2,3,25.0,9,574.2663389919995,-161.37595614000006,500.80637858346347,1065.345701445558,-161.37595614000006
2025-03,4,2,1,50.0,5,313.9278917600003,-3.3330692999998104,392.1027989959207,1457.4485004414787,0.0
2025-04,3,1,1,33.33333333333333,3,179.1768140799998,-3.3330311859997197,175.84378289400007,1633.2922833354787,0.0
2025-05,4,2,2,50.0,6,1231.5921853208874,-126.62018529761879,1347.4676687299423,2980.759952065421,-85.8008332869257
2025-06,6,1,4,16.666666666666664,11,234.38465122805394,-170.17567301571384,-31.77065099530273,2948.9893010701185,-206.52421471571367
2025-07,6,2,2,33.33333333333333,6,94.27044295661335,-13.292517333332997,150.92680890081397,3099.9161099709327,-16.625652095799722
2025-08,3,1,1,33.33333333333333,3,157.91378444799992,-95.15629583035704,62.75748861764288,3162.6735985885757,-95.15629583035704
2025-09,9,2,6,22.22222222222222,16,868.0533074173463,-220.4434867493332,502.26503306868455,3664.9386316572604,-381.6915200959974
2025-10,6,2,2,33.33333333333333,10,652.001527678,-15.90072578538686,655.1218287019469,4320.060460359207,-14.534010186666674
2025-11,7,2,4,28.57142857142857,14,503.5298348364002,-223.11881209466623,150.32733795192627,4470.387798311133,-391.72923755266623
2025-12,9,1,6,11.11111111111111,15,550.5376784000009,-256.7906632380952,116.84238622457289,4587.230184535706,-260.12377065209523
2026-01,8,1,6,12.5,12,15.033941333335946,-262.94753527301725,-550.1621064228228,4037.068078112883,-561.8628861801591
2026-02,9,3,3,33.33333333333333,13,743.3404914580005,-337.6383531424998,1228.842594958168,5265.910673071051,-349.6295743424998
2026-03,8,3,4,37.5,9,1883.048340673333,-123.51949999999957,3934.8819021214945,9200.792575192545,-158.47331749999876
2026-04,12,2,6,16.666666666666664,13,497.91561277333363,-117.71174701000037,306.97412173781095,9507.766696930355,-254.24677929285718
2026-05,5,0,4,0.0,6,0.0,-132.89920121988067,-190.49845811121332,9317.268238819142,-190.49845811121332
2026-06,11,4,3,36.36363636363637,16,217.7006121766667,-239.36570079999998,291.8560299379997,9609.124268757143,-239.36570079999998
2026-07,12,5,6,41.66666666666667,20,901.4300261843337,-282.03891333333274,817.7767794197891,10426.901048176933,-515.4667187533305
2026-08,12,3,4,25.0,17,701.0759580729072,-121.16225066666613,723.1786739754823,11150.079722152415,-169.49083866666592
2026-09,4,0,3,0.0,4,0.0,-25.889698666666025,-44.072185299999305,11106.007536852416,-40.73911599999925
