day,symbol,entry_m,exit_m,why,split,half,wk,net_R,date,pnl_R
2025-01-02,ASPI,656,687,nobreak,TRAIN,H1,2024-12-30,0.08890057887120137,2025-01-02,0.08890057887120137
2025-01-02,BFLY,696,749,stop,TRAIN,H1,2024-12-30,-1.1010862973760933,2025-01-02,-1.1010862973760933
2025-01-02,CONL,734,747,stop,TRAIN,H1,2024-12-30,-1.1810246575342473,2025-01-02,-1.1810246575342473
2025-01-02,GRRR,709,738,target,TRAIN,H1,2024-12-30,1.8709666666666662,2025-01-02,1.8709666666666662
2025-01-02,LTBR,675,769,stop,TRAIN,H1,2024-12-30,-1.1455547956630532,2025-01-02,-1.1455547956630532
2025-01-02,RGTI,652,738,target,TRAIN,H1,2024-12-30,1.907251612903226,2025-01-02,1.907251612903226
2025-01-02,RGTIW,700,738,target,TRAIN,H1,2024-12-30,1.811130015552099,2025-01-02,1.811130015552099
2025-01-02,SEDG,637,691,stop,TRAIN,H1,2024-12-30,-1.1805964912280702,2025-01-02,-1.1805964912280702
2025-01-02,SERV,637,758,stop,TRAIN,H1,2024-12-30,-1.1329368421052628,2025-01-02,-1.1329368421052628
2025-01-02,TSLQ,758,789,nobreak,TRAIN,H1,2024-12-30,-0.08136390243902492,2025-01-02,-0.08136390243902492
2025-01-02,U,610,624,stop,TRAIN,H1,2024-12-30,-1.1190022714981072,2025-01-02,-1.1190022714981072
2025-01-02,UEC,627,949,target,TRAIN,H1,2024-12-30,1.7907833333333336,2025-01-02,1.7907833333333336
2025-01-02,VSAT,638,669,nobreak,TRAIN,H1,2024-12-30,-0.6603092896174922,2025-01-02,-0.6603092896174922
2025-01-02,VUZI,613,644,nobreak,TRAIN,H1,2024-12-30,-0.7770328173374628,2025-01-02,-0.7770328173374628
2025-01-03,ATOM,631,641,target,TRAIN,H1,2024-12-30,1.8833936758893284,2025-01-03,1.8833936758893284
2025-01-03,LFCR,801,835,nobreak,TRAIN,H1,2024-12-30,0.2612823529411783,2025-01-03,0.2612823529411783
2025-01-03,LTBR,785,794,stop,TRAIN,H1,2024-12-30,-1.167049114703618,2025-01-03,-1.167049114703618
2025-01-03,RCAT,616,618,stop,TRAIN,H1,2024-12-30,-1.165348093841642,2025-01-03,-1.165348093841642
2025-01-03,RIVN,629,663,target,TRAIN,H1,2024-12-30,1.8583402018056292,2025-01-03,1.8583402018056292
2025-01-03,RZLV,719,724,stop,TRAIN,H1,2024-12-30,-1.1342445471349352,2025-01-03,-1.1342445471349352
2025-01-03,SIDU,670,701,nobreak,TRAIN,H1,2024-12-30,-0.3060285714285691,2025-01-03,-0.3060285714285691
2025-01-03,UAVS,708,739,nobreak,TRAIN,H1,2024-12-30,-0.46886644444444536,2025-01-03,-0.46886644444444536
2025-01-06,ALLT,621,657,stop,TRAIN,H1,2025-01-06,-1.19156,2025-01-06,-1.19156
2025-01-06,AMDL,601,632,nobreak,TRAIN,H1,2025-01-06,-0.41589744160178155,2025-01-06,-0.41589744160178155
2025-01-06,AMPX,674,903,stop,TRAIN,H1,2025-01-06,-1.074411111111111,2025-01-06,-1.074411111111111
2025-01-06,ASPN,653,684,nobreak,TRAIN,H1,2025-01-06,-0.8423148936170173,2025-01-06,-0.8423148936170173
2025-01-06,CIFR,638,955,eod,TRAIN,H1,2025-01-06,0.6701333333333434,2025-01-06,0.6701333333333434
2025-01-06,CMPS,606,745,target,TRAIN,H1,2025-01-06,1.8873999999999997,2025-01-06,1.8873999999999997
