day,symbol,adv20,split,wk
2025-07-10,AAL,53724886.35,TRAIN,2025-07-05/2025-07-11
2025-10-09,AAL,88324261.4,TRAIN,2025-10-04/2025-10-10
2025-10-23,AAL,69639258.75,TRAIN,2025-10-18/2025-10-24
2026-03-23,AAL,89168316.0,VAL,2026-03-21/2026-03-27
2026-04-08,AAL,69596651.55,VAL,2026-04-04/2026-04-10
2026-04-14,AAL,58511820.65,VAL,2026-04-11/2026-04-17
2026-04-17,AAL,56526212.5,VAL,2026-04-11/2026-04-17
2026-05-06,AAL,55653895.55,VAL,2026-05-02/2026-05-08
2025-08-04,AAOI,4448120.35,TRAIN,2025-08-02/2025-08-08
2025-08-08,AAOI,4435033.1,TRAIN,2025-08-02/2025-08-08
2025-08-26,AAOI,5657769.5,TRAIN,2025-08-23/2025-08-29
2025-10-15,AAOI,4976950.7,TRAIN,2025-10-11/2025-10-17
2025-11-20,AAOI,5698074.05,TRAIN,2025-11-15/2025-11-21
2025-08-07,AAPB,455991.25,TRAIN,2025-08-02/2025-08-08
2025-08-07,AAPU,4665363.9,TRAIN,2025-08-02/2025-08-08
2025-09-03,AAPU,4820111.05,TRAIN,2025-08-30/2025-09-05
2025-07-25,ABAT,6785994.7,TRAIN,2025-07-19/2025-07-25
2025-09-24,ABAT,5753178.75,TRAIN,2025-09-20/2025-09-26
2025-09-29,ABAT,7294460.5,TRAIN,2025-09-27/2025-10-03
2025-10-06,ABAT,10252432.55,TRAIN,2025-10-04/2025-10-10
2025-10-13,ABAT,14117403.7,TRAIN,2025-10-11/2025-10-17
2025-10-14,ABAT,16255009.25,TRAIN,2025-10-11/2025-10-17
2025-10-20,ABAT,22983030.95,TRAIN,2025-10-18/2025-10-24
2026-02-06,ABAT,7388367.3,VAL,2026-01-31/2026-02-06
2025-07-21,ABCL,6932136.7,TRAIN,2025-07-19/2025-07-25
2025-08-08,ABCL,6573423.25,TRAIN,2025-08-02/2025-08-08
2025-11-10,ABCL,4880442.45,TRAIN,2025-11-08/2025-11-14
2026-01-12,ABCL,3905644.9,VAL,2026-01-10/2026-01-16
2026-04-08,ABCL,2504333.9,VAL,2026-04-04/2026-04-10
2026-05-05,ABCL,5966363.95,VAL,2026-05-02/2026-05-08
2025-11-12,ABEO,1842120.05,TRAIN,2025-11-08/2025-11-14
2026-05-05,ABEV,23949720.6,VAL,2026-05-02/2026-05-08
2025-08-08,ABL,561082.1,TRAIN,2025-08-02/2025-08-08
2025-11-07,ABL,719979.65,TRAIN,2025-11-01/2025-11-07
2025-11-03,ABP,4530826.8,TRAIN,2025-11-01/2025-11-07
2025-07-28,ABSI,5956540.65,TRAIN,2025-07-26/2025-08-01
2025-07-29,ABSI,6052043.05,TRAIN,2025-07-26/2025-08-01
2025-10-02,ABSI,5067009.1,TRAIN,2025-09-27/2025-10-03
2025-12-10,ABSI,4873135.9,TRAIN,2025-12-06/2025-12-12
2026-05-14,ABSI,5694527.2,VAL,2026-05-09/2026-05-15
2025-10-20,ABTC,3076059.05,TRAIN,2025-10-18/2025-10-24
2025-10-27,ABTC,2920334.65,TRAIN,2025-10-25/2025-10-31
2025-07-11,ABVE,23583170.85,TRAIN,2025-07-05/2025-07-11
2025-07-21,ABVE,51086436.35,TRAIN,2025-07-19/2025-07-25
2025-10-06,ABVE,2897508.8,TRAIN,2025-10-04/2025-10-10
2025-10-15,ABVE,5722533.35,TRAIN,2025-10-11/2025-10-17
2025-10-16,ABVE,5928532.7,TRAIN,2025-10-11/2025-10-17
2025-10-23,ABVE,6487111.3,TRAIN,2025-10-18/2025-10-24
2025-10-24,ABVE,6521619.2,TRAIN,2025-10-18/2025-10-24
2025-11-03,ABVE,6209774.0,TRAIN,2025-11-01/2025-11-07
2025-11-10,ABVE,3557903.25,TRAIN,2025-11-08/2025-11-14
2025-07-16,ABVX,392737.1,TRAIN,2025-07-12/2025-07-18
2025-07-22,ABVX,596761.5,TRAIN,2025-07-19/2025-07-25
2025-11-06,ACAD,1954006.4,TRAIN,2025-11-01/2025-11-07
2025-08-11,ACB,961652.5,TRAIN,2025-08-09/2025-08-15
2025-09-29,ACB,907785.05,TRAIN,2025-09-27/2025-10-03
2025-11-05,ACB,1570262.15,TRAIN,2025-11-01/2025-11-07
2025-12-12,ACB,876175.15,TRAIN,2025-12-06/2025-12-12
2026-04-23,ACB,1108743.6,VAL,2026-04-18/2026-04-24
2026-01-16,ACCL,122276.3,VAL,2026-01-10/2026-01-16
2026-05-01,ACCO,957761.35,VAL,2026-04-25/2026-05-01
2026-01-05,ACDC,964810.25,VAL,2026-01-03/2026-01-09
2025-12-30,ACET,3004079.05,TRAIN,2025-12-27/2026-01-02
2026-05-11,ACH,725464.7,VAL,2026-05-09/2026-05-15
2026-01-20,ACHC,2653488.35,VAL,2026-01-17/2026-01-23
2026-02-25,ACHC,3735876.5,VAL,2026-02-21/2026-02-27
2026-05-04,ACHC,3323636.0,VAL,2026-05-02/2026-05-08
2025-09-15,ACHR,22106366.2,TRAIN,2025-09-13/2025-09-19
2025-10-20,ACHR,68921985.95,TRAIN,2025-10-18/2025-10-24
2026-04-08,ACHR,27170631.0,VAL,2026-04-04/2026-04-10
2025-08-25,ACHV,749162.65,TRAIN,2025-08-23/2025-08-29
2025-09-03,ACHV,1279287.85,TRAIN,2025-08-30/2025-09-05
2025-10-17,ACHV,923772.8,TRAIN,2025-10-11/2025-10-17
