day,symbol,fill_min,split,flag_1445,flag_1446,flag_1447,flag_1448,flag_1449,flag_1450,flag_1451,flag_1452,flag_1453,flag_1454,flag_1455,net_R_corr,net_R_corr_flat30
2025-07-01,AAP,605.3112178731833,TRAIN-H2,0,0,0,0,0,1,0,0,0,1,0,1.956484057971015,1.956484057971015
2025-07-01,AMN,676.707353299,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,1.8404280991735524,1.8404280991735524
2025-07-01,ANF,682.0074844224833,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-0.027513395514974323,-0.21199444334192782
2025-07-01,ARCB,679.2420015327,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.857947107438015,1.857947107438015
2025-07-01,BIIB,668.28254410055,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.333005369127495,-1.348220134228182
2025-07-01,BLDR,667.0013154351167,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,0,1.883967164179107,1.883967164179107
2025-07-01,BXC,667.8126619143334,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,1.6849531738284806,1.6849531738284806
2025-07-01,CE,705.367759572,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.283983098591556,-1.3465464788732424
2025-07-01,CLDX,711.02021752975,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,1.8387488256424422,1.8387488256424422
2025-07-01,CMP,712.0665467954667,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,0.7121193548387229,0.39390967741936633
2025-07-01,CONL,592.0586892983666,TRAIN-H2,0,0,0,0,0,0,0,0,0,1,0,-1.0644552631578936,-1.202336842105261
2025-07-01,DFH,706.1832558810166,TRAIN-H2,0,0,0,0,1,1,1,0,0,0,1,1.7950999999999986,1.7950999999999986
2025-07-01,DIN,621.0503321274833,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,1,1.8093651368239605,1.8093651368239605
2025-07-01,DOW,706.7919422761834,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,-1.0741768115941963,-1.2737855072463775
2025-07-01,DPST,682.2641751563167,TRAIN-H2,0,0,0,0,0,1,1,0,0,1,0,1.9368814281105506,1.9368814281105506
2025-07-01,ENPH,705.0229101465,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.2220732313151519,-1.213517675759593
2025-07-01,FUN,613.7200322201834,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.4272784795321642,-1.3853118128654975
2025-07-01,HELE,621.8392879346167,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,1.7976938173567774,1.7976938173567774
2025-07-01,HOOX,601.2656885673,TRAIN-H2,0,0,1,0,1,1,1,1,1,0,0,-1.8719646627402962,-1.597573397044112
2025-07-01,HOV,643.4804705839167,TRAIN-H2,0,0,0,0,0,1,1,0,1,0,0,1.6825062623826348,1.6825062623826348
2025-07-01,ICHR,840.0996767221,TRAIN-H2,0,0,0,0,0,1,1,0,0,0,1,0.0358700000000019,-0.05941333333333071
2025-07-01,INTW,738.95398510905,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,-1.4088760000000016,-1.3671360000000015
2025-07-01,JANX,684.5345877505167,TRAIN-H2,0,0,0,0,1,1,0,0,1,0,0,-1.3948129032258114,-1.2686193548387106
2025-07-01,LABU,709.0013302675334,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.3219171059011612,-1.2838781448622003
2025-07-01,LGIH,625.8917365837667,TRAIN-H2,0,0,0,0,0,1,0,0,1,0,0,1.8600707692307714,1.8600707692307714
2025-07-01,MRAL,607.2785150995834,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,1,-1.2478434782608638,-1.20462608695652
2025-07-01,MRNA,704.08126872445,TRAIN-H2,0,0,0,0,0,1,0,0,0,1,1,1.9648838709677454,1.9648838709677454
2025-07-01,NAIL,607.5246595695667,TRAIN-H2,0,0,0,0,0,1,0,1,1,1,0,1.9111565483696622,1.9111565483696622
2025-07-01,NGNE,721.5546639889167,TRAIN-H2,0,0,0,0,1,1,0,0,0,0,1,-1.8064654611211535,-1.2325613019891488
2025-07-01,NXT,719.1919251299333,TRAIN-H2,0,0,0,0,0,1,0,1,1,0,0,-1.1363291479820672,-1.3366624813153964
2025-07-01,OLN,678.2263530467167,TRAIN-H2,0,0,0,0,0,1,0,0,0,0,0,1.8951214285714275,1.8951214285714275
2025-07-01,OPRA,692.2885879701834,TRAIN-H2,0,0,0,0,1,1,1,1,1,0,0,-1.1533511111111103,-1.2425066666666669
2025-07-01,PGY,592.1446788165833,TRAIN-H2,0,0,0,0,0,1,1,1,1,0,0,-1.067780594148877,-1.2373190556873381
2025-07-01,ROBN,607.77009609945,TRAIN-H2,0,0,1,0,1,1,1,1,1,0,0,-1.0909794900921357,-1.1950667916794375
2025-07-01,SDHC,717.9992832500833,TRAIN-H2,0,0,1,0,1,1,1,0,0,0,1,-2.8143084745762863,-2.0628338983050942
