day,symbol,entry_m,exit_m,exit_price,why,split,half,wk,net_R,cost_R,b0_net_R,date,pnl_R
2025-01-10,BG,727,955,81.21,eod,TRAIN,H1,2025-01-04/2025-01-10,-0.5512755945816636,0.15049738446493055,-0.5512755945816636,2025-01-10,-0.5512755945816636
2025-01-10,BLBD,593,651,41.11,vwap_exit,TRAIN,H1,2025-01-04/2025-01-10,-1.4156542406311703,0.9412952662721956,-0.9798439842209062,2025-01-10,-1.4156542406311703
2025-01-10,FTAI,622,835,181.38000000000005,target,TRAIN,H1,2025-01-04/2025-01-10,1.6726716475095817,0.32732835249041814,1.6726716475095815,2025-01-10,1.6726716475095817
2025-01-10,IONQ,788,795,33.36,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0882164351777261,0.0882164351777261,-1.088216435177726,2025-01-10,-1.0882164351777261
2025-01-10,IRTC,788,839,97.27499999999998,target,TRAIN,H1,2025-01-04/2025-01-10,1.5680872913992225,0.43191270860077696,1.568087291399223,2025-01-10,1.5680872913992225
2025-01-10,FBL,790,907,36.925,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.1172295921087687,0.11722959210876882,-1.1172295921087687,2025-01-10,-1.1172295921087687
2025-01-10,METU,791,863,37.35,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.1178466559508007,0.11784665595080074,-1.117846655950801,2025-01-10,-1.1178466559508007
2025-01-10,MSTZ,612,621,19.5129,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0598898040944051,0.059889804094404836,-1.059889804094405,2025-01-10,-1.0598898040944051
2025-01-10,OS,679,761,28.319999999999993,target,TRAIN,H1,2025-01-04/2025-01-10,1.675382239382235,0.3246177606177653,1.6753822393822349,2025-01-10,1.675382239382235
2025-01-10,PSMT,580,652,88.96,vwap_exit,TRAIN,H1,2025-01-04/2025-01-10,-0.2687629629629654,0.8490098765432144,0.336054320987658,2025-01-10,-0.2687629629629654
2025-01-10,QMCO,635,651,32.2,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.3655930217248227,0.3655930217248224,-1.3655930217248222,2025-01-10,-1.3655930217248227
2025-01-10,SMCX,631,661,44.35,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.1210781431978263,0.1210781431978262,-1.1210781431978265,2025-01-10,-1.1210781431978263
2025-01-10,SMCI,637,643,33.36,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.045650771786005,0.04565077178600499,-1.045650771786005,2025-01-10,-1.045650771786005
2025-01-10,VFC,625,685,22.784999999999997,target,TRAIN,H1,2025-01-04/2025-01-10,1.9153921717171762,0.08460782828282432,1.915392171717176,2025-01-10,1.9153921717171762
2025-01-10,UVXY,607,623,23.065,stop,TRAIN,H1,2025-01-04/2025-01-10,-1.0627400967747738,0.06274009677477373,-1.0627400967747738,2025-01-10,-1.0627400967747738
2025-01-10,MEG,621,828,21.895,vwap_exit,TRAIN,H1,2025-01-04/2025-01-10,-0.6258790019762861,0.29065172924901234,-0.8815096837944647,2025-01-10,-0.6258790019762861
2025-01-13,ACHC,615,697,46.125,stop,TRAIN,H1,2025-01-11/2025-01-17,-1.2417044247787588,0.24170442477875886,-1.2417044247787588,2025-01-13,-1.2417044247787588
