day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2026-01-02,AAOI,582,581,739,39.1845,target,VAL,,2025-12-29,36.9015,35.76,1.1415000000000006,36.9015,0.0704605263157895,1.924942859118888,0.0750571408811121,1.8379639947437583,2026-01-02,1.924942859118888
2026-01-02,ALAB,572,571,955,180.07,eod,VAL,,2025-12-29,176.2972,171.685,4.612200000000001,176.2972,0.340539215686276,0.7287167391513187,0.0892876839005845,0.547214184987639,2026-01-02,0.7287167391513187
2026-01-02,APLD,589,588,725,27.680000000000003,target,VAL,,2025-12-29,25.66,24.65,1.0100000000000016,25.66,0.0194124168514414,1.970217409057979,0.02978259094202114,1.8725702970297031,2026-01-02,1.970217409057979
2026-01-02,ASTX,689,688,809,48.370000000000005,target,VAL,,2025-12-29,44.31,42.28,2.030000000000001,44.31,0.2415020576131701,1.8719024346733153,0.1280975653266847,1.9205841379310344,2026-01-02,1.8719024346733153
2026-01-02,BE,586,585,955,98.33,eod,VAL,,2025-12-29,92.285,88.86,3.424999999999997,92.285,0.0877111716621239,1.7282235995147102,0.03673990413492672,1.583004408759126,2026-01-02,1.7282235995147102
2026-01-02,BMNR,592,591,950,31.208,target,VAL,,2025-12-29,28.756,27.53,1.225999999999999,28.756,0.0125261885576149,1.9800008249937888,0.019999175006211185,1.8823243066884174,2026-01-02,1.9800008249937888
2026-01-02,GLXY,596,595,955,24.82,eod,VAL,,2025-12-29,23.41,22.62,0.7899999999999991,23.41,0.0340191387559809,1.7295377990430643,0.05527232753921639,1.6362886075949388,2026-01-02,1.7295377990430643
2026-01-02,HUT,584,583,694,51.448,target,VAL,,2025-12-29,48.35,46.801,1.5489999999999995,48.35,0.1000999999999999,1.9224921885087154,0.07750781149128465,1.8435315687540348,2026-01-02,1.9224921885087154
2026-01-02,INTC,572,571,596,39.4078,target,VAL,,2025-12-29,38.26,37.686099999999996,0.5739000000000019,38.26,0.0103729887859588,1.954858775420877,0.04514122457912305,1.6289333333333345,2026-01-02,1.954858775420877
2026-01-02,IREN,591,590,955,42.44,eod,VAL,,2025-12-29,39.87,38.07,1.7999999999999972,39.87,0.0183249860879245,1.4084516743956,0.019326103382180305,1.3167422222222245,2026-01-02,1.4084516743956
2026-01-02,MUU,572,571,955,121.35,eod,VAL,,2025-12-29,113.0,107.14,5.859999999999999,113.0,0.2823310810810818,1.3687370168803605,0.056177658887556624,1.288104095563139,2026-01-02,1.3687370168803605
2026-01-02,ETHU,589,588,955,60.21,eod,VAL,,2025-12-29,58.98,56.581,2.398999999999994,58.98,0.0477809343434341,0.4828599690106598,0.029853661668792948,0.3469065443934999,2026-01-02,0.4828599690106598
2026-01-05,ASTS,580,579,955,90.52,eod,VAL,,2026-01-05,84.75,80.88,3.8700000000000045,84.75,0.2548557692307684,1.4160439872788684,0.0749120850725499,1.3430571059431498,2026-01-05,1.4160439872788684
2026-01-05,HL,587,586,955,19.68,eod,VAL,,2026-01-05,19.74,19.1062,0.6337999999999973,19.74,0.0129326458266193,-0.12751127457655154,0.03284418716727579,-0.23854023351214795,2026-01-05,-0.12751127457655154
2026-01-05,HUT,572,571,579,55.09470000000001,target,VAL,,2026-01-05,53.49,52.68765,0.8023500000000041,53.49,0.0943418013856809,1.8553514783003922,0.1446485216996078,1.5276000000000025,2026-01-05,1.8553514783003922
2026-01-05,HYMC,572,571,618,27.994999999999997,target,VAL,,2026-01-05,26.025,25.04,0.9849999999999994,26.025,0.1049592391304349,1.8824738689031117,0.1175261310968883,1.852697461928934,2026-01-05,1.8824738689031117
2026-01-05,NNE,578,577,955,30.8,eod,VAL,,2026-01-05,29.55,28.0,1.5500000000000007,29.55,0.1008108108108101,0.7336252833478641,0.07282632955536132,0.7109677419354835,2026-01-05,0.7336252833478641
