day,symbol,entry_m,break_m,exit_m,exit_price,why,split,half,wk,entry,stop,R,price,spread_mean_raw,net_R,cost_R,band_net_R,date,pnl_R
2025-01-10,MSTZ,612,611,776,18.45,stop,TRAIN,H1,2025-01-06,20.0088,18.45,1.5588000000000015,20.0088,0.0217950138504155,-1.0189163291316496,0.01891632913164965,-1.0630816166281756,2025-01-10,-1.0189163291316496
2025-01-13,TSLL,606,605,626,24.64,stop,TRAIN,H1,2025-01-13,25.3999,24.64,0.7598999999999982,25.3999,0.0100843957622554,-1.0264408155839655,0.026440815583965584,-1.1645868232662195,2025-01-13,-1.0264408155839655
2025-01-13,TSLT,605,604,626,33.81,stop,TRAIN,H1,2025-01-13,34.63,33.81,0.8200000000000003,34.63,0.0254663850756774,-1.0477492500922896,0.047749250092289496,-1.2080023170731706,2025-01-13,-1.0477492500922896
2025-01-14,NBIS,611,610,701,34.9302,stop,TRAIN,H1,2025-01-13,36.68,34.9302,1.7498000000000005,36.68,0.0503414634146332,-1.0369547967851374,0.036954796785137266,-1.1031446108126644,2025-01-14,-1.0369547967851374
2025-01-14,TSLQ,661,660,823,25.03,stop,TRAIN,H1,2025-01-13,25.4881,25.03,0.4580999999999982,25.4881,0.0216658202133064,-1.0693504479661788,0.06935044796617884,-1.2012121851124218,2025-01-14,-1.0693504479661788
2025-01-16,CONL,660,659,955,44.15,eod,TRAIN,H1,2025-01-13,42.79,41.45,1.3399999999999963,42.79,0.0849583333333336,0.9385475124378128,0.07637786069651782,0.8991255223880616,2025-01-16,0.9385475124378128
2025-01-16,NVD,690,689,955,29.17,eod,TRAIN,H1,2025-01-13,28.84,28.07,0.7699999999999996,28.84,0.0270524094266622,0.37837089684849323,0.05020053172293795,0.29290025974026235,2025-01-16,0.37837089684849323
2025-01-17,OKLO,658,657,955,26.21,eod,TRAIN,H1,2025-01-13,25.805,24.59,1.2149999999999999,25.805,0.0369105691056915,0.2943921241928475,0.038941209140486835,0.2285599588477376,2025-01-17,0.2943921241928475
2025-01-21,ARQQ,667,666,856,27.517,stop,TRAIN,H1,2025-01-20,28.55,27.517,1.0330000000000013,28.55,0.2539473684210519,-1.2566899984714923,0.2566899984714923,-1.0998493707647627,2025-01-21,-1.2566899984714923
2025-01-22,LUNR,613,612,673,22.51,stop,TRAIN,H1,2025-01-20,23.105,22.51,0.5949999999999989,23.105,0.0162825651302605,-1.0426984287903538,0.04269842879035386,-1.191241428571429,2025-01-22,-1.0426984287903538
2025-01-22,OKLO,638,637,689,33.4,stop,TRAIN,H1,2025-01-20,34.56,33.4,1.1600000000000037,34.56,0.0361449752883036,-1.0428767028347443,0.042876702834744346,-1.1466799999999995,2025-01-22,-1.0428767028347443
2025-01-23,TEM,653,652,674,52.63000000000001,target,TRAIN,H1,2025-01-20,50.31,49.15,1.1600000000000037,50.31,0.1182150101419878,1.8803422326362178,0.11965776736378221,1.8122386206896557,2025-01-23,1.8803422326362178
2025-01-24,BE,609,608,955,29.6,eod,TRAIN,H1,2025-01-20,28.595,27.79,0.8049999999999997,28.595,0.0383464566929133,1.186353469946695,0.062093735022252565,1.0730753416149104,2025-01-24,1.186353469946695
2025-01-24,BTDR,686,685,757,21.66,target,TRAIN,H1,2025-01-20,20.55,19.995,0.5549999999999997,20.55,0.0293999999999996,1.931816216216217,0.06818378378378309,1.865562162162162,2025-01-24,1.931816216216217
2025-01-24,NVD,642,641,773,25.389499999999998,target,TRAIN,H1,2025-01-20,24.65,24.28025,0.3697499999999998,24.65,0.0198951544346845,1.9191262895613672,0.0808737104386329,1.6709333333333332,2025-01-24,1.9191262895613672
