day,symbol,trig_m,day_open,level,entry,stop,r_pct,rr,reason,pos,pnl,bar_dollar,c50_off,c50_entry,c50_rr,c50_pnl,c100_off,c100_entry,c100_rr,c100_pnl,c200_off,c200_entry,c200_rr,c200_pnl,c500_off,c500_entry,c500_rr,c500_pnl
2025-01-02,FFIE,626,2.805,3.0855000000000006,3.0992699999999993,2.71,12.56,1.479,eod,23885.25,4423.04,326926.0,1,3.0992699999999993,1.479,4423.04,1,3.0992699999999993,1.479,4423.04,1,3.0992699999999993,1.479,4423.04,1,3.0992699999999993,1.479,4423.04
2025-01-02,INTZ,587,4.025,4.427500000000001,4.383109999999999,3.61,17.638,-1.0047,stop,15069.13,-2688.45,100461.0,1,4.383109999999999,-1.0047,-2688.45,1,4.383109999999999,-1.0047,-2688.45,1,4.383109999999999,-1.0047,-2688.45,1,4.383109999999999,-1.0047,-2688.45
2025-01-02,LAES,598,6.91,7.601000000000001,7.693009999999999,6.31,17.977,0.5184,eod,16687.54,1546.18,244807.0,1,7.639,0.5801,1675.15,1,7.677,0.5362,1584.2,1,7.693009999999999,0.5184,1546.18,1,7.693009999999999,0.5184,1546.18
2025-01-02,XPON,575,3.66,4.026000000000001,4.08221,3.41,16.467,-1.0051,stop,16381.09,-2730.79,109207.0,1,4.0461,-1.0054,-2608.89,1,4.0663,-1.0052,-2677.16,1,4.08221,-1.0051,-2730.79,1,4.08221,-1.0051,-2730.79
2025-01-03,FFIE,585,3.06,3.3660000000000005,3.3901399999999997,2.95,12.983,-0.6138,eod,4858.41,-392.97,32389.0,1,3.3828,-0.6072,-383.31,1,3.3901399999999997,-0.6138,-392.97,1,3.3901399999999997,-0.6138,-392.97,1,3.3901399999999997,-0.6138,-392.97
2025-01-07,FFIE,586,2.42,2.662,2.6780099999999996,2.31,13.742,-1.0063,stop,10743.51,-1498.52,71623.0,1,2.6753,-1.0063,-1489.18,1,2.6780099999999996,-1.0063,-1498.52,1,2.6780099999999996,-1.0063,-1498.52,1,2.6780099999999996,-1.0063,-1498.52
2025-01-10,ITCI,578,86.385,95.02350000000001,95.77646999999999,86.385,9.806,-0.0507,eod,21937.6,-135.46,146251.0,1,95.4986,-0.0218,-71.95,1,95.77646999999999,-0.0507,-135.46,1,95.77646999999999,-0.0507,-135.46,1,95.77646999999999,-0.0507,-135.46
2025-01-28,ETNB,615,8.935,9.828500000000002,10.004924999999998,8.875,11.294,-1.0211,stop,4523.23,-527.05,30155.0,3,9.8776,-1.0238,-475.49,3,9.9268,-1.0227,-495.55,1,10.004924999999998,-1.0211,-527.05,1,10.004924999999998,-1.0211,-527.05
2025-01-30,MPW,614,4.43,4.873,4.879595,4.635,5.013,-1.0394,stop,6116.82,-326.02,40779.0,1,4.879595,-1.0394,-326.02,1,4.879595,-1.0394,-326.02,1,4.879595,-1.0394,-326.02,1,4.879595,-1.0394,-326.02
2025-02-14,KDLY,597,2.495,2.7445000000000004,2.8585499999999997,2.4,16.041,0.4933,lock,2146.49,167.27,14310.0,1,2.7582,0.4918,134.53,1,2.7719,0.492,139.14,1,2.7994,0.4925,148.24,1,2.8585499999999997,0.4933,167.27
2025-02-18,STAI,579,2.125,2.3375000000000004,2.4071999999999996,2.125,11.723,3.6598,eod,3083.26,1319.16,20555.0,-1,,,,-1,,,,-1,,,,1,2.4071999999999996,3.6598,1319.16
2025-02-18,WBA,594,9.68,10.648,10.75216,9.62,10.53,0.241,eod,25000.0,629.61,1047776.0,1,10.7012,0.2994,751.59,1,10.75216,0.241,629.61,1,10.75216,0.241,629.61,1,10.75216,0.241,629.61
2025-04-01,NMAX,594,125.88,138.46800000000002,137.68180999999998,115.03,16.452,0.4934,lock,18234.54,1475.69,581430.0,1,137.68180999999998,0.4934,1475.69,1,137.68180999999998,0.4934,1475.69,1,137.68180999999998,0.4934,1475.69,1,137.68180999999998,0.4934,1475.69
2025-04-02,RDFN,584,9.475,10.422500000000001,10.45126,9.475,9.341,-0.1857,eod,9337.16,-173.14,62248.0,1,10.45126,-0.1857,-173.14,1,10.45126,-0.1857,-173.14,1,10.45126,-0.1857,-173.14,1,10.45126,-0.1857,-173.14
2025-04-07,AKRO,618,34.95,38.44500000000001,38.17919499999999,34.74,9.008,-0.5987,eod,23440.12,-1292.37,156267.0,1,38.17919499999999,-0.5987,-1292.37,1,38.17919499999999,-0.5987,-1292.37,1,38.17919499999999,-0.5987,-1292.37,1,38.17919499999999,-0.5987,-1292.37
2025-04-07,CFLT,613,18.8,20.680000000000003,21.022879999999997,18.27,13.095,-0.3534,eod,19333.69,-917.91,128891.0,1,20.7834,-0.2918,-705.44,1,20.8868,-0.3198,-797.78,1,21.022879999999997,-0.3534,-917.91,1,21.022879999999997,-0.3534,-917.91
2025-04-07,CYBR,615,292.46,321.706,321.10041999999993,292.2,9.0,-0.6211,eod,12426.59,-709.59,82844.0,1,321.10041999999993,-0.6211,-709.59,1,321.10041999999993,-0.6211,-709.59,1,321.10041999999993,-0.6211,-709.59,1,321.10041999999993,-0.6211,-709.59
2025-04-07,DFS,616,140.44,154.484,155.99157499999998,140.68,9.816,-0.4165,eod,25000.0,-1041.78,252082.0,2,155.2564,-0.387,-928.24,1,155.99157499999998,-0.4165,-1041.78,1,155.99157499999998,-0.4165,-1041.78,1,155.99157499999998,-0.4165,-1041.78
2025-04-07,EXAS,615,41.105,45.2155,45.45094499999999,41.065,9.65,-0.3126,eod,11767.25,-369.06,78448.0,1,45.4416,-0.3111,-366.71,1,45.45094499999999,-0.3126,-369.06,1,45.45094499999999,-0.3126,-369.06,1,45.45094499999999,-0.3126,-369.06
2025-04-07,FL,615,11.835,13.018500000000001,13.069089999999997,11.585,11.356,-0.4542,eod,5559.59,-293.43,37064.0,1,13.069089999999997,-0.4542,-293.43,1,13.069089999999997,-0.4542,-293.43,1,13.069089999999997,-0.4542,-293.43,1,13.069089999999997,-0.4542,-293.43
2025-04-07,SNV,616,36.54,40.194,40.531229999999994,36.44,10.094,-0.538,eod,4888.07,-271.33,32587.0,2,40.395,-0.5221,-255.74,1,40.531229999999994,-0.538,-271.33,1,40.531229999999994,-0.538,-271.33,1,40.531229999999994,-0.538,-271.33
2025-04-07,VRN,613,5.14,5.654,5.70707,5.21,8.71,-0.4266,eod,11762.27,-451.19,78415.0,1,5.6823,-0.3965,-401.76,1,5.70707,-0.4266,-451.19,1,5.70707,-0.4266,-451.19,1,5.70707,-0.4266,-451.19
2025-04-07,VRNA,615,48.815,53.6965,54.26731499999999,47.34,12.765,0.0321,eod,5307.34,15.41,35382.0,4,53.965,0.0792,45.27,1,54.2335,0.0372,18.74,1,54.26731499999999,0.0321,15.41,1,54.26731499999999,0.0321,15.41
2025-04-07,X,614,37.26,40.986000000000004,41.574349999999995,36.97,11.075,0.5952,eod,25000.0,1631.17,296300.0,6,41.1909,0.7401,1879.22,6,41.3959,0.6596,1746.07,1,41.574349999999995,0.5952,1631.17,1,41.574349999999995,0.5952,1631.17
2025-04-07,ZI,614,7.35,8.085,8.094209999999999,7.03,13.148,-0.3892,eod,2876.28,-150.64,19175.0,1,8.094209999999999,-0.3892,-150.64,1,8.094209999999999,-0.3892,-150.64,1,8.094209999999999,-0.3892,-150.64,1,8.094209999999999,-0.3892,-150.64
2025-04-10,WNS,593,65.23,71.75300000000001,70.97228,64.32,9.373,-1.0097,stop,24698.35,-2367.01,164656.0,1,70.97228,-1.0097,-2367.01,1,70.97228,-1.0097,-2367.01,1,70.97228,-1.0097,-2367.01,1,70.97228,-1.0097,-2367.01
2025-04-15,MTSR,603,18.275,20.1025,20.130209999999998,18.76,6.807,-1.0429,stop,3777.43,-272.67,25183.0,1,20.130209999999998,-1.0429,-272.67,1,20.130209999999998,-1.0429,-272.67,1,20.130209999999998,-1.0429,-272.67,1,20.130209999999998,-1.0429,-272.67
2025-05-16,SMLR,591,32.05,35.255,35.711814999999994,32.05,10.254,1.4414,eod,2142.71,314.12,14285.0,1,35.4313,1.644,333.59,1,35.6076,1.513,321.32,1,35.711814999999994,1.4414,314.12,1,35.711814999999994,1.4414,314.12
2025-05-19,CEP,580,32.265,35.4915,36.6095,31.97,12.673,-0.0322,eod,6254.73,-33.05,41698.0,4,35.669,0.2139,131.21,4,35.8464,0.1583,99.56,2,36.2013,0.0611,37.19,1,36.6095,-0.0322,-33.05
2025-05-22,SYTA,577,5.21,5.731000000000001,5.727129999999999,4.93,13.918,1.371,eod,3515.31,666.59,23435.0,1,5.727129999999999,1.371,666.59,1,5.727129999999999,1.371,666.59,1,5.727129999999999,1.371,666.59,1,5.727129999999999,1.371,666.59
2025-06-10,QSG,589,7.15,7.865000000000001,7.893609999999999,7.085,10.244,2.3329,eod,3195.73,759.87,21305.0,1,7.893609999999999,2.3329,759.87,1,7.893609999999999,2.3329,759.87,1,7.893609999999999,2.3329,759.87,1,7.893609999999999,2.3329,759.87
2025-06-17,EYEN,591,3.1,3.4100000000000006,3.4402899999999996,3.07,10.763,6.9127,eod,2263.88,1681.7,15093.0,2,3.4271,7.2061,1696.95,1,3.4402899999999996,6.9127,1681.7,1,3.4402899999999996,6.9127,1681.7,1,3.4402899999999996,6.9127,1681.7
2025-06-18,SRM,578,6.89,7.579000000000001,7.642859999999999,6.82,10.766,0.6771,eod,8139.65,583.59,54264.0,1,7.6169,0.7317,613.36,1,7.642859999999999,0.6771,583.59,1,7.642859999999999,0.6771,583.59,1,7.642859999999999,0.6771,583.59
2025-06-23,SRM,580,9.65,10.615000000000002,10.872519999999998,9.57,11.98,-1.0073,stop,18510.47,-2256.05,123403.0,-1,,,,-1,,,,1,10.8273,-1.0076,-2188.07,1,10.872519999999998,-1.0073,-2256.05
2025-06-25,CDTX,607,43.595,47.9545,48.49003499999999,45.25,6.682,0.071,eod,5702.43,20.2,38016.0,12,48.1943,0.1786,55.36,1,48.434,0.0898,26.82,1,48.49003499999999,0.071,20.2,1,48.49003499999999,0.071,20.2
2025-06-25,EYEN,583,8.955,9.8505,9.478349999999999,8.14,14.12,0.0087,eod,3874.28,0.11,25829.0,1,9.478349999999999,0.0087,0.11,1,9.478349999999999,0.0087,0.11,1,9.478349999999999,0.0087,0.11,1,9.478349999999999,0.0087,0.11
2025-06-30,QSG,585,8.11,8.921,9.10724,8.08,11.279,0.4115,eod,2822.33,127.63,18816.0,4,8.9656,0.6373,174.28,4,9.0102,0.5588,159.43,1,9.0994,0.4224,130.16,1,9.10724,0.4115,127.63
2025-07-02,EYEN,582,10.82,11.902000000000001,12.030984999999998,10.76,10.564,3.1228,eod,5036.77,1655.58,33578.0,2,11.9615,3.3612,1694.49,1,12.021,3.1554,1661.14,1,12.030984999999998,3.1228,1655.58,1,12.030984999999998,3.1228,1655.58
2025-07-17,LAZR,615,2.94,3.234,3.2697799999999995,3.03,7.333,-0.0408,eod,2917.79,-12.23,19452.0,1,3.2502,0.0446,5.32,1,3.2663,-0.0268,-9.16,1,3.2697799999999995,-0.0408,-12.23,1,3.2697799999999995,-0.0408,-12.23
2025-07-17,TRON,575,11.3,12.430000000000001,12.677919999999999,11.3,10.869,-1.0082,stop,24387.25,-2701.57,162582.0,1,12.4922,-1.0095,-2378.65,1,12.5543,-1.009,-2487.75,1,12.677919999999999,-1.0082,-2701.57,1,12.677919999999999,-1.0082,-2701.57
2025-07-21,BYON,607,9.21,10.131000000000002,10.190479999999999,9.47,7.07,0.5268,eod,4573.49,164.84,30490.0,1,10.1817,0.5457,168.95,1,10.190479999999999,0.5268,164.84,1,10.190479999999999,0.5268,164.84,1,10.190479999999999,0.5268,164.84
2025-07-22,MPW,592,4.04,4.444000000000001,4.45332,4.04,9.281,-0.1532,eod,14814.19,-228.41,98761.0,1,4.45332,-0.1532,-228.41,1,4.45332,-0.1532,-228.41,1,4.45332,-0.1532,-228.41,1,4.45332,-0.1532,-228.41
2025-07-31,AMBQ,591,42.9,47.190000000000005,49.417809999999996,41.3,16.427,-0.8399,eod,18262.74,-2537.2,151416.0,2,47.426,-0.7878,-1875.99,1,47.6619,-0.7957,-1957.2,1,48.1338,-0.8098,-2117.23,1,49.417809999999996,-0.8399,-2537.2
2025-08-08,AXL,581,4.53,4.9830000000000005,5.015,4.53,9.671,0.4845,eod,2260.51,103.21,15070.0,1,5.0079,0.5065,106.56,1,5.015,0.4845,103.21,1,5.015,0.4845,103.21,1,5.015,0.4845,103.21
2025-08-14,BLSH,602,74.4,81.84000000000002,82.20587999999998,71.25,13.327,-1.0065,stop,22510.07,-3022.28,1463840.0,1,82.20587999999998,-1.0065,-3022.28,1,82.20587999999998,-1.0065,-3022.28,1,82.20587999999998,-1.0065,-3022.28,1,82.20587999999998,-1.0065,-3022.28
2025-08-18,KYIV,575,12.34,13.574000000000002,13.354944999999997,12.335,7.637,0.5442,eod,2405.89,97.11,16039.0,1,13.354944999999997,0.5442,97.11,1,13.354944999999997,0.5442,97.11,1,13.354944999999997,0.5442,97.11,1,13.354944999999997,0.5442,97.11
2025-08-19,PINC,592,24.01,26.411000000000005,26.609589999999997,23.755,10.728,-0.0804,eod,2498.64,-24.56,16658.0,1,26.5431,-0.0585,-18.35,1,26.609589999999997,-0.0804,-24.56,1,26.609589999999997,-0.0804,-24.56,1,26.609589999999997,-0.0804,-24.56
2025-08-22,ETHZ,612,3.04,3.3440000000000003,3.29987,3.04,7.875,0.1929,eod,2827.82,39.57,18852.0,1,3.29987,0.1929,39.57,1,3.29987,0.1929,39.57,1,3.29987,0.1929,39.57,1,3.29987,0.1929,39.57
2025-09-12,ORBS,585,16.025,17.6275,17.412079999999996,15.295,12.159,-1.0072,stop,4633.35,-572.99,30889.0,1,17.412079999999996,-1.0072,-572.99,1,17.412079999999996,-1.0072,-572.99,1,17.412079999999996,-1.0072,-572.99,1,17.412079999999996,-1.0072,-572.99
2025-10-31,VTYX,624,8.455,9.300500000000001,9.307839999999999,8.785,5.617,-1.0168,stop,2513.12,-146.55,16754.0,1,9.307839999999999,-1.0168,-146.55,1,9.307839999999999,-1.0168,-146.55,1,9.307839999999999,-1.0168,-146.55,1,9.307839999999999,-1.0168,-146.55
2025-11-14,CYPH,577,2.05,2.255,2.2316749999999996,1.895,15.086,1.0049,eod,9144.4,1375.33,60963.0,1,2.2316749999999996,1.0049,1375.33,1,2.2316749999999996,1.0049,1375.33,1,2.2316749999999996,1.0049,1375.33,1,2.2316749999999996,1.0049,1375.33
2025-12-09,IRBT,592,3.115,3.4265000000000003,3.5606499999999994,3.06,14.061,0.1585,eod,5540.19,116.82,36935.0,3,3.4436,0.5119,309.27,1,3.4608,0.4472,280.28,1,3.495,0.3332,223.15,1,3.5606499999999994,0.1585,116.82
2025-12-12,IRBT,588,5.0,5.5,5.566649999999999,4.82,13.413,-1.0065,stop,13194.63,-1797.04,87964.0,2,5.5275,-1.0068,-1716.2,1,5.555,-1.0066,-1773.11,1,5.566649999999999,-1.0065,-1797.04,1,5.566649999999999,-1.0065,-1797.04
2026-04-20,AVEX,582,30.32,33.352000000000004,33.911429999999996,30.09,11.269,0.6146,eod,12620.14,858.88,84134.0,6,33.5188,0.7995,1016.96,6,33.6855,0.716,949.37,1,33.911429999999996,0.6146,858.88,1,33.911429999999996,0.6146,858.88
2026-05-06,SNDQ,604,10.04,11.044,11.213539999999998,10.12,9.752,-1.0093,stop,7552.32,-752.38,50349.0,3,11.0992,-1.0103,-682.25,3,11.1544,-1.0098,-716.3,1,11.213539999999998,-1.0093,-752.38,1,11.213539999999998,-1.0093,-752.38
2026-05-13,SNDQ,578,8.05,8.855000000000002,8.896609999999999,8.05,9.516,-0.1614,eod,13990.81,-231.62,93272.0,1,8.896609999999999,-0.1614,-231.62,1,8.896609999999999,-0.1614,-231.62,1,8.896609999999999,-0.1614,-231.62,1,8.896609999999999,-0.1614,-231.62
2026-05-19,CBRS,604,291.935,321.12850000000003,323.81855,303.0,6.429,-0.7099,eod,25000.0,-1143.47,1990836.0,1,322.7341,-0.6939,-1063.3,1,323.81855,-0.7099,-1143.47,1,323.81855,-0.7099,-1143.47,1,323.81855,-0.7099,-1143.47
2026-05-21,AXTX,596,41.8,45.980000000000004,46.559259999999995,41.31,11.274,1.5546,eod,3163.7,550.73,21091.0,-1,,,,1,46.4398,1.6141,560.29,1,46.559259999999995,1.5546,550.73,1,46.559259999999995,1.5546,550.73
2026-05-22,AXTX,614,53.96,59.35600000000001,60.27027,51.08,15.248,1.0946,eod,2902.01,480.89,19347.0,3,59.6528,1.2455,515.95,3,59.9496,1.1703,499.01,1,60.27027,1.0946,480.89,1,60.27027,1.0946,480.89
2026-06-10,CBRS,595,226.6,249.26000000000002,248.65372999999997,226.6,8.869,-0.4477,eod,25000.0,-1005.47,392127.0,1,248.65372999999997,-0.4477,-1005.47,1,248.65372999999997,-0.4477,-1005.47,1,248.65372999999997,-0.4477,-1005.47,1,248.65372999999997,-0.4477,-1005.47
