symbol,bar_date,open,high,close,volume,prev_close,nbars,covered
AADI,2025-01-07,3.4,3.78,3.73,564849,3.41,0,False
AAOG,2026-05-13,18.68,22.9797,21.23,99866,,0,False
AAOG,2026-05-21,11.3,13.59,12.9,287950,11.38,0,False
AAOG,2026-05-27,12.4,14.67,13.26,249610,12.93,0,False
AAOG,2026-06-01,9.15,14.4,13.6599,700585,10.18,0,False
AAOG,2026-06-04,11.68,16.76,15.8,777212,13.14,0,False
AAOG,2026-06-05,14.0,16.65,11.71,1247603,15.8,0,False
AAOG,2026-06-22,9.12,10.52,9.9,1830828,8.87,0,False
AAOG,2026-06-26,5.58,6.45,6.05,1167886,6.31,0,False
AAOG,2026-06-29,6.0,7.3,7.29,1348652,6.05,0,False
AAOG,2026-06-30,6.84,7.47,7.06,1010031,7.29,0,False
AAOG,2026-07-06,4.43,5.2399,4.745,1038547,4.59,0,False
AAOG,2026-07-07,4.4,4.955,4.07,1149016,4.745,0,False
AAOG,2026-07-08,3.92,4.32,4.05,623580,4.07,0,False
AAOG,2026-07-17,2.65,3.27,3.06,1748202,2.94,0,False
AAOG,2026-07-23,3.36,4.015,3.57,1190782,3.451,0,False
AAOG,2026-08-03,2.07,3.12,3.09,3344827,2.31,0,False
AAOG,2026-08-05,4.03,4.86,4.09,4594195,4.32,0,False
AAOG,2026-08-06,3.62,4.45,3.77,3466396,4.09,0,False
AAOG,2026-08-13,4.48,5.068,4.12,2732767,4.67,0,False
AAOG,2026-08-14,4.18,5.56,5.4,4310242,4.12,0,False
AAOZ,2026-07-16,33.68,37.93,36.49,123717,,0,False
AAOZ,2026-07-27,31.64,37.1,33.67,146547,31.8893,0,False
AAOZ,2026-07-29,40.19,51.05,50.81,231590,40.13,0,False
AAOZ,2026-07-31,26.45,32.0,29.56,298223,33.24,0,False
AAOZ,2026-08-04,13.1,14.8649,12.04,3490716,19.48,0,False
AAOZ,2026-08-07,9.48,12.02,10.91,7824152,13.57,0,False
AAOZ,2026-08-10,10.045,12.04,11.38,7333138,10.91,0,False
AAOZ,2026-08-12,9.91,11.98,10.47,2008673,11.15,0,False
ABL,2025-04-09,6.6,7.25,7.1,827530,6.64,0,False
ABL,2025-08-12,5.75,6.355,6.29,621670,5.78,0,False
ABL,2025-11-10,6.53,7.13,6.55,1999324,6.45,0,False
ABL,2025-11-11,6.57,7.18,6.71,1044553,6.55,0,False
ACMM,2026-06-30,35.6,39.9871,39.9871,55580,35.2512,0,False
ADN,2025-08-13,3.12,3.75,2.86,2105116,3.12,0,False
ADN,2025-08-14,2.89,3.88,3.68,872181,2.86,0,False
ADN,2025-08-18,3.67,4.978,4.35,1585818,3.815,0,False
ADN,2025-08-21,4.25,5.39,4.91,5348922,4.48,0,False
ADN,2025-08-22,4.9,5.35,5.06,547604,4.91,0,False
ADN,2025-08-26,4.42,5.3,5.16,630816,4.4,0,False
ADN,2025-08-27,5.2,6.18,5.0,879853,5.16,0,False
ADVM,2025-04-29,2.86,3.28,3.23,1568493,2.88,0,False
ADVM,2025-05-14,2.22,2.43,2.06,840509,2.215,0,False
ADVM,2025-09-19,2.95,3.8399,3.76,600372,2.95,0,False
