day,symbol,pb_status,rr_pb_p1be,rr_pb_v0,pb_entry_m,pb_r_pct
2025-01-02,BNRG,entered,-0.12126666481156255,-0.12126666481156255,589.0,12.924980516964396
2025-01-02,IVDA,entered,0.49035028982796214,-1.018299420344077,580.0,5.181502771439306
2025-01-02,XPON,rmin_reject,,,,
2025-01-02,ELBM,stop_above_entry,,,,
2025-01-02,VSTM,rmin_reject,,,,
2025-01-02,CTXR,rmin_reject,,,,
2025-01-02,PGEN,faded_to_stop,,,,
2025-01-02,ALCE,faded_to_stop,,,,
2025-01-02,MGIH,rmin_reject,,,,
2025-01-02,WATT,entered,0.4922131571778806,-1.0145736856442373,588.0,6.421087614349917
2025-01-02,LICY,rmin_reject,,,,
2025-01-02,LNZA,rmin_reject,,,,
2025-01-02,NINE,rmin_reject,,,,
2025-01-02,CYCN,rmin_reject,,,,
2025-01-02,FLL,rmin_reject,,,,
2025-01-02,SAVA,rmin_reject,,,,
2025-01-02,SPCB,entered,3.100039099592255,0.4826367368597459,590.0,5.930050380420188
2025-01-02,EOSE,rmin_reject,,,,
2025-01-02,ATAI,rmin_reject,,,,
2025-01-02,ELAB,rmin_reject,,,,
2025-01-02,CAN,rmin_reject,,,,
2025-01-02,HCWC,rmin_reject,,,,
2025-01-02,INTZ,entered,-1.011346194360008,-1.011346194360008,591.0,8.099661894512039
2025-01-02,NNOX,rmin_reject,,,,
2025-01-02,OPTX,rmin_reject,,,,
2025-01-02,SLN,rmin_reject,,,,
2025-01-02,VLN,rmin_reject,,,,
2025-01-02,AVXL,rmin_reject,,,,
2025-01-02,BFLY,entered,-0.20419125936733007,-0.20419125936733007,598.0,7.789584614033536
2025-01-02,CENN,rmin_reject,,,,
2025-01-02,DNA,rmin_reject,,,,
2025-01-02,LPTH,rmin_reject,,,,
2025-01-02,VNET,rmin_reject,,,,
2025-01-02,CLYM,rmin_reject,,,,
2025-01-02,ICG,entered,0.41691394169886375,0.4911229361153576,593.0,11.937356737047859
2025-01-02,SJT,rmin_reject,,,,
2025-01-02,SRFM,rmin_reject,,,,
2025-01-02,DTIL,entered,0.01682412687604682,0.01682412687604682,604.0,7.49287319278836
2025-01-02,GRRRW,rmin_reject,,,,
2025-01-02,HTCR,rmin_reject,,,,
2025-01-02,NKLA,rmin_reject,,,,
2025-01-02,APM,entered,0.4962265417527291,-1.0065469164945415,603.0,13.25044474419877
2025-01-02,AVTX,rmin_reject,,,,
