cell,symbol,si,S,signal_date,value,n_owners,a,b,entry_date,exit_date,gross,cost_bps,net,hold,split
I1,PSX,3534,9,2016-01-15,31423827.580000002,2.0,9,29,2016-01-15,2016-02-16,0.004548803794214296,0.4157344,0.004507230354838798,20,TRAIN
I1,SCOR,3855,9,2016-01-15,2307600.0,2.0,9,29,2016-01-15,2016-02-16,-0.11263292338752806,0.6004727,-0.11269297065790895,20,TRAIN
I1,ARDX,337,9,2016-01-15,5000000.0,4.0,9,29,2016-01-15,2016-02-16,0.0037914963574170457,1.8353708,0.0036079592788613724,20,TRAIN
I1,APPF,313,9,2016-01-15,129336.0,4.0,9,29,2016-01-15,2016-02-16,0.05606031590217553,5.852996,0.055475016334856075,20,TRAIN
I1,OPK,3237,9,2016-01-15,16500.0,2.0,9,29,2016-01-15,2016-02-16,-0.029161708774626316,0.5677004,-0.029218478811816606,20,TRAIN
I1,STAA,4123,10,2016-01-19,64443.89,3.0,10,30,2016-01-19,2016-02-17,-0.03982296820046638,5.8994355,-0.04041291174959649,20,TRAIN
I1,BNED,671,11,2016-01-20,472103.51999999996,2.0,11,31,2016-01-20,2016-02-18,0.07788342639713819,2.0326734,0.07768015906066439,20,TRAIN
I1,BCRX,545,12,2016-01-21,1303750.0,4.0,12,32,2016-01-21,2016-02-19,-0.7069701656386853,1.3587985,-0.7071060454859064,20,TRAIN
I1,ACRS,61,12,2016-01-21,35843.64,3.0,12,32,2016-01-21,2016-02-19,-0.3222519195165906,8.726136,-0.3231245331459168,20,TRAIN
I1,LE,2529,12,2016-01-21,661581.0,2.0,12,32,2016-01-21,2016-02-19,0.03242233930603966,1.715015,0.032250837796427234,20,TRAIN
I1,C,792,14,2016-01-25,1026249.9999999999,2.0,14,34,2016-01-25,2016-02-23,-0.032302574895915925,0.40477312,-0.03234305220863887,20,TRAIN
I1,WYNN,4774,14,2016-01-25,6846973.56,2.0,14,34,2016-01-25,2016-02-23,0.314199867400518,0.4207147,0.31415779592911974,20,TRAIN
I1,PNC,3451,14,2016-01-25,9932.06,2.0,14,34,2016-01-25,2016-02-23,0.0010187071730995978,0.42370385,0.0009763367871726825,20,TRAIN
I1,KEY,2404,17,2016-01-28,224400.0,2.0,17,37,2016-01-28,2016-02-26,-0.025626526701810648,0.4317616,-0.025669702860025567,20,TRAIN
I1,SFNC,3901,17,2016-01-28,410700.0,2.0,17,37,2016-01-28,2016-02-26,0.005886109116182814,1.5025114,0.005735857972105185,20,TRAIN
I1,LION,2573,17,2016-01-28,99804.59999999999,2.0,17,37,2016-01-28,2016-02-26,-0.019903877478115173,2.5050592,-0.020154383401874365,20,TRAIN
I1,MTG,2899,17,2016-01-28,88950.0,5.0,17,37,2016-01-28,2016-02-26,0.08790785905382603,0.533067,0.0878545523542702,20,TRAIN
I1,STBA,4125,19,2016-02-01,50260.0,4.0,19,39,2016-02-01,2016-03-01,-0.011911122623126769,2.5505147,-0.012166174099542015,20,TRAIN
I1,PCRX,3348,20,2016-02-02,117840.0,2.0,20,40,2016-02-02,2016-03-02,-0.11239425212954135,0.51425594,-0.11244567772484348,20,TRAIN
I1,ZION,4854,20,2016-02-02,68682.46,2.0,20,40,2016-02-02,2016-03-02,0.06308547001838516,0.46635172,0.06303883484809258,20,TRAIN
I1,KMI,2435,21,2016-02-03,22980.0,2.0,21,41,2016-02-03,2016-03-03,0.21028761498159376,0.4125046,0.21024636452197676,20,TRAIN
I1,URI,4503,21,2016-02-03,210870.0,2.0,21,41,2016-02-03,2016-03-03,0.16795392034576317,0.44666436,0.16790925390771982,20,TRAIN
I1,WWD,4770,21,2016-02-03,96663.0,2.0,21,41,2016-02-03,2016-03-03,0.09995247294298171,0.72433233,0.09988003970809078,20,TRAIN
I1,UHAL,4465,22,2016-02-04,308628901.0,2.0,22,42,2016-02-04,2016-03-04,0.05252217718670438,0.669343,0.05245524288774761,20,TRAIN
I1,RDN,3640,23,2016-02-05,75375.0,4.0,23,43,2016-02-05,2016-03-07,0.12325933096986819,0.5514879,0.1232041821761054,20,TRAIN
I1,PGC,3392,23,2016-02-05,16092.0,3.0,23,43,2016-02-05,2016-03-07,-0.0323169054168122,4.2910314,-0.032746008538672156,20,TRAIN
I1,AN,272,24,2016-02-08,27795505.95,2.0,24,44,2016-02-08,2016-03-08,0.10758223961858104,0.46724468,0.10753551515046067,20,TRAIN
I1,ITRI,2314,25,2016-02-09,642937.5,3.0,25,45,2016-02-09,2016-03-09,0.21555476873032808,0.9622221,0.21545854651918694,20,TRAIN
I1,GBCI,1803,25,2016-02-09,120350.0,2.0,25,45,2016-02-09,2016-03-09,0.09603877027495322,0.9457629,0.09594419398728782,20,TRAIN
I1,CFR,907,25,2016-02-09,242550.0,3.0,25,45,2016-02-09,2016-03-09,0.15798599779639289,0.48247293,0.15793775050308567,20,TRAIN
I1,CPF,1093,25,2016-02-09,98750.0,2.0,25,45,2016-02-09,2016-03-09,0.07196961700278615,2.1802979,0.07175158721397445,20,TRAIN
I1,RJF,3702,25,2016-02-09,42180.0,2.0,25,45,2016-02-09,2016-03-09,0.07269717614250126,0.49466816,0.07264770932593834,20,TRAIN
I1,BZH,790,26,2016-02-10,19380.0,8.0,26,46,2016-02-10,2016-03-10,0.15129658951301606,1.140404,0.1511825491146861,20,TRAIN
I1,NAVI,2952,27,2016-02-11,363600.0,2.0,27,47,2016-02-11,2016-03-11,0.4445112302843224,0.54611754,0.4444566185289911,20,TRAIN
I1,PAGP,3307,27,2016-02-11,115000.0,2.0,27,47,2016-02-11,2016-03-11,0.41202415313779706,0.57617146,0.41196653599360356,20,TRAIN
I1,JPM,2366,28,2016-02-12,2398500.0,2.0,28,48,2016-02-12,2016-03-14,0.028479523524072015,0.40483376,0.0284390401468384,20,TRAIN
I1,PAA,3300,28,2016-02-12,782500.0,2.0,28,48,2016-02-12,2016-03-14,0.3656105307522446,0.4760664,0.3655629241106433,20,TRAIN
I1,KMT,2438,28,2016-02-12,84968.25,2.0,28,48,2016-02-12,2016-03-14,0.25259240164475183,0.5944863,0.2525329530146976,20,TRAIN
I1,MUR,2915,28,2016-02-12,155000.0,2.0,28,48,2016-02-12,2016-03-14,0.4145710803124161,0.45103157,0.4145259771568448,20,TRAIN
I1,EPD,1509,29,2016-02-16,199899.99999999997,2.0,29,49,2016-02-16,2016-03-15,0.09282295330223267,0.43634552,0.0927793187514121,20,TRAIN
I1,OFG,3177,29,2016-02-16,13860.0,4.0,29,49,2016-02-16,2016-03-15,0.17617511573205813,1.7113465,0.1760039810762286,20,TRAIN
