symbol,si,S,value,n_owners,cell,signal_date
SCOR,3855,9,38470367.599999994,2.0,I1,2016-01-15
APPF,313,9,10480578.600000001,8.0,I1,2016-01-15
ARDX,337,9,10000000.0,2.0,I1,2016-01-15
OPK,3237,9,3039391.62,2.0,I1,2016-01-15
PSX,3534,9,783892268.9,2.0,I1,2016-01-15
STAA,4123,10,11105901.33,3.0,I1,2016-01-19
NC,2962,10,1478249.7000000002,9.0,I1,2016-01-19
BNED,671,11,22063187.32,5.0,I1,2016-01-20
LE,2529,12,8694207.120000001,6.0,I1,2016-01-21
ACRS,61,12,979742.76,3.0,I1,2016-01-21
BCRX,545,12,2607500.0,2.0,I1,2016-01-21
C,792,14,2051500.0,2.0,I1,2016-01-25
PNC,3451,14,1009156.0600000002,2.0,I1,2016-01-25
TCPC,4226,14,115430.0,2.0,I1,2016-01-25
WYNN,4774,14,1840690.6199999999,2.0,I1,2016-01-25
MAIN,2675,15,109903.1999,7.0,I1,2016-01-26
LION,2573,17,147594.59999999998,2.0,I1,2016-01-28
MTG,2899,17,122400.0,2.0,I1,2016-01-28
KEY,2404,17,332400.0,2.0,I1,2016-01-28
SFNC,3901,17,431635.0,2.0,I1,2016-01-28
STBA,4125,19,109511.3609,4.0,I1,2016-02-01
ZION,4854,20,558632.36,2.0,I1,2016-02-02
PCRX,3348,20,149090.0,2.0,I1,2016-02-02
URI,4503,21,259240.0,2.0,I1,2016-02-03
KMI,2435,21,2578980.0,2.0,I1,2016-02-03
WWD,4770,21,142693.0,2.0,I1,2016-02-03
UHAL,4465,22,24829800.0,2.0,I1,2016-02-04
PGC,3392,23,109106.0,3.0,I1,2016-02-05
RDN,3640,23,302750.0,2.0,I1,2016-02-05
AN,272,24,27989140.95,2.0,I1,2016-02-08
CPF,1093,25,108765.0,2.0,I1,2016-02-09
RJF,3702,25,1819520.0,2.0,I1,2016-02-09
ITRI,2314,25,4225241.16,2.0,I1,2016-02-09
CFR,907,25,3846800.0,2.0,I1,2016-02-09
GBCI,1803,25,306350.0,2.0,I1,2016-02-09
BZH,790,26,281045.0,2.0,I1,2016-02-10
