symbol,si,S,value,n_owners,a,b,gross,cost_bps,net,entry_date,exit_date,hold,split,cell,arm
SCOR,3855,9,38470367.599999994,2.0,9,14,-0.027154633895941638,0.6554315,-0.027220177046354488,2016-01-15,2016-01-25,5,TRAIN,I1,all
APPF,313,9,10480578.600000001,8.0,9,14,-6.894243476107675e-08,5.2391315,-0.0005239820702706011,2016-01-15,2016-01-25,5,TRAIN,I1,all
ARDX,337,9,10000000.0,2.0,9,14,0.09478667729888035,1.2987577,0.09465680152822675,2016-01-15,2016-01-25,5,TRAIN,I1,all
OPK,3237,9,3039391.62,2.0,9,14,-0.03280680746597875,0.5234678,-0.032859154244808564,2016-01-15,2016-01-25,5,TRAIN,I1,all
PSX,3534,9,783892268.9,2.0,9,14,-0.02862007230073682,0.41628045,-0.028661700346174213,2016-01-15,2016-01-25,5,TRAIN,I1,all
STAA,4123,10,11105901.33,3.0,10,15,-0.011799443081152439,6.209577,-0.012420400777962803,2016-01-19,2016-01-26,5,TRAIN,I1,all
NC,2962,10,1478249.7000000002,9.0,10,15,0.0604026694474078,5.060335,0.059896635908567086,2016-01-19,2016-01-26,5,TRAIN,I1,all
BNED,671,11,22063187.32,5.0,11,16,0.05296043449446497,1.8202436,0.05277841013115303,2016-01-20,2016-01-27,5,TRAIN,I1,all
LE,2529,12,8694207.120000001,6.0,12,17,-0.006947647532426604,1.4952072,-0.00709716825767126,2016-01-21,2016-01-28,5,TRAIN,I1,all
ACRS,61,12,979742.76,3.0,12,17,-0.07180844249881413,6.81749,-0.07249019151998293,2016-01-21,2016-01-28,5,TRAIN,I1,all
BCRX,545,12,2607500.0,2.0,12,17,-0.03413940036909591,1.299423,-0.03426934267110593,2016-01-21,2016-01-28,5,TRAIN,I1,all
C,792,14,2051500.0,2.0,14,19,0.07560119057901993,0.40447032,0.0755607435451946,2016-01-25,2016-02-01,5,TRAIN,I1,all
PNC,3451,14,1009156.0600000002,2.0,14,19,0.040590922324060585,0.4233476,0.04054858756486013,2016-01-25,2016-02-01,5,TRAIN,I1,all
TCPC,4226,14,115430.0,2.0,14,19,0.032777711825233924,2.6070154,0.03251701027669296,2016-01-25,2016-02-01,5,TRAIN,I1,all
WYNN,4774,14,1840690.6199999999,2.0,14,19,0.09998117698993858,0.421871,0.09993898988902195,2016-01-25,2016-02-01,5,TRAIN,I1,all
MAIN,2675,15,109903.1999,7.0,15,20,-0.021891965081083042,0.95514894,-0.021987479974556634,2016-01-26,2016-02-02,5,TRAIN,I1,all
LION,2573,17,147594.59999999998,2.0,17,22,-0.05422099023339133,2.314477,-0.05445243793578147,2016-01-28,2016-02-04,5,TRAIN,I1,all
MTG,2899,17,122400.0,2.0,17,22,0.05025953108420378,0.5072366,0.050208807425998536,2016-01-28,2016-02-04,5,TRAIN,I1,all
KEY,2404,17,332400.0,2.0,17,22,-0.015403878316344377,0.42967585,-0.015446845901958328,2016-01-28,2016-02-04,5,TRAIN,I1,all
SFNC,3901,17,431635.0,2.0,17,22,-0.01765860638244765,1.2537844,-0.01778398482549226,2016-01-28,2016-02-04,5,TRAIN,I1,all
STBA,4125,19,109511.3609,4.0,19,24,-0.03735780383924103,2.639079,-0.037621711756783416,2016-02-01,2016-02-08,5,TRAIN,I1,all
ZION,4854,20,558632.36,2.0,20,25,-0.03560280443673758,0.45881942,-0.03564868637807006,2016-02-02,2016-02-09,5,TRAIN,I1,all
PCRX,3348,20,149090.0,2.0,20,25,-0.06148328551232629,0.49722016,-0.061533007529464556,2016-02-02,2016-02-09,5,TRAIN,I1,all
URI,4503,21,259240.0,2.0,21,26,-0.060489061673392075,0.43565834,-0.06053262750643096,2016-02-03,2016-02-10,5,TRAIN,I1,all
KMI,2435,21,2578980.0,2.0,21,26,-0.06472878554731087,0.41130605,-0.06476991615371608,2016-02-03,2016-02-10,5,TRAIN,I1,all
