symbol,bar_date,open,high,low,close,volume,prior_close
AA,2025-01-03,37.95,37.95,35.3752,35.71,7491799,37.99
AA,2025-01-23,37.6,37.99,36.1,37.35,11784535,38.78
AA,2025-01-27,36.27,36.6,34.91,34.97,8969913,37.43
AA,2025-02-03,34.18,35.235,33.42,34.11,5862124,35.32
AA,2025-02-04,34.5,36.43,34.33,36.24,5324932,34.11
AA,2025-02-07,36.75,37.84,36.05,36.12,4647980,35.93
AA,2025-02-21,36.46,36.665,33.95,34.4,7218204,37.25
AA,2025-03-03,34.5,34.51,31.3,31.33,4994462,33.25
AA,2025-03-10,32.42,32.57,30.63,30.98,5773380,32.84
AA,2025-03-12,32.4,33.6848,32.13,33.25,4771057,31.96
AA,2025-03-18,34.59,34.66,32.99,33.97,5358568,34.79
AA,2025-03-19,34.44,35.77,34.15,35.31,4510664,33.97
AA,2025-03-31,29.74,30.625,28.8,30.5,4982209,30.66
AA,2025-04-03,28.85,28.99,27.125,27.33,9025452,30.84
AA,2025-04-04,26.28,26.54,23.62,24.81,13147200,27.33
AA,2025-04-07,23.92,26.26,23.021,24.59,7461959,24.81
AA,2025-04-08,25.22,25.88,22.1,22.57,8923505,24.59
AA,2025-04-09,22.13,26.67,21.53,25.86,13027794,22.57
AA,2025-04-10,24.56,24.71,22.475,23.75,11076580,25.86
AA,2025-04-11,24.22,25.01,23.8602,24.75,7485991,23.75
AA,2025-04-17,23.8,24.65,23.061,23.32,13620418,25.07
AA,2025-04-22,23.62,24.94,23.57,24.32,8992926,23.3
AA,2025-04-23,25.23,26.19,24.81,25.05,8478266,24.32
AA,2025-04-24,25.25,26.615,25.25,26.44,6323175,25.05
AA,2025-04-30,24.0,24.6,23.6,24.53,5394688,25.19
AA,2025-05-02,25.11,25.88,24.74,25.53,5393994,24.54
AA,2025-05-08,24.66,26.0,24.4,25.72,9761233,24.4
AA,2025-05-12,27.5,28.51,27.5,28.12,11556284,25.92
AA,2025-05-15,28.05,28.95,27.98,28.67,7055042,29.61
AA,2025-06-26,28.58,30.3,28.54,29.93,6456185,28.17
AA,2025-06-27,29.88,29.9991,27.72,28.47,9417453,29.93
AA,2025-07-08,30.37,31.44,30.18,30.51,5703502,29.81
AA,2025-07-14,30.5,30.74,29.22,29.79,7747236,31.09
AA,2025-07-17,29.12,30.39,28.94,29.39,11921186,28.56
AA,2025-08-01,29.2,29.29,28.11,28.4,6930401,29.97
AA,2025-08-12,29.73,31.5,29.61,31.38,7923769,29.33
AA,2025-08-18,30.77,30.945,29.39,29.63,7364613,31.27
AA,2025-08-22,29.57,32.16,29.49,31.68,8535426,29.51
AA,2025-09-02,31.1,31.18,30.21,30.94,8241243,32.19
AA,2025-09-30,33.465,33.465,31.98,32.89,8584168,33.85
AA,2025-10-07,34.1,35.865,34.0201,35.53,11291420,33.79
AA,2025-10-08,36.48,37.58,36.39,37.06,10564561,35.53
AA,2025-10-10,37.06,37.35,35.01,35.02,7317646,37.0
AA,2025-10-13,36.41,36.9,35.61,36.25,6299549,35.02
AA,2025-10-20,36.51,39.28,36.34,38.96,10907912,35.97
AA,2025-10-21,37.96,38.0,36.07,37.23,8781400,38.96
AA,2025-10-23,37.685,41.55,37.685,40.14,20278197,35.65
AA,2025-10-24,38.48,39.98,37.78,39.42,10623084,40.14
AA,2025-10-30,38.0,38.0,36.3,36.76,10180221,38.91
AA,2025-11-04,35.9,36.6727,35.215,35.26,4886109,37.2
AA,2025-11-12,38.17,40.38,38.145,40.03,8544680,37.48
AA,2025-11-13,40.18,40.25,37.69,38.19,7396132,40.03
